state,year,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_full_time_and_part_time_employees,total_march_full_time_and_part_time_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent
US,2014,housing and community development,98933,0.29,455235922,0.26,12664,0.34,16104504,0.45,954695,0.37,104465,0.29,111597,0.26,471340426,0.25
US,2014,natural resources,34730,0.41,151911118,0.43,9004,0.34,8186551,0.6,520008,0.53,37683,0.42,43734,0.34,160097669,0.41
US,2014,water transport and terminals,164138,0.24,803663475,0.26,16803,0.17,15860874,0.23,943993,0.15,169164,0.24,180941,0.22,819524349,0.25
US,2014,electric power,71799,0.28,499191346,0.25,2648,0.25,5633341,0.29,246083,0.29,73204,0.28,74447,0.27,504824687,0.24
US,2014,gas supply,10814,0.46,51535873,0.42,471,0.45,619493,0.27,41424,0.27,11053,0.45,11285,0.44,52155366,0.41
US,2014,transit,191866,0.15,1059140008,0.13,19166,0.48,36207162,0.35,2140991,0.43,204085,0.16,211032,0.14,1095347170,0.13
US,2014,education total,6068729,0.21,25608557601,0.23,2123905,0.24,2456812455,0.29,140961040,0.27,6907501,0.2,8192634,0.17,28065370056,0.21
US,2014,education - elementary and secondary total,5829830,0.22,24349163835,0.24,1772130,0.27,2051564919,0.33,124686885,0.3,6574161,0.21,7601960,0.18,26400728754,0.22
US,2014,education - elementary and secondary instructional,4196418,0.27,19583962131,0.29,984530,0.37,1189502949,0.45,66779189,0.41,4592171,0.28,5180948,0.23,20773465080,0.27
US,2014,education - elementary and secondary other,1633412,0.3,4765201704,0.29,787600,0.41,862061970,0.46,57907696,0.43,1981990,0.3,2421012,0.24,5627263674,0.25
US,2014,education - higher education total,238899,0.48,1259393766,0.45,351775,0.52,405247536,0.55,16274155,0.55,333340,0.47,590674,0.36,1664641302,0.37
US,2014,education - higher education instructional,87829,0.65,590295197,0.66,201150,0.67,283828030,0.68,7578163,0.74,131818,0.64,288979,0.51,874123227,0.5
US,2014,education - higher education other,151070,0.65,669098569,0.62,150625,0.81,121419506,0.91,8695992,0.79,201522,0.65,301695,0.52,790518075,0.54
US,2014,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,2014,libraries,86654,0.2,337617012,0.21,97652,0.29,99946351,0.3,7282428,0.31,128754,0.22,184306,0.18,437563363,0.18
US,2014,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,2014,other and unallocable,235348,0.25,1083656246,0.23,75583,0.29,68711850,0.37,4596070,0.36,261259,0.26,310931,0.2,1152368096,0.22
AL,2014,total,181893,0.83,619051063,0.88,28413,0.61,30388450,0.36,2100124,0.49,194331,0.8,210306,0.72,649439513,0.84
AL,2014,financial administration,3784,1.91,13551282,1.49,227,1.42,225987,5.1,18053,3.57,3885,1.7,4011,1.81,13777269,1.47
AL,2014,other government administration,2625,2.2,9044053,1.81,2072,1.11,1290374,1.28,63300,1.1,2976,2.16,4697,1.32,10334427,1.59
AL,2014,judicial and legal,1536,0.8,5614580,0.65,435,1,432932,0.92,25434,1.07,1673,0.94,1971,0.66,6047512,0.61
AL,2014,police protection total,12063,1.83,46208133,1.61,1293,1.08,1255826,1.08,113447,1.31,12712,1.7,13356,1.66,47463959,1.57
AL,2014,police protection - officers,10028,2.18,40209472,1.84,556,1.37,586195,1.38,49790,1.66,10318,2.05,10584,2.06,40795667,1.81
AL,2014,police protection - other,2035,1.76,5998661,1.47,737,1.6,669631,1.62,63657,1.93,2394,1.94,2772,1.36,6668292,1.33
AL,2014,fire protection total,5790,1.21,24483786,1.06,909,0.8,644227,1.51,54823,1.89,6100,1.29,6699,1.05,25128013,1.03
AL,2014,fire protection - firefighters,5495,1.27,23274980,1.11,851,0.85,619524,1.57,53041,1.95,5794,1.36,6346,1.11,23894504,1.08
AL,2014,fire protection - other,295,0.43,1208806,0.49,58,2.03,24703,3.35,1782,1.16,306,0.56,353,0.49,1233509,0.48
AL,2014,corrections,3338,1.46,9604784,1.01,237,2.46,263378,1.14,23863,1.24,3471,1.53,3575,1.38,9868162,0.98
AL,2014,highways,5973,2.48,18225799,2.04,294,0.62,346709,0.81,33729,0.74,6164,2.47,6267,2.36,18572508,2
AL,2014,air transportation,476,1.98,1804214,1.43,44,1.02,46124,1,4198,0.99,501,1.99,520,1.82,1850338,1.4
AL,2014,water transport and terminals,6,0.01,16375,0.01,3,0.01,2616,0.01,320,0.01,9,0.01,9,0.01,18991,0.01
AL,2014,public welfare,856,1.86,1963425,2.03,486,3.14,455288,3,44573,3.57,1110,2.73,1342,1.64,2418713,1.74
AL,2014,health,5896,1.46,17023233,1.45,1431,0.56,1363552,0.5,103673,0.56,6487,1.41,7327,1.18,18386785,1.34
AL,2014,hospitals,21550,0.01,88357650,0.01,6357,0.01,13582432,0,625507,0,25429,0.01,27907,0.01,101940082,0
AL,2014,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2014,solid waste management,3424,1.82,9195822,1.48,179,0.92,216856,0.91,20160,1.23,3540,1.65,3603,1.73,9412678,1.45
AL,2014,sewerage,1361,1.51,5287758,1.17,54,2.89,61246,2.39,4529,1.48,1384,1.52,1415,1.46,5349004,1.16
AL,2014,parks and recreation,3013,1.35,9168120,1.17,2356,1.27,1752081,1.16,169527,1.41,3971,1.46,5369,0.94,10920201,1
AL,2014,housing and community development,1957,1.06,7100249,0.96,267,0.39,265833,0.3,20394,0.4,2077,1.01,2224,0.93,7366082,0.93
AL,2014,natural resources,519,0.13,1321565,0.16,79,1.37,89727,1.11,6883,1.42,561,0.39,598,0.21,1411292,0.16
AL,2014,water transport and terminals,3832,1.65,14989691,1.55,283,0.04,251729,0.05,19020,0.06,3938,1.61,4115,1.53,15241420,1.52
AL,2014,electric power,1093,0.96,5317754,0.8,32,0.1,39971,0.08,3225,0.08,1112,0.95,1125,0.93,5357725,0.79
AL,2014,gas supply,872,1.71,3652514,1.85,53,0.65,46969,0.76,4712,0.75,898,1.77,925,1.62,3699483,1.83
AL,2014,transit,441,0.14,1356299,0.08,136,0.37,170449,0.27,15433,0.35,529,0.18,577,0.14,1526748,0.08
AL,2014,education total,96170,1.54,307342707,1.74,9825,1.69,6167830,1.64,582372,1.63,99675,1.52,105995,1.4,313510537,1.71
AL,2014,education - elementary and secondary total,96170,1.54,307342707,1.74,9825,1.69,6167830,1.64,582372,1.63,99675,1.52,105995,1.4,313510537,1.71
AL,2014,education - elementary and secondary instructional,66784,1.98,249617594,2.08,6422,2.21,4168470,1.95,367286,2.01,68960,1.96,73206,1.82,253786064,2.05
AL,2014,education - elementary and secondary other,29386,2.24,57725113,2.24,3403,2.56,1999360,2.98,215086,2.77,30715,2.23,32789,2.03,59724473,2.17
AL,2014,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
AL,2014,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
AL,2014,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
AL,2014,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2014,libraries,900,1.27,2780284,1.05,704,0.72,772637,0.63,71368,0.75,1303,1.18,1604,0.78,3552921,0.84
AL,2014,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2014,other and unallocable,4418,1.57,15640986,1.19,657,1.54,643677,1.53,71581,1.43,4826,1.61,5075,1.38,16284663,1.14
AK,2014,total,24858,0.23,129833898,0.25,7482,0.54,7610448,0.87,388944,0.76,27114,0.26,32340,0.22,137444346,0.24
AK,2014,financial administration,876,1.49,4847997,1.07,83,5.69,114791,3.62,5994,3.74,910,1.6,959,1.45,4962788,1.04
AK,2014,other government administration,980,0.74,4872131,0.75,739,1.05,426250,3.26,19263,3.61,1089,1.08,1719,0.62,5298381,0.74
AK,2014,judicial and legal,103,0.01,676582,0.01,2,0.01,5226,0.01,240,0.01,104,0.01,105,0.01,681808,0.01
AK,2014,police protection total,1152,1.18,7925847,0.91,85,0.84,78183,0.98,4814,1.1,1180,1.16,1237,1.1,8004030,0.9
AK,2014,police protection - officers,813,1.67,6093140,1.19,47,0.48,42394,0.79,2786,0.66,829,1.64,860,1.58,6135534,1.18
AK,2014,police protection - other,339,0.23,1832707,0.12,38,1.78,35789,1.93,2028,2.44,351,0.36,377,0.27,1868496,0.12
AK,2014,fire protection total,771,0.54,6367479,0.43,451,0.06,205064,0.08,13669,0.09,847,0.52,1222,0.34,6572543,0.42
AK,2014,fire protection - firefighters,675,0.58,5640607,0.47,443,0.06,194074,0.08,12887,0.1,747,0.56,1118,0.35,5834681,0.46
AK,2014,fire protection - other,96,1.48,726872,0.81,8,0.01,10990,0.01,782,0.01,100,1.42,104,1.37,737862,0.8
AK,2014,corrections,74,0.01,331559,0.01,6,0.01,14568,0.01,572,0.01,77,0.01,80,0.01,346127,0.01
AK,2014,highways,639,0.43,3879943,0.37,92,0.74,126678,0.43,6101,0.3,675,0.46,731,0.39,4006621,0.36
AK,2014,air transportation,59,0.01,339624,0.01,5,0.01,8789,0.01,375,0.01,62,0.01,64,0.01,348413,0.01
AK,2014,water transport and terminals,163,0.83,814574,0.75,17,2.21,22950,3.2,1218,3.52,171,0.91,180,0.78,837524,0.73
AK,2014,public welfare,128,0.6,527237,0.34,24,0.01,38848,0.01,2004,0.01,140,0.55,152,0.51,566085,0.32
AK,2014,health,217,0.44,1156006,0.5,274,0.01,218871,0.01,13172,0.01,291,0.33,491,0.2,1374877,0.42
AK,2014,hospitals,654,0.01,4033632,0.01,275,0.01,847833,0.01,27140,0.01,811,0.01,929,0.01,4881465,0.01
AK,2014,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2014,solid waste management,312,0.48,1508367,0.47,74,0.78,105427,0.49,5881,0.83,344,0.45,386,0.42,1613794,0.44
AK,2014,sewerage,274,0.64,1672841,0.49,52,1.74,53649,2.34,3298,1.14,296,0.77,326,0.6,1726490,0.48
AK,2014,parks and recreation,393,1.09,1718991,0.55,558,0.31,583840,0.27,38083,0.29,613,0.76,951,0.49,2302831,0.42
AK,2014,housing and community development,659,5.91,3551068,5.52,188,13.62,412698,14.27,18343,14.43,771,6.67,847,5.5,3963766,5.16
AK,2014,natural resources,57,0.01,334169,0.01,2,0.01,6452,0.01,220,0.01,58,0.01,59,0.01,340621,0.01
AK,2014,water transport and terminals,279,0.98,1619860,0.58,69,0.87,84778,0.29,4503,0.23,309,0.98,348,0.8,1704638,0.55
AK,2014,electric power,451,0.33,3589381,0.22,61,0.89,67196,0.54,3410,0.48,469,0.32,512,0.31,3656577,0.21
AK,2014,gas supply,6,0.01,30458,0.01,8,0.01,6441,0.01,426,0.01,8,0.01,14,0.01,36899,0.01
AK,2014,transit,230,0.01,1269689,0.01,49,0.01,187716,0.01,7085,0.01,271,0.01,279,0.01,1457405,0.01
AK,2014,education total,15387,0.23,73747363,0.31,3786,0.77,3357919,0.72,176656,0.56,16410,0.23,19173,0.24,77105282,0.3
AK,2014,education - elementary and secondary total,15306,0.23,73297597,0.31,3743,0.78,3308615,0.73,174629,0.57,16317,0.24,19049,0.24,76606212,0.3
AK,2014,education - elementary and secondary instructional,9705,0.33,54521984,0.41,2032,1.03,2286173,0.65,114640,0.61,10366,0.33,11737,0.33,56808157,0.39
AK,2014,education - elementary and secondary other,5601,0.23,18775613,0.28,1711,1.19,1022442,1.85,59989,1.19,5951,0.3,7312,0.33,19798055,0.28
AK,2014,education - higher education total,81,0.01,449766,0.01,43,0.01,49304,0.01,2027,0.01,93,0.01,124,0.01,499070,0.01
AK,2014,education - higher education instructional,10,0.01,60107,0.01,16,0.01,17170,0.01,295,0.01,12,0.01,26,0.01,77277,0.01
AK,2014,education - higher education other,71,0.01,389659,0.01,27,0.01,32134,0.01,1732,0.01,81,0.01,98,0.01,421793,0.01
AK,2014,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2014,libraries,185,0.42,858924,0.5,228,1.69,307284,1.7,16775,2.01,279,0.67,413,0.95,1166208,0.58
AK,2014,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2014,other and unallocable,809,0.49,4160176,0.35,354,1.83,328997,2.62,19702,1.85,929,0.78,1163,0.65,4489173,0.38
AZ,2014,total,181977,1.02,775839713,0.85,58523,1.25,74941769,1.16,4518442,1.46,207979,1.04,240500,0.83,850781482,0.78
AZ,2014,financial administration,4451,1.19,22115903,1.17,147,1.6,285594,1.51,14622,1.74,4535,1.2,4598,1.16,22401497,1.16
AZ,2014,other government administration,3750,1.53,19689146,1.56,389,2.87,471791,1.37,24889,2.4,3897,1.58,4139,1.41,20160937,1.53
AZ,2014,judicial and legal,8367,0.76,38698421,0.69,535,0.87,1094272,0.6,46916,0.77,8639,0.78,8902,0.71,39792693,0.67
AZ,2014,police protection total,17360,0.99,95995233,0.98,263,1.59,430604,1.26,23844,1.35,17490,0.99,17623,0.97,96425837,0.97
AZ,2014,police protection - officers,12916,1.26,75893110,1.2,56,0.01,90634,0.01,4177,0.01,12937,1.25,12972,1.25,75983744,1.2
AZ,2014,police protection - other,4444,1.26,20102123,1.13,207,2.02,339970,1.6,19667,1.63,4553,1.29,4651,1.21,20442093,1.11
AZ,2014,fire protection total,8475,0.53,51596231,0.48,1698,0.36,1383434,0.06,95692,0.11,8978,0.51,10173,0.44,52979665,0.47
AZ,2014,fire protection - firefighters,7302,0.6,45680807,0.54,1404,0.16,1127826,0.06,78096,0.13,7705,0.59,8706,0.51,46808633,0.52
AZ,2014,fire protection - other,1173,0.6,5915424,0.57,294,1.96,255608,0.19,17596,0.21,1273,0.6,1467,0.62,6171032,0.55
AZ,2014,corrections,5299,1.17,20006445,0.91,196,2.58,316722,2.89,17686,3.57,5398,1.19,5495,1.13,20323167,0.9
AZ,2014,highways,3743,1.86,16107880,1.56,108,4.23,166492,1.69,9974,2.81,3797,1.9,3851,1.81,16274372,1.54
AZ,2014,air transportation,1150,0.26,5430305,0.25,48,3.18,47559,3.7,4204,3.89,1175,0.35,1198,0.28,5477864,0.25
AZ,2014,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
AZ,2014,public welfare,985,0.58,4078406,0.55,300,0.08,371031,0.16,26575,0.14,1136,0.54,1285,0.44,4449437,0.51
AZ,2014,health,3539,0.39,14081126,0.27,594,0.49,1007606,0.29,62018,0.28,3889,0.38,4133,0.34,15088732,0.25
AZ,2014,hospitals,2366,0.01,14154715,0.01,835,0.01,1893396,0.01,59849,0.01,2704,0.01,3201,0.01,16048111,0.01
AZ,2014,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2014,solid waste management,2178,1.42,8724027,0.98,40,6.29,67712,7.03,4576,7.94,2206,1.6,2218,1.4,8791739,0.97
AZ,2014,sewerage,1589,2.15,6627812,2.33,92,0.83,145004,0.62,7590,0.79,1633,2.11,1681,2.03,6772816,2.28
AZ,2014,parks and recreation,2898,1.89,11371090,1.91,3782,2.48,3231200,1.95,275804,2.29,4462,2.16,6680,1.63,14602290,1.55
AZ,2014,housing and community development,1322,0.83,5911552,0.68,255,0.02,234679,0.07,17699,0.04,1421,0.77,1577,0.69,6146231,0.66
AZ,2014,natural resources,696,5.93,2880955,5.41,55,0.3,75772,0.51,3567,0.6,712,5.86,751,5.5,2956727,5.28
AZ,2014,water transport and terminals,3540,1.4,17757613,1.3,101,1.07,131217,0.99,7654,1.26,3585,1.42,3641,1.36,17888830,1.29
AZ,2014,electric power,4931,0.06,40004007,0.04,129,0.26,400237,0.21,16071,0.16,5021,0.06,5060,0.06,40404244,0.04
AZ,2014,gas supply,98,0.65,561875,0.3,0,0.01,0,0.01,0,0.01,98,0.65,98,0.65,561875,0.3
AZ,2014,transit,671,12.47,3144219,13.49,111,9.39,148102,7.87,10717,8.32,730,11.48,782,10.78,3292321,12.89
AZ,2014,education total,100081,1.83,357918317,1.8,47347,1.54,61290948,1.41,3673272,1.79,121341,1.77,147428,1.34,419209265,1.55
AZ,2014,education - elementary and secondary total,91718,1.99,310802762,2.07,36386,1.94,49172194,1.74,2929835,2.19,108744,1.97,128104,1.53,359974956,1.8
AZ,2014,education - elementary and secondary instructional,61160,2.59,228813844,2.62,21544,2.51,32808334,2.23,1644810,3.13,70645,2.6,82704,2.02,261622178,2.31
AZ,2014,education - elementary and secondary other,30558,2.97,81988918,2.84,14842,3.05,16363860,2.7,1285025,2.99,38099,2.89,45400,2.24,98352778,2.41
AZ,2014,education - higher education total,8363,1.48,47115555,1.27,10961,1.65,12118754,1.13,743437,1.96,12597,1.49,19324,1.13,59234309,1.04
AZ,2014,education - higher education instructional,2292,2.7,17316382,2,4721,2.68,6107132,1.97,272120,4.38,3853,3,7013,2.01,23423514,1.56
AZ,2014,education - higher education other,6071,1.76,29799173,1.64,6240,2.08,6011622,1.1,471317,1.77,8744,1.69,12311,1.36,35810795,1.38
AZ,2014,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2014,libraries,1255,1.44,4891859,1.46,1138,0.43,1280767,0.38,89831,0.42,1757,1.08,2393,0.78,6172626,1.16
AZ,2014,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2014,other and unallocable,3233,0.89,14092576,1.05,360,0.9,467630,1.08,25392,1.39,3375,0.92,3593,0.81,14560206,1.01
AR,2014,total,99604,0.72,317631268,0.82,20468,0.75,12994834,0.77,1075330,0.94,105803,0.71,120072,0.61,330626102,0.79
AR,2014,financial administration,2153,2.2,6408824,1.53,387,0.29,238637,0.34,19373,0.4,2258,2.18,2540,1.87,6647461,1.47
AR,2014,other government administration,1965,2.8,5479874,2.3,2680,0.76,963182,1.36,58687,2.11,2300,3.08,4645,1.26,6443056,1.97
AR,2014,judicial and legal,1580,2.06,4416134,1.85,448,0.97,351646,0.86,23466,0.82,1712,2.11,2028,1.62,4767780,1.71
AR,2014,police protection total,7080,1.83,24062519,1.53,714,1.41,458402,1.27,41138,1.28,7312,1.85,7794,1.67,24520921,1.5
AR,2014,police protection - officers,5763,2.22,20586300,1.77,469,2.08,286248,1.95,25578,2,5904,2.26,6232,2.06,20872548,1.75
AR,2014,police protection - other,1317,1.59,3476219,1.27,245,1.04,172154,0.95,15560,0.75,1408,1.62,1562,1.35,3648373,1.21
AR,2014,fire protection total,2719,0.58,11063624,0.43,1604,3.67,390916,4.49,34073,5.53,2913,1.2,4323,1.41,11454540,0.44
AR,2014,fire protection - firefighters,2642,0.59,10791426,0.44,1536,3.84,378606,4.64,33206,5.67,2830,1.23,4178,1.46,11170032,0.45
AR,2014,fire protection - other,77,0.15,272198,0.11,68,0.04,12310,0.27,867,0.2,83,0.22,145,0.08,284508,0.11
AR,2014,corrections,2460,1.79,6041734,1.47,175,1.59,128980,1.68,12728,1.8,2538,1.83,2635,1.68,6170714,1.44
AR,2014,highways,3471,2.85,9307467,2.57,222,0.89,212031,1.08,20888,1.15,3583,2.92,3693,2.68,9519498,2.51
AR,2014,air transportation,308,0.08,1177985,0.05,38,0.13,33871,0.14,3318,0.1,328,0.08,346,0.07,1211856,0.04
AR,2014,water transport and terminals,10,0.01,63174,0.01,2,0.01,458,0.01,35,0.01,10,0.01,12,0.01,63632,0.01
AR,2014,public welfare,57,0.16,133085,0.14,60,1.66,47376,1.53,4660,1.53,76,0.29,117,0.85,180461,0.42
AR,2014,health,584,0.69,2059245,0.56,124,0.42,96049,0.29,7070,0.4,620,0.69,708,0.57,2155294,0.53
AR,2014,hospitals,1264,0.05,4272677,0.04,357,0.06,443787,0.05,24310,0.07,1402,0.05,1621,0.04,4716464,0.03
AR,2014,social insurance administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2014,solid waste management,1446,2.02,3628162,1.84,147,0.97,99675,0.73,10114,0.73,1507,2.11,1593,1.84,3727837,1.79
AR,2014,sewerage,1215,0.8,4070992,0.56,96,0.03,74365,0.02,6913,0.03,1249,0.78,1311,0.74,4145357,0.55
AR,2014,parks and recreation,1024,1.47,3046307,1.25,732,0.94,510838,0.67,52818,0.76,1321,1.45,1756,0.94,3557145,1.07
AR,2014,housing and community development,950,1.24,2953776,1.19,219,0.87,216260,1.11,19216,0.63,1063,1.18,1169,1.02,3170036,1.12
AR,2014,natural resources,170,0.71,424475,0.77,118,0.01,83182,0.01,6028,0.01,202,0.6,288,0.42,507657,0.64
AR,2014,water transport and terminals,2240,1.18,7834895,0.98,237,0.1,248169,0.11,17365,0.14,2339,1.16,2477,1.06,8083064,0.95
AR,2014,electric power,445,0.17,2023113,0.13,8,0.01,12397,0.01,824,0.01,450,0.16,453,0.16,2035510,0.13
AR,2014,gas supply,7,0.01,22110,0.01,0,0.01,0,0.01,0,0.01,7,0.01,7,0.01,22110,0.01
AR,2014,transit,339,0.03,1141800,0.02,30,0.47,32999,0.46,3586,0.48,360,0.05,369,0.04,1174799,0.02
AR,2014,education total,65819,1.05,211282506,1.21,10995,1.26,76e5,1.27,637089,1.54,69538,1.04,76814,0.91,218882506,1.17
AR,2014,education - elementary and secondary total,65519,1.05,210151284,1.21,10689,1.28,7163670,1.3,620126,1.57,69142,1.04,76208,0.92,217314954,1.17
AR,2014,education - elementary and secondary instructional,43866,1.31,166262466,1.47,5620,1.53,2947148,1.67,266520,2.02,45418,1.32,49486,1.18,169209614,1.45
AR,2014,education - elementary and secondary other,21653,1.73,43888818,1.64,5069,2.11,4216522,1.87,353606,2.29,23724,1.68,26722,1.46,48105340,1.51
AR,2014,education - higher education total,300,7.02,1131222,6.57,306,6.32,436330,6.06,16963,8.26,396,7.18,606,4.72,1567552,5.03
AR,2014,education - higher education instructional,104,8.4,506526,8.07,168,8.5,263131,7.99,7799,12.09,148,9.24,272,6.16,769657,5.98
AR,2014,education - higher education other,196,9.78,624696,9.94,138,9.43,173199,9.24,9164,11.3,248,10.04,334,6.94,797895,8.04
AR,2014,education - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2014,libraries,722,1.12,1998722,0.95,653,0.99,463402,0.8,44776,0.84,987,1.15,1375,0.75,2462124,0.79
AR,2014,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2014,other and unallocable,1576,2.03,4718068,1.68,422,1.75,288212,2.02,26855,2.22,1728,2.27,1998,1.64,5006280,1.58
CA,2014,total,1137251,0.48,7040878211,0.49,509701,0.71,762016181,0.72,34710838,0.76,1342681,0.51,1646952,0.4,7802894392,0.44
CA,2014,financial administration,25320,0.77,160716337,0.72,1710,1.19,3768302,1.31,159983,1.35,26230,0.77,27030,0.72,164484639,0.7
CA,2014,other government administration,23611,0.72,151666465,0.71,5687,1.23,9140377,0.85,368546,1.03,25717,0.71,29298,0.62,160806842,0.67
CA,2014,judicial and legal,36745,0.64,274399746,0.5,1791,0.69,6459177,0.56,165780,0.72,37676,0.66,38536,0.61,280858923,0.49
CA,2014,police protection total,85223,0.58,679520247,0.63,6506,1.44,11680584,1.22,514123,1.38,88165,0.58,91729,0.54,691200831,0.62
CA,2014,police protection - officers,61914,0.71,539878999,0.77,1733,0.54,3843209,0.51,126032,0.51,62627,0.71,63647,0.69,543722208,0.76
CA,2014,police protection - other,23309,0.91,139641248,0.87,4773,1.96,7837375,1.79,388091,1.82,25538,0.98,28082,0.83,147478623,0.83
CA,2014,fire protection total,31719,0.83,313905417,0.96,4607,0.91,4740771,0.69,228891,1.29,33012,0.74,36326,0.73,318646188,0.95
CA,2014,fire protection - firefighters,28036,0.93,290124852,1.04,3424,1.16,3090761,0.95,157486,1.84,28932,0.84,31460,0.84,293215613,1.03
CA,2014,fire protection - other,3683,0.72,23780565,0.8,1183,1.13,1650010,0.86,71405,0.8,4080,0.78,4866,0.61,25430575,0.75
