state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,year
AL,water transport and terminals,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,public welfare,1124,1.7,2531327,1.7,427,2.69,367493,2.79,36701,2.8,1341,2.32,1551,1.44,2898820,1.52,2009
AL,health,5102,0.86,14991990,0.72,1204,0.65,1061643,0.88,93666,0.64,5632,1.11,6306,0.71,16053633,0.68,2009
AL,hospitals,21763,0.02,81343809,0.03,7098,0.03,13668772,0.02,710839,0.03,25889,0.01,28861,0.02,95012581,0.02,2009
AL,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,solid waste management,3470,2.74,8929288,2.2,64,0.52,80565,0.37,7209,0.38,3511,2.73,3534,2.69,9009853,2.18,2009
AL,sewerage,1481,1.72,5294907,2.15,12,0.18,12670,0.27,769,0.3,1485,1.72,1493,1.7,5307577,2.14,2009
AL,parks and recreation,2753,1.74,7887656,1.62,1778,2.37,1268107,1.89,136490,1.91,3525,1.9,4531,1.41,9155763,1.42,2009
AL,housing and community development,2009,2.46,6958732,2.38,128,3.37,172375,3.95,10002,3.64,2066,2.52,2137,2.32,7131107,2.33,2009
AL,natural resources,413,0.02,1124119,0.03,5,0.01,6197,0.01,534,0.01,416,0.02,418,0.02,1130316,0.03,2009
AL,water transport and terminals,4767,1.1,14836450,1.23,178,1.06,176585,0.84,17833,1.11,4868,1.11,4945,1.06,15013035,1.21,2009
AL,electric power,1383,4.69,5715218,5.3,50,0.65,81520,0.77,4363,0.63,1408,4.63,1433,4.52,5796738,5.22,2009
AL,gas supply,946,1.4,3479001,2.48,30,0.45,28986,0.83,2541,0.37,961,1.39,976,1.36,3507987,2.46,2009
AL,transit,497,1.05,1421073,0.54,98,3.97,102801,5.05,10183,4.92,555,0.91,595,1.09,1523874,0.61,2009
AL,education total,101337,1.48,310529186,1.48,11074,2.72,5718416,2.84,548159,3.11,104607,1.5,112411,1.36,316247602,1.45,2009
AL,education - elementary and secondary total,101337,1.48,310529186,1.48,11074,2.72,5718416,2.84,548159,3.11,104607,1.5,112411,1.36,316247602,1.45,2009
AL,education - elementary and secondary instructional,69200,1.48,249776385,1.49,6876,1.75,3449532,1.68,300949,1.69,71006,1.46,76076,1.35,253225917,1.47,2009
AL,education - elementary and secondary other,32137,1.49,60752801,1.43,4198,4.3,2268884,4.59,247210,4.83,33601,1.58,36335,1.41,63021685,1.39,2009
AL,education - higher education total,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,libraries,896,1.4,2620121,1.13,537,1.7,635662,1.17,54877,1.21,1205,1.15,1433,1.08,3255783,0.93,2009
AL,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AL,other and unallocable,4766,3.51,15024707,2.27,487,1.53,578717,2.03,48502,1.62,5043,3.47,5253,3.18,15603424,2.18,2009
AK,total,24406,0.33,117000644,0.3,8586,0.7,9182257,1.13,501241,0.8,27267,0.35,32992,0.3,126182901,0.29,2009
AK,financial administration,941,0.4,4721861,0.26,69,4.41,88278,4.47,4576,3.72,973,0.39,1010,0.48,4810139,0.27,2009
AK,other government administration,904,0.89,4325199,0.68,772,2.48,380199,2.24,16487,2.32,1001,1.12,1676,1.24,4705398,0.65,2009
AK,judicial and legal,109,0.01,661556,0.01,5,0.01,17435,0.01,404,0.01,111,0.01,114,0,678991,0,2009
AK,police protection total,1185,0.31,7438274,0.25,84,3.36,95189,3.74,7049,4.42,1226,0.61,1269,0.36,7533463,0.25,2009
AK,police protection - officers,758,0.37,5276377,0.3,44,4.82,55629,5.31,3929,6.78,780,0.79,802,0.44,5332006,0.31,2009
AK,police protection - other,427,0.19,2161897,0.13,40,1.75,39560,1.52,3120,1.45,446,0.28,467,0.23,2201457,0.13,2009
AK,fire protection total,757,0.01,5120369,0.01,590,1.04,217314,0.06,14755,0.16,842,0.02,1347,0.45,5337683,0,2009
AK,fire protection - firefighters,621,0.01,4322582,0.01,502,1.22,179287,0.08,13274,0.18,698,0.03,1123,0.54,4501869,0,2009
AK,fire protection - other,136,0.01,797787,0.01,88,0.01,38027,0.01,1481,0.01,144,0.01,224,0,835814,0,2009
AK,corrections,48,0.01,212395,0.01,5,0.01,16390,0.01,643,0.01,52,0.01,53,0,228785,0,2009
AK,highways,695,0.51,3612892,0.41,135,2.45,123565,2.18,5738,2.51,729,0.63,830,0.58,3736457,0.4,2009
AK,air transportation,53,0.01,267740,0.01,10,0.01,32480,0.01,1157,0.01,59,0.01,63,0,300220,0,2009
AK,water transport and terminals,151,0.01,740034,0.01,18,0.01,41383,0.01,2046,0.01,163,0.01,169,0,781417,0,2009
AK,public welfare,187,0.01,829221,0.01,39,0.01,86649,0.47,4639,0.02,214,0,226,0,915870,0.04,2009
AK,health,241,0.01,1184631,0.01,272,0.01,236133,0.01,14794,0.01,323,0.01,513,0,1420764,0,2009
AK,hospitals,535,0.01,2975673,0.01,238,0.01,691930,0.01,27405,0.01,693,0.01,773,0,3667603,0,2009
AK,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AK,solid waste management,307,0.19,1386363,0.17,86,2.75,73598,5.17,4272,6.47,329,0.81,393,0.62,1459961,0.31,2009
AK,sewerage,383,0.93,2015854,0.55,29,0.97,42005,0.94,2683,1.03,399,0.84,412,0.86,2057859,0.54,2009
AK,parks and recreation,340,0.35,1352669,0.39,715,4,677938,2.81,53841,3.9,651,1.73,1055,2.71,2030607,0.97,2009
AK,housing and community development,513,7.32,2565719,6.38,214,9.44,635300,15.14,22721,11.22,648,7.53,727,5.86,3201019,5.93,2009
AK,natural resources,22,0.01,142108,0.01,8,0.01,16227,0.01,815,0.01,27,0.01,30,0,158335,0,2009
AK,water transport and terminals,304,0.59,1563542,0.43,88,3.75,110495,3.56,6641,5.42,344,1.91,392,0.96,1674037,0.47,2009
AK,electric power,448,0.06,2892355,0.04,76,8.09,114772,4.98,5967,4.8,482,0.44,524,1.18,3007127,0.19,2009
AK,gas supply,5,0.01,22279,0.01,1,0.01,781,0.01,48,0.01,5,0.01,6,0,23060,0,2009
AK,transit,216,0.01,1007866,0.01,54,0.01,171905,0.01,6915,0.01,256,0.01,270,0,1179771,0,2009
AK,education total,15265,0.56,67976029,0.53,4719,1.28,4906156,0.83,273139,1.06,16803,0.63,19984,0.53,72882185,0.5,2009
AK,education - elementary and secondary total,15187,0.57,67571750,0.53,4676,1.29,4847755,0.84,270825,1.07,16711,0.63,19863,0.53,72419505,0.5,2009
AK,education - elementary and secondary instructional,9716,0.69,48159677,0.62,2480,0.9,2766751,0.53,149913,0.87,10545,0.7,12196,0.58,50926428,0.59,2009
AK,education - elementary and secondary other,5471,0.35,19412073,0.32,2196,1.73,2081004,1.26,120912,1.31,6166,0.52,7667,0.55,21493077,0.31,2009
AK,education - higher education total,78,0.01,404279,0.01,43,0.01,58401,0.01,2314,0.01,92,0.01,121,0,462680,0,2009
AK,education - higher education instructional,11,0.01,69234,0.01,13,0.01,23455,0.01,390,0.01,13,0.01,24,0,92689,0,2009
AK,education - higher education other,67,0.01,335045,0.01,30,0.01,34946,0.01,1924,0.01,79,0.01,97,0,369991,0,2009
AK,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AK,libraries,192,0.24,805747,0.2,179,0.25,240666,0.46,14104,0.78,272,0.69,371,0.17,1046413,0.19,2009
AK,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AK,other and unallocable,605,0.36,3180268,0.34,180,1.89,165469,3.97,10402,4.25,665,0.94,785,0.52,3345737,0.38,2009
AZ,total,215733,0.71,884048690,0.56,59594,0.75,65587328,0.62,4242462,0.69,239967,0.67,275327,0.58,949636018,0.52,2009
AZ,financial administration,4705,0.98,22607638,0.72,144,0.58,234712,0.25,12845,0.47,4778,1,4849,0.95,22842350,0.71,2009
AZ,other government administration,4099,1.25,20835685,1.33,410,3.41,501305,2.16,29344,2.73,4265,1.3,4509,1.18,21336990,1.3,2009
AZ,judicial and legal,8570,0.72,37719932,0.64,484,0.75,866331,0.77,40698,0.85,8800,0.72,9054,0.68,38586263,0.63,2009
AZ,police protection total,19116,0.38,97538207,0.47,400,0.92,572755,0.96,29783,1.04,19284,0.39,19516,0.37,98110962,0.47,2009
AZ,police protection - officers,14530,0.35,78344541,0.48,55,0.47,59448,0.21,2972,0.5,14547,0.35,14585,0.35,78403989,0.48,2009
AZ,police protection - other,4586,0.47,19193666,0.43,345,1,513307,1.05,26811,1.1,4737,0.49,4931,0.45,19706973,0.42,2009
AZ,fire protection total,7939,1.7,49438203,1.66,927,1.87,482873,2.5,38976,2.53,8161,1.63,8866,1.53,49921076,1.64,2009
AZ,fire protection - firefighters,6729,1.57,43377063,1.53,835,1.8,330742,2.1,31011,2.26,6906,1.46,7564,1.41,43707805,1.52,2009
AZ,fire protection - other,1210,2.43,6061140,2.55,92,2.47,152131,3.37,7965,3.58,1255,2.52,1302,2.26,6213271,2.49,2009
AZ,corrections,6091,1.39,21814713,1.21,170,2.11,236071,1.51,14673,1.59,6174,1.38,6261,1.35,22050784,1.2,2009
AZ,highways,4354,0.91,18668710,0.8,79,1.39,151711,0.71,6743,0.89,4392,0.92,4433,0.89,18820421,0.8,2009
AZ,air transportation,1140,0.22,5070023,0.17,27,0.58,30298,1.12,2030,1.19,1151,0.23,1167,0.22,5100321,0.17,2009
AZ,water transport and terminals,17,0.01,38288,0.01,0,0.01,0,0.01,0,0.01,17,0.01,17,0,38288,0,2009
AZ,public welfare,1661,0.75,6691730,0.58,712,0.32,925631,0.18,66679,0.22,2039,0.67,2373,0.54,7617361,0.51,2009
AZ,health,3595,0.7,13006682,0.6,671,0.39,1036703,0.31,66427,0.32,3970,0.66,4266,0.59,14043385,0.56,2009
AZ,hospitals,2193,0.01,10876982,0.01,912,0.01,1895583,0.01,52214,0.01,2488,0.01,3105,0,12772565,0,2009
AZ,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AZ,solid waste management,2486,0.81,10631090,0.8,47,1.03,60293,1.1,4808,1.24,2513,0.82,2533,0.79,10691383,0.79,2009
AZ,sewerage,1671,0.89,7219610,0.81,28,1.63,42691,1.04,2433,1.53,1685,0.91,1699,0.88,7262301,0.81,2009
AZ,parks and recreation,3836,0.72,14652080,0.69,4002,1.07,3163766,0.74,259653,0.95,5306,0.83,7838,0.65,17815846,0.58,2009
AZ,housing and community development,1473,0.75,6874723,0.51,143,0.03,135008,0.07,10401,0.04,1532,0.73,1616,0.68,7009731,0.5,2009
AZ,natural resources,790,4.02,3335820,3.54,30,2.79,44624,3.77,2910,3.38,807,4.03,820,3.87,3380444,3.49,2009
AZ,water transport and terminals,3461,0.51,16364677,0.42,98,0.56,120104,0.34,7705,0.4,3504,0.51,3559,0.5,16484781,0.41,2009
AZ,electric power,5289,0.01,37145561,0.01,231,0.01,623301,0.01,28100,0.01,5448,0.01,5520,0,37768862,0,2009
AZ,gas supply,93,0.01,525839,0.01,1,0.01,2174,0.01,148,0.01,94,0.01,94,0,528013,0,2009
AZ,transit,328,0.58,1366640,0.31,79,4.23,109202,2.88,7684,3.16,371,1.26,407,0.95,1475842,0.36,2009
AZ,education total,126295,1.73,454676217,1.53,48110,1.82,52657723,1.53,3410946,1.59,145822,1.58,174405,1.35,507333940,1.38,2009
AZ,education - elementary and secondary total,117467,1.76,408735679,1.53,35156,1.41,39231580,1.15,2611266,1.29,132441,1.66,152623,1.39,447967259,1.4,2009
AZ,education - elementary and secondary instructional,79800,1.64,307514014,1.45,20193,1.11,24332110,1.03,1377112,1.15,87697,1.57,99993,1.33,331846124,1.35,2009
AZ,education - elementary and secondary other,37667,2,101221665,1.76,14963,1.81,14899470,1.34,1234154,1.45,44744,1.83,52630,1.52,116121135,1.55,2009
AZ,education - higher education total,8828,1.42,45940538,1.5,12954,2.93,13426143,2.64,799680,2.56,13381,0.78,21782,1.83,59366681,1.3,2009
AZ,education - higher education instructional,2289,2.62,17413132,2.05,5281,2.98,7120813,2.33,266607,1.64,3811,2.07,7570,2.22,24533945,1.6,2009
AZ,education - higher education other,6539,1,28527406,1.16,7673,2.89,6305330,3,533073,3.02,9570,0.27,14212,1.63,34832736,1.09,2009
AZ,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AZ,libraries,1295,0.82,5351867,0.83,1156,0.89,1244535,0.76,93116,0.84,1822,0.84,2451,0.61,6596402,0.69,2009
AZ,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AZ,other and unallocable,5236,2.27,21597773,1.85,733,1.36,449934,1.54,54146,1.09,5544,2.25,5969,2,22047707,1.82,2009
AR,total,100251,1.23,308627116,1.44,20773,1.36,11806839,1.54,1085088,1.49,106156,1.25,121024,1.05,320433955,1.39,2009
AR,financial administration,2236,2.86,5801495,2.38,263,1.64,197475,2.19,20757,1.85,2345,2.55,2499,2.56,5998970,2.3,2009
AR,other government administration,2012,1.78,5100129,1.52,2686,0.95,854068,3.88,56596,3.96,2261,2.17,4698,0.94,5954197,1.42,2009
AR,judicial and legal,1637,1.73,4096337,1.42,422,1.86,343233,2.47,23306,2.76,1759,1.95,2059,1.43,4439570,1.32,2009
AR,police protection total,7375,1.43,22324598,1.26,554,2.95,441248,3.66,36787,3.96,7584,1.48,7929,1.34,22765846,1.24,2009
AR,police protection - officers,5867,1.23,18657970,1.15,315,2.42,290151,2.9,19204,3.03,5982,1.24,6182,1.17,18948121,1.14,2009
AR,police protection - other,1508,2.19,3666628,1.83,239,3.63,151097,5.13,17583,4.97,1602,2.37,1747,1.96,3817725,1.77,2009
AR,fire protection total,2762,0.81,10259314,0.65,1907,4.25,354174,5.54,31391,7.33,2904,1.54,4669,1.8,10613488,0.65,2009
AR,fire protection - firefighters,2666,0.79,9978001,0.61,1903,4.26,350683,5.57,31089,7.37,2806,1.55,4569,1.83,10328684,0.62,2009
AR,fire protection - other,96,1.24,281313,2.05,4,2.95,3491,2.04,302,3.13,98,1.18,100,1.2,284804,2.03,2009
AR,corrections,2455,2.29,5160275,1.99,112,6.09,81557,6.69,10798,6.45,2511,2.34,2567,2.2,5241832,1.96,2009
AR,highways,4033,2.22,9579934,1.94,231,0.76,197024,0.81,19619,0.7,4141,2.19,4264,2.1,9776958,1.9,2009
AR,air transportation,275,2,953878,3.17,36,1.77,27607,0.46,2331,0.35,288,2.39,311,1.78,981485,3.08,2009
AR,water transport and terminals,14,0.01,69142,0.01,1,0.01,992,0.01,77,0.01,14,0.01,15,0,70134,0,2009
AR,public welfare,71,3.31,143993,2.76,50,2.93,34232,4.12,4303,3.03,94,5.76,121,2.29,178225,2.36,2009
AR,health,301,3.15,774907,2.9,48,5.24,31328,3.96,3100,5.42,318,4.24,349,2.81,806235,2.79,2009
AR,hospitals,1691,0.01,4488247,0.01,443,0.01,625856,0.01,29261,0.01,1856,0.01,2134,0,5114103,0,2009
AR,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AR,solid waste management,1489,2.13,3516451,2.18,98,3.4,72385,2.95,7517,3.74,1531,2,1587,2.01,3588836,2.14,2009
AR,sewerage,1239,1.18,3957764,1.05,40,1.15,28428,1.03,3438,1.2,1258,1.22,1279,1.15,3986192,1.05,2009
AR,parks and recreation,1014,1.4,2409400,1.45,681,4.4,439950,3.65,59270,3.4,1326,2.29,1695,1.96,2849350,1.35,2009
AR,housing and community development,998,3.1,2558529,3.16,202,0.84,208337,0.94,20946,0.64,1110,2.9,1200,2.58,2766866,2.92,2009
AR,natural resources,243,0.36,431605,0.73,77,0.42,58063,0.43,6934,0.36,282,0.48,320,0.29,489668,0.65,2009
AR,water transport and terminals,2220,1.84,6863890,1.59,107,1.36,118065,1.01,10189,1.35,2273,1.86,2327,1.75,6981955,1.56,2009
AR,electric power,489,2.06,2042356,1.5,7,0.01,8076,0.01,509,0.01,492,2.05,496,2.03,2050432,1.5,2009
AR,gas supply,7,0.01,20734,0.01,0,0.01,0,0.01,0,0.01,7,0.01,7,0,20734,0,2009
AR,transit,321,0.01,911168,0.01,19,0.01,20760,0.01,1790,0.01,331,0.01,340,0,931928,0,2009
AR,education total,65132,2.58,211354998,2.58,11686,3.17,6986734,3.56,661003,3.32,68828,2.62,76818,2.24,218341732,2.5,2009
AR,education - elementary and secondary total,65022,2.58,210994265,2.59,11594,3.2,6907032,3.6,653185,3.36,68681,2.63,76616,2.24,217901297,2.51,2009
AR,education - elementary and secondary instructional,44168,2.36,166658388,2.55,7224,2.99,3659203,3.52,346677,3.43,46172,2.42,51392,2.08,170317591,2.5,2009
AR,education - elementary and secondary other,20854,3.04,44335877,2.72,4370,3.54,3247829,3.7,306508,3.28,22509,3.06,25224,2.59,47583706,2.55,2009
AR,education - higher education total,110,0.01,360733,0.01,92,0.01,79702,0.01,7818,0.01,147,0.01,202,0,440435,0,2009
AR,education - higher education instructional,41,0.01,164423,0.01,55,0.01,56765,0.01,4642,0.01,63,0.01,96,0,221188,0,2009
AR,education - higher education other,69,0.01,196310,0.01,37,0.01,22937,0.01,3176,0.01,84,0.01,106,0,219247,0,2009
AR,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AR,libraries,759,3.07,1835919,3.06,625,3.12,396842,2.6,43846,2.54,988,2.72,1384,2.2,2232761,2.56,2009
AR,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2009
AR,other and unallocable,1478,2.14,3972053,1.6,478,0.75,280405,0.94,31320,0.96,1655,2.22,1956,1.63,4252458,1.5,2009
CA,total,1217921,0.13,7040387000,0.13,534189,0.2,753804146,0.18,37259689,0.22,1434973,0.13,1752110,0.11,7794191146,0.12,2009
CA,financial administration,25723,0.37,151494558,0.35,1540,0.37,3404591,0.34,150663,0.41,26577,0.36,27263,0.35,154899149,0.34,2009
CA,other government administration,23657,0.38,148410130,0.39,3795,0.43,6421564,0.25,310757,0.26,25429,0.37,27452,0.33,154831694,0.38,2009
CA,judicial and legal,42244,0.15,291014203,0.11,2243,0.09,5783814,0.13,225560,0.11,43522,0.16,44487,0.14,296798017,0.11,2009
CA,police protection total,92089,0.27,685447526,0.26,7641,0.59,12221168,0.39,636567,0.64,95695,0.27,99730,0.25,697668694,0.26,2009
CA,police protection - officers,66668,0.2,545778761,0.22,2014,0.16,4298386,0.11,152129,0.15,67532,0.2,68682,0.2,550077147,0.22,2009
CA,police protection - other,25421,0.43,139668765,0.41,5627,0.75,7922782,0.54,484438,0.8,28163,0.44,31048,0.38,147591547,0.39,2009
CA,fire protection total,34159,0.72,307594752,0.66,2787,0.35,2481949,0.35,143309,0.42,34973,0.75,36946,0.66,310076701,0.65,2009
CA,fire protection - firefighters,29582,0.75,284955656,0.66,2129,0.3,1600922,0.27,98809,0.29,30144,0.78,31711,0.7,286556578,0.66,2009
CA,fire protection - other,4577,0.48,22639096,0.63,658,0.52,881027,0.49,44500,0.72,4829,0.55,5235,0.42,23520123,0.6,2009
