state,government_function,full_time_equivalent_employees,total_march_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
AK,public welfare,163,544538,141,44,511005,33533,3946,1997
AK,health,449,1225260,394,80,1111881,113379,9350,1997
AK,hospitals,386,1320017,313,114,1136319,183698,12465,1997
AK,solid waste management,394,1504654,376,56,1464227,40427,3403,1997
AK,sewerage,331,1293341,312,66,1250229,43112,3487,1997
AK,parks and recreation,480,1098249,255,414,754787,343462,38991,1997
AK,housing and community development,594,1986225,375,247,1357321,628904,36482,1997
AK,natural resources,28,125075,27,2,123144,1931,133,1997
AK,water transport and terminals,378,1127082,359,71,1086491,40591,3193,1997
AK,electric power,563,2638227,555,14,2616381,21846,1174,1997
AK,gas supply,0,0,0,0,0,0,0,1997
AK,transit,241,819257,219,24,765743,53514,3677,1997
AK,education - elementary and secondary instructional,9316,35899123,8584,2105,34385310,1513813,121891,1997
AK,education - elementary and secondary other,4003,11919174,3529,2251,10976734,942440,81093,1997
AK,libraries,282,720101,200,148,576694,143407,14277,1997
AK,other and unallocable,1216,3481717,1006,800,3078037,403680,36173,1997
AZ,total,165331,423699773,143542,50787,388219535,35480238,3822047,1997
AZ,financial administration,3218,8590590,3128,195,8437323,153267,16193,1997
AZ,other government administration,3848,11941098,3629,540,11488457,452641,38939,1997
AZ,judicial and legal,6701,17747620,6416,785,17127912,619708,50990,1997
AZ,police protection - officers,9893,33138671,9872,48,33097741,40930,3419,1997
AZ,police protection - other,3101,8395666,2928,315,8088152,307514,30074,1997
AZ,fire protection - firefighters,3878,13990698,3640,1288,13618689,372009,41862,1997
AZ,fire protection - other,694,2274443,620,153,2135303,139140,13309,1997
AZ,corrections,3911,8971268,3742,421,8669796,301472,30073,1997
AZ,streets and highways,4147,11019341,4063,133,10867284,152057,14405,1997
AZ,air transportation,931,2611797,901,46,2566455,45342,4840,1997
AZ,water transport and terminals,0,0,0,0,0,0,0,1997
AZ,public welfare,1573,3665962,1304,455,3240680,425282,47525,1997
AZ,health,2516,5288352,2385,291,5076296,212056,23357,1997
AZ,hospitals,3380,6499546,2338,2601,4648023,1851523,184484,1997
AZ,solid waste management,1983,5388264,1924,93,5288044,100220,10197,1997
AZ,sewerage,1236,3326789,1219,44,3296111,30678,2597,1997
AZ,parks and recreation,3646,7771234,2574,2894,6264326,1506908,189731,1997
AZ,housing and community development,910,2603443,879,49,2552840,50603,5276,1997
AZ,natural resources,1021,2810025,1001,68,2766988,43037,4088,1997
AZ,water transport and terminals,2842,8702972,2802,76,8635598,67374,7076,1997
AZ,electric power,4502,20608571,4412,130,20329257,279314,16067,1997
AZ,gas supply,18,43286,18,0,43286,0,0,1997
AZ,transit,106,298536,90,32,267515,31021,2858,1997
AZ,education - elementary and secondary instructional,58194,151382236,52035,11803,141432682,9949554,1083795,1997
AZ,education - elementary and secondary other,28508,48674505,21653,14312,39378335,9296170,1198093,1997
AZ,education - higher education instructional,4055,11616152,1961,6718,6737461,4878691,365343,1997
AZ,education - higher education other,5597,13443937,3672,5952,10186488,3257449,333825,1997
AZ,libraries,1487,3320408,1099,836,2748518,571890,68677,1997
AZ,other and unallocable,3435,9574363,3237,509,9229975,344388,34954,1997
AR,total,90806,174178070,84777,21309,165896911,8281159,1063155,1997
AR,financial administration,1945,3412781,1885,236,3317963,94818,12103,1997
AR,other government administration,2008,3674856,1806,2359,3150225,524631,40301,1997
AR,judicial and legal,1623,3108521,1434,548,2778728,329793,33799,1997
AR,police protection - officers,4453,10347346,4360,287,10210458,136888,17325,1997
AR,police protection - other,1224,1797590,1144,245,1701181,96409,14221,1997
AR,fire protection - firefighters,2093,5300830,2034,1547,5198604,102226,12625,1997
AR,fire protection - other,83,131942,71,54,118500,13442,2418,1997
AR,corrections,1371,2179655,1322,106,2120198,59457,7983,1997
AR,streets and highways,3464,5801450,3355,254,5664246,137204,19481,1997
AR,air transportation,193,334729,185,20,325711,9018,1391,1997
AR,water transport and terminals,10,30458,10,0,30458,0,0,1997
AR,public welfare,274,432920,242,68,397001,35919,5980,1997
AR,health,221,376679,206,37,361957,14722,2402,1997
AR,hospitals,4331,7737821,3750,1073,6707669,1030152,100227,1997
AR,solid waste management,1319,2086975,1263,148,2016261,70714,10194,1997
AR,sewerage,871,1704325,854,57,1675045,29280,3557,1997
AR,parks and recreation,833,1278809,653,395,1082964,195845,32117,1997
AR,housing and community development,904,1585630,820,189,1468454,117176,15371,1997
AR,natural resources,273,374220,222,189,306110,68110,8844,1997
AR,water transport and terminals,1808,3489333,1756,196,3387284,102049,11503,1997
AR,electric power,303,817033,302,3,815832,1201,126,1997
AR,gas supply,3,4002,2,1,3418,584,97,1997
AR,transit,176,405888,169,10,396213,9675,1063,1997
AR,education - elementary and secondary instructional,39985,90336488,38735,4626,88741319,1595169,214206,1997
AR,education - elementary and secondary other,18070,22665164,15715,7223,19768372,2896792,409601,1997
AR,libraries,753,1136022,593,419,959896,176126,27901,1997
AR,other and unallocable,2215,3626603,1889,1019,3192844,433759,58319,1997
CA,total,1194169,4030696337,1010604,428781,3657603876,373092461,31867727,1997
CA,financial administration,20873,71949148,20086,1434,70130998,1818150,138357,1997
CA,other government administration,22629,85764644,21128,4323,81521751,4242893,265558,1997
CA,judicial and legal,36764,147764923,35536,2299,144162432,3602491,214506,1997
CA,police protection - officers,57551,289189586,56998,1998,287849205,1340381,97279,1997
CA,police protection - other,22756,71180049,20447,4984,67121732,4058317,406297,1997
CA,fire protection - firefighters,27162,150098468,26491,3628,148786941,1311527,120835,1997
CA,fire protection - other,2646,9675530,2439,511,9279117,396413,37755,1997
CA,corrections,28543,96317997,27246,2370,93071172,3246825,225662,1997
CA,streets and highways,20925,74966971,20094,1456,73153806,1813165,145820,1997
CA,air transportation,4999,18223020,4788,359,17821270,401750,36893,1997
CA,water transport and terminals,1937,8021343,1842,204,7786720,234623,16577,1997
CA,public welfare,49019,139292227,47722,2498,136512532,2779695,225757,1997
CA,health,34231,115820703,31168,5323,107189441,8631262,534377,1997
CA,hospitals,63636,210557460,54448,15975,181911304,28646156,1614663,1997
CA,solid waste management,6661,22441567,6298,542,21764085,677482,63228,1997
CA,sewerage,12308,48221508,11949,767,47261670,959838,64440,1997
CA,parks and recreation,30529,74379653,21156,23250,59460621,14919032,1654481,1997
CA,housing and community development,11618,40034024,10792,1501,38096533,1937491,145178,1997
CA,natural resources,7697,26350702,7298,925,25469729,880973,70913,1997
CA,water transport and terminals,23863,96357859,23121,1752,94433701,1924158,131052,1997
CA,electric power,14102,65772209,13778,541,64880466,891743,57285,1997
CA,gas supply,264,924116,264,0,924116,0,0,1997
CA,transit,28868,109159926,27563,1945,106059926,3100000,229924,1997
CA,education - elementary and secondary instructional,373235,1311142489,303819,151080,1164823431,146319058,11946561,1997
CA,education - elementary and secondary other,173676,381338743,130684,102127,311533837,69804906,7395818,1997
CA,education - higher education instructional,36032,129906056,20381,39797,90459210,39446846,2754128,1997
CA,education - higher education other,33833,80204229,22255,41759,63935457,16268772,2039863,1997
CA,libraries,11270,30009186,7771,8502,23143961,6865225,616912,1997
CA,other and unallocable,36542,125632001,33042,6931,119058712,6573289,617608,1997
CO,total,153146,401029469,135132,53273,371488370,29541099,3170220,1997
CO,financial administration,3270,8855345,3151,286,8632527,222818,21353,1997
CO,other government administration,4130,11224138,3892,7732,10644488,579650,44115,1997
CO,judicial and legal,2089,6816651,1994,361,6527235,289416,19356,1997
CO,police protection - officers,7542,27078105,7518,91,27029988,48117,4324,1997
CO,police protection - other,2755,6707239,2598,406,6435496,271743,27984,1997
CO,fire protection - firefighters,3778,14660059,3668,585,14486351,173708,19563,1997
CO,fire protection - other,379,1053489,344,203,982066,71423,6776,1997
CO,corrections,2950,8346220,2910,87,8272197,74023,7371,1997
CO,streets and highways,4939,13333052,4772,333,13045740,287312,30341,1997
CO,air transportation,1103,3645993,1038,130,3534721,111272,11284,1997
CO,water transport and terminals,0,0,0,0,0,0,0,1997
CO,public welfare,4912,11350244,4648,516,10911097,439147,46500,1997
CO,health,2327,5428388,1889,1214,4573601,854787,76926,1997
CO,hospitals,8063,19308459,7134,1873,17295085,2013374,162699,1997
CO,solid waste management,648,1587002,604,90,1515778,71224,8064,1997
CO,sewerage,2134,6463996,2070,304,6335870,128126,11635,1997
CO,parks and recreation,5742,12443218,3399,6248,9239017,3204201,413978,1997
CO,housing and community development,1477,3967541,1348,368,3736145,231396,22694,1997
CO,natural resources,520,1180232,431,240,1039638,140594,17118,1997
CO,water transport and terminals,3807,11477040,3712,458,11290790,186250,17526,1997
CO,electric power,1398,5179563,1377,29,5146527,33036,3515,1997
CO,gas supply,323,1090636,323,0,1090636,0,0,1997
CO,transit,2520,6678841,2291,340,6279065,399776,40194,1997
CO,education - elementary and secondary instructional,54549,150955667,49056,15092,140777283,10178384,958442,1997
CO,education - elementary and secondary other,24119,43879035,18722,11988,36863312,7015723,945349,1997
CO,education - higher education instructional,441,1384854,310,914,981579,403275,23169,1997
CO,education - higher education other,848,1801545,635,667,1537047,264498,37396,1997
CO,libraries,1978,4363786,1402,1458,3339195,1024591,101509,1997
CO,other and unallocable,4405,10769131,3896,1260,9945896,823235,91039,1997
CT,total,104338,360715121,94546,24804,341624319,19090802,1617921,1997
CT,financial administration,2295,7128159,2147,429,6764965,363194,25979,1997
CT,other government administration,2055,6407682,1812,806,5825742,581940,40923,1997
CT,judicial and legal,180,754860,164,29,705889,48971,2286,1997
CT,police protection - officers,6636,29453287,6520,317,29229504,223783,19470,1997
CT,police protection - other,1436,3772191,1109,914,3149051,623140,56790,1997
CT,fire protection - firefighters,4144,17300126,4056,473,17120002,180124,15402,1997
CT,fire protection - other,269,785381,232,147,688110,97271,6819,1997
CT,corrections,0,0,0,0,0,0,0,1997
CT,streets and highways,3615,11983928,3550,172,11860968,122960,11008,1997
CT,air transportation,44,116931,44,0,116931,0,0,1997
CT,water transport and terminals,0,0,0,0,0,0,0,1997
CT,public welfare,1794,5186603,1482,718,4554974,631629,52964,1997
CT,health,1460,4174299,1264,475,3671738,502561,33670,1997
CT,hospitals,0,0,0,0,0,0,0,1997
CT,solid waste management,1038,3406896,980,139,3305705,101191,9934,1997
CT,sewerage,1119,3848605,1100,53,3808807,39798,3122,1997
CT,parks and recreation,2069,5298059,1466,2032,4316550,981509,103372,1997
CT,housing and community development,1511,4625858,1383,294,4391383,234475,20441,1997
CT,natural resources,70,245153,64,10,237746,7407,915,1997
CT,water transport and terminals,1030,3587465,1016,54,3556647,30818,2711,1997
CT,electric power,214,1013324,214,1,1012899,425,71,1997
CT,gas supply,33,138942,33,0,138942,0,0,1997
CT,transit,455,1332621,413,101,1260083,72538,7120,1997
CT,education - elementary and secondary instructional,53207,204960523,49306,8893,196554763,8405760,627648,1997
CT,education - elementary and secondary other,16092,35435975,13448,6344,31099429,4336546,435467,1997
CT,education - higher education instructional,0,0,0,0,0,0,0,1997
CT,education - higher education other,0,0,0,0,0,0,0,1997
CT,libraries,1415,3571291,993,1287,2835008,736283,71844,1997
CT,other and unallocable,2157,6186962,1750,1116,5418483,768479,69965,1997
DE,total,18865,51476203,17372,3489,49371066,2105137,250152,1997
DE,financial administration,413,1091576,403,26,1073670,17906,1921,1997
DE,other government administration,388,1037718,370,90,988907,48811,3528,1997
DE,judicial and legal,137,369720,132,15,356357,13363,907,1997
DE,police protection - officers,932,3446598,922,21,3434277,12321,1317,1997
DE,police protection - other,341,674886,165,265,394498,280388,28348,1997
DE,fire protection - firefighters,194,678966,194,0,678966,0,0,1997
DE,fire protection - other,90,310069,89,2,309232,837,93,1997
DE,corrections,0,0,0,0,0,0,0,1997
DE,streets and highways,350,831186,324,43,786679,44507,4647,1997
DE,air transportation,24,64864,23,1,63737,1127,108,1997
DE,water transport and terminals,198,557835,156,75,472180,85655,7514,1997
DE,public welfare,45,78254,17,55,45108,33146,4393,1997
DE,health,168,498539,168,0,498539,0,0,1997
DE,hospitals,0,0,0,0,0,0,0,1997
DE,solid waste management,115,208230,110,13,201887,6343,957,1997
DE,sewerage,368,914370,367,1,912962,1408,142,1997
DE,parks and recreation,300,666280,225,459,564765,101515,12739,1997
DE,housing and community development,279,572433,270,15,563265,9168,1375,1997
DE,natural resources,12,30319,12,0,30319,0,0,1997
DE,water transport and terminals,166,352259,165,4,350577,1682,246,1997
DE,electric power,140,422411,139,1,419373,3038,177,1997
DE,gas supply,0,0,0,0,0,0,0,1997
DE,transit,0,0,0,0,0,0,0,1997
DE,education - elementary and secondary instructional,9438,28154620,9058,950,27512636,641984,63144,1997
DE,education - elementary and secondary other,4046,8635546,3406,1276,7925749,709797,107199,1997
DE,education - higher education instructional,0,0,0,0,0,0,0,1997
DE,education - higher education other,0,0,0,0,0,0,0,1997
DE,libraries,185,373227,136,133,309723,63504,8310,1997
DE,other and unallocable,536,1506297,521,44,1477660,28637,3087,1997
DC,total,46246,177629245,44905,2366,174129482,3499763,230497,1997
DC,financial administration,737,2500589,707,67,2399786,100803,5258,1997
DC,other government administration,590,2127809,578,20,2083775,44034,2161,1997
DC,judicial and legal,1792,6284247,1777,31,6231341,52906,2670,1997
DC,police protection - officers,3657,15921131,3655,3,15913322,7809,317,1997
DC,police protection - other,687,2102047,634,133,1939130,162917,9427,1997
DC,fire protection - firefighters,1191,4427088,1191,0,4427088,0,0,1997
DC,fire protection - other,434,1606204,434,0,1606204,0,0,1997
DC,corrections,3749,14135430,3729,17,14061524,73906,3469,1997
DC,streets and highways,546,1698842,546,0,1698842,0,0,1997
DC,public welfare,1187,3586445,1187,0,3586445,0,0,1997
DC,health,1387,4477788,1352,68,4363411,114377,6274,1997
DC,hospitals,4027,14133892,3840,194,13477014,656878,33124,1997
DC,solid waste management,389,1045092,389,0,1045092,0,0,1997
DC,sewerage,577,2152245,577,0,2152245,0,0,1997
DC,parks and recreation,617,1628557,571,117,1506512,122045,8187,1997
DC,housing and community development,1500,4201065,1500,0,4201065,0,0,1997
DC,water transport and terminals,576,2147715,576,0,2147715,0,0,1997
DC,transit,7787,44444130,7666,241,44050263,393867,21348,1997
DC,education - elementary and secondary instructional,6242,25821904,6118,321,25429530,392374,20662,1997
DC,education - elementary and secondary other,4465,9179144,3951,664,8336268,842876,85366,1997
DC,education - higher education instructional,424,2051254,327,127,1706286,344968,17256,1997
DC,education - higher education other,325,1004605,283,105,951761,52844,7373,1997
DC,libraries,380,1116332,368,24,1079828,36504,2203,1997
DC,other and unallocable,2980,9835690,2949,234,9735035,100655,5402,1997
FL,total,543525,1358677227,511167,120423,1303204965,55472262,5670623,1997
FL,financial administration,13822,35464431,13458,646,34841097,623334,62115,1997
FL,other government administration,11023,32400343,10608,1437,31450830,949513,72334,1997
FL,judicial and legal,10696,27055390,10444,448,26547747,507643,44114,1997
FL,police protection - officers,32172,113970230,31964,758,113579127,391103,37202,1997
FL,police protection - other,14266,32565852,12680,4105,30203703,2362149,279263,1997
FL,fire protection - firefighters,16679,59186183,16471,636,58862075,324108,36911,1997
FL,fire protection - other,1899,5534992,1831,117,5424032,110960,10836,1997
FL,corrections,13567,38037123,13506,120,37925388,111735,10336,1997
FL,streets and highways,13487,30675764,13256,338,30270244,405520,40270,1997
FL,air transportation,2799,8654639,2741,79,8550017,104622,9870,1997
FL,water transport and terminals,940,3058085,888,85,2988314,69771,9152,1997
FL,public welfare,5293,11628934,4753,1161,11041298,587636,94467,1997
FL,health,5585,14917795,5399,374,14524401,393394,32512,1997
FL,hospitals,31562,91453021,28335,4958,82527767,8925254,570834,1997
FL,solid waste management,6915,14804956,6786,204,14620096,184860,22219,1997
FL,sewerage,8507,21361783,8445,101,21244896,116887,11010,1997
FL,parks and recreation,15107,29374572,11805,8408,24635171,4739401,582125,1997
FL,housing and community development,4540,10990883,4310,357,10648825,342058,38787,1997
FL,natural resources,4066,11812845,3979,196,11659235,153610,15271,1997
FL,water transport and terminals,9941,25761885,9862,140,25617186,144699,13643,1997
FL,electric power,5235,18493276,5220,36,18454620,38656,2597,1997
FL,gas supply,603,1244659,598,9,1236067,8592,803,1997
FL,transit,5335,16129471,5086,389,15688439,441032,43855,1997
FL,education - elementary and secondary instructional,147460,426584188,143465,36394,419327381,7256807,707121,1997
FL,education - elementary and secondary other,118379,168797011,109359,33140,157354836,11442175,1595465,1997
FL,education - higher education instructional,7625,26980408,5025,11878,19156156,7824252,445915,1997
FL,education - higher education other,13573,27781386,10052,10231,23183734,4597652,599582,1997
FL,libraries,4609,9569679,3839,1530,8565978,1003701,135652,1997
FL,other and unallocable,17840,44387443,17002,2148,43076305,1311138,146362,1997
GA,total,324480,725536871,302637,56947,686455412,39081459,3842970,1997
GA,financial administration,5968,13247234,5697,643,12786139,461095,47030,1997
GA,other government administration,3940,9556007,3670,2101,8732329,823678,50570,1997
GA,judicial and legal,6566,16647757,6163,1396,15540708,1107049,73332,1997
GA,police protection - officers,15676,39397182,15439,610,39072466,324716,41023,1997
GA,police protection - other,3954,7552821,3493,1225,6877042,675779,81049,1997
GA,fire protection - firefighters,8254,22423992,8020,1308,22083359,340633,42918,1997
GA,fire protection - other,484,958169,467,64,931648,26521,2971,1997
GA,corrections,6211,14011156,6091,197,13796372,214784,21464,1997
GA,streets and highways,7757,14833079,7645,218,14679034,154045,20046,1997
GA,air transportation,533,1379344,509,54,1321374,57970,4458,1997
GA,water transport and terminals,5,13294,5,0,13294,0,0,1997
GA,public welfare,581,1053479,481,179,898194,155285,17380,1997
GA,health,11865,24164386,10071,3682,21277602,2886784,316685,1997
GA,hospitals,39477,95693268,33844,9209,83229754,12463514,996518,1997
GA,solid waste management,4499,7924630,4245,488,7531728,392902,45141,1997
GA,sewerage,3030,6858824,2978,74,6778693,80131,9055,1997
GA,parks and recreation,4408,8071355,3602,1902,7045891,1025464,141796,1997
GA,housing and community development,3390,6734028,3234,356,6454151,279877,27092,1997
GA,natural resources,275,381696,201,230,261933,119763,13125,1997
GA,water transport and terminals,4830,10611389,4743,234,10490112,121277,15397,1997
GA,electric power,743,2078222,739,7,2073147,5075,557,1997
GA,gas supply,415,897146,413,3,893793,3353,412,1997
GA,transit,4538,12475969,4177,608,11796574,679395,63728,1997
GA,education - elementary and secondary instructional,126062,315731962,122237,15363,308883098,6848864,664587,1997
GA,education - elementary and secondary other,50307,71883871,45303,12556,64528511,7355360,878221,1997
GA,education - higher education instructional,498,1687225,256,678,1091674,595551,40410,1997
GA,education - higher education other,304,481862,185,609,324482,157380,19755,1997
GA,libraries,2285,4753569,1780,1241,4016027,737542,89312,1997
GA,other and unallocable,7625,14033955,6949,1712,13046283,987672,118938,1997
HI,total,14319,45471636,13906,1342,44712118,759518,72862,1997
HI,financial administration,791,2236816,788,8,2231540,5276,532,1997
HI,other government administration,873,2883290,858,32,2846770,36520,2526,1997
HI,judicial and legal,567,1982444,560,18,1969442,13002,1194,1997
HI,police protection - officers,2615,11332632,2615,0,11332632,0,0,1997
HI,police protection - other,799,2140426,755,213,2073726,66700,7618,1997
HI,fire protection - firefighters,1596,5810408,1596,0,5810408,0,0,1997
HI,fire protection - other,69,204162,69,0,204162,0,0,1997
HI,streets and highways,1014,2616544,1010,11,2608916,7628,716,1997
HI,public welfare,100,236696,99,1,235814,882,146,1997
HI,health,201,711258,199,5,704900,6358,294,1997
HI,solid waste management,603,1697664,603,0,1697664,0,0,1997
HI,sewerage,894,2751528,892,3,2749330,2198,274,1997
HI,parks and recreation,1869,4314612,1602,884,3808334,506278,47212,1997
HI,housing and community development,118,351828,117,3,349506,2322,170,1997
HI,natural resources,14,48858,14,5,43964,4894,284,1997
HI,water transport and terminals,1028,2990360,1018,33,2975126,15234,1840,1997
HI,transit,69,176754,69,1,176432,322,28,1997
HI,other and unallocable,1099,2985356,1042,125,2893452,91904,10028,1997
ID,total,46035,100458277,40028,19081,90282151,10176126,1052319,1997
ID,financial administration,1063,2251800,1019,136,2171683,80117,9434,1997
ID,other government administration,884,1929326,803,789,1682533,246793,17006,1997
ID,judicial and legal,844,1822568,811,101,1753617,68951,5895,1997
ID,police protection - officers,1839,5037286,1815,102,4998806,38480,4642,1997
ID,police protection - other,680,1298865,621,188,1213202,85663,10781,1997
ID,fire protection - firefighters,917,2805887,827,1332,2657247,148640,16579,1997
ID,fire protection - other,55,113130,43,128,88523,24607,2772,1997
ID,corrections,787,1556232,740,137,1484812,71420,8500,1997
ID,streets and highways,1539,3508960,1481,218,3408943,100017,10804,1997
ID,air transportation,97,225402,90,19,215943,9459,1224,1997
ID,water transport and terminals,2,7232,2,1,6712,520,65,1997
ID,public welfare,181,300440,151,74,256800,43640,5312,1997
ID,health,727,1605661,553,402,1288905,316756,30735,1997
ID,hospitals,4689,11038608,3739,1605,8647957,2390651,165352,1997
ID,solid waste management,333,649496,306,60,611807,37689,4897,1997
ID,sewerage,390,959678,368,88,914271,45407,4360,1997
ID,parks and recreation,625,1212438,398,787,906414,306024,39915,1997
ID,housing and community development,111,215613,95,36,193557,22056,2862,1997
ID,natural resources,459,810410,382,252,693601,116809,13676,1997
ID,water transport and terminals,396,936172,377,91,896823,39349,3996,1997
ID,electric power,89,322212,88,2,318152,4060,219,1997
ID,gas supply,0,0,0,0,0,0,0,1997
ID,transit,26,39192,8,35,18717,20475,3162,1997
ID,education - elementary and secondary instructional,20342,46732712,18365,6092,43653681,3079031,336319,1997
ID,education - elementary and secondary other,6896,10679411,5484,4222,8826474,1852937,244662,1997
ID,education - higher education instructional,322,976980,250,298,773675,203305,12632,1997
ID,education - higher education other,551,1102883,354,714,765837,337046,34905,1997
ID,libraries,443,778766,229,600,471307,307459,37250,1997
ID,other and unallocable,748,1540917,629,572,1362152,178765,24363,1997
IL,total,459893,1369809237,414415,147693,1287733876,82075361,7921916,1997
IL,financial administration,7315,20124540,6930,2065,19200416,924124,82981,1997
IL,other government administration,9538,25190967,8595,13535,22171566,3019401,195448,1997
IL,judicial and legal,13019,34760387,12799,596,34298719,461668,38394,1997
IL,police protection - officers,30349,131458078,29773,1952,130505702,952376,106715,1997
IL,police protection - other,8986,25707171,8007,3033,24242632,1464539,173264,1997
IL,fire protection - firefighters,14166,54176731,12893,10222,52279989,1896742,226192,1997
IL,fire protection - other,1039,2352651,888,1014,2086825,265826,28430,1997
IL,corrections,8857,24640957,8743,233,24494150,146807,19406,1997
IL,streets and highways,11259,32270444,10577,2370,31161102,1109342,128781,1997
IL,air transportation,2313,7645180,2277,112,7602549,42631,6449,1997
IL,water transport and terminals,45,125347,38,9,117487,7860,1129,1997
IL,public welfare,6334,12202541,5610,1423,11121775,1080766,123130,1997
IL,health,7124,17873967,6512,1496,16660910,1213057,105225,1997
IL,hospitals,14984,46046455,13970,1789,44045276,2001179,177681,1997
IL,solid waste management,4768,18319379,4694,182,18206947,112432,13157,1997
IL,sewerage,6191,22720504,6049,596,22460825,259679,28239,1997
IL,parks and recreation,14942,33769871,9526,16301,25417230,8352641,942951,1997
