state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,year
AL,education - higher education instructional,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,education - higher education other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,libraries,875,1.42,2644885,1.08,544,1.92,634279,1.27,47223,1.7,1141,1.24,1419,1.15,3279164,0.91,2010
AL,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AL,other and unallocable,4854,2.72,15801072,1.93,605,1.86,614951,1.3,58000,1.16,5183,2.74,5459,2.43,16416023,1.86,2010
AK,total,25008,0.31,123405299,0.32,8426,0.67,9109113,0.85,473243,0.57,27715,0.31,33434,0.29,132514412,0.3,2010
AK,financial administration,939,0.3,4843069,0.2,133,2.29,95955,5.04,4497,3.28,961,0.39,1072,0.39,4939024,0.22,2010
AK,other government administration,882,0.58,4410686,0.54,807,2.19,386589,2.12,11333,1.77,947,0.68,1689,1.09,4797275,0.52,2010
AK,judicial and legal,98,0.01,618270,0.01,5,0.01,13788,0.01,467,0.01,101,0.01,103,0,632058,0,2010
AK,police protection total,1200,0.24,7388123,0.21,84,1.51,101643,1.98,7721,2.89,1243,0.54,1284,0.25,7489766,0.21,2010
AK,police protection - officers,799,0.28,5458466,0.25,47,1.99,50765,1.75,3862,3.48,820,0.7,846,0.29,5509231,0.25,2010
AK,police protection - other,401,0.17,1929657,0.09,37,0.89,50878,2.2,3859,2.3,423,0.24,438,0.17,1980535,0.11,2010
AK,fire protection total,758,0.01,5467686,0.01,630,0.01,230977,0.01,14413,0.01,840,0.01,1388,0,5698663,0,2010
AK,fire protection - firefighters,607,0.01,4540062,0.01,507,0.01,167151,0.01,12063,0.01,676,0.01,1114,0,4707213,0,2010
AK,fire protection - other,151,0.01,927624,0.01,123,0.01,63826,0.01,2350,0.01,164,0.01,274,0,991450,0,2010
AK,corrections,62,0.01,286144,0.01,5,0.01,12019,0.01,535,0.01,65,0.01,67,0,298163,0,2010
AK,highways,614,0.37,3578486,0.26,122,2.27,113246,1.63,6518,1.58,651,0.46,736,0.48,3691732,0.26,2010
AK,air transportation,67,0.01,356821,0.01,8,0.01,10649,0.01,415,0.01,69,0.01,75,0,367470,0,2010
AK,water transport and terminals,142,0.01,696627,0.01,12,0.01,33006,0.01,921,0.01,147,0.01,154,0,729633,0,2010
AK,public welfare,122,0.01,551199,0.01,52,0.01,124460,0.53,5060,0.81,152,0.15,174,0,675659,0.1,2010
AK,health,275,0.01,1344025,0.01,275,0.01,223384,0.01,13929,0.01,354,0.01,550,0,1567409,0,2010
AK,hospitals,565,0.01,3248041,0.01,311,0.01,792420,0.01,30330,0.01,740,0.01,876,0,4040461,0,2010
AK,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AK,solid waste management,276,0.32,1271188,0.22,62,3.07,51316,5.2,3289,5.4,297,0.86,338,0.62,1322504,0.29,2010
AK,sewerage,364,0.61,1904521,0.39,39,2.17,28906,2.39,1561,2.28,373,0.67,403,0.59,1933427,0.38,2010
AK,parks and recreation,358,0.38,1412458,0.42,594,0.76,662406,2.28,45319,1.71,618,1.08,952,0.49,2074864,0.78,2010
AK,housing and community development,641,5.94,2297911,10.43,304,12.4,635216,10.45,18600,5.94,751,4.93,945,5.67,2933127,8.48,2010
AK,natural resources,22,0.01,141012,0.01,5,0.01,14048,0.01,735,0.01,26,0.01,27,0,155060,0,2010
AK,water transport and terminals,264,0.42,1526474,0.34,100,4.17,143818,4.84,6527,10.66,302,2.86,364,1.18,1670292,0.52,2010
AK,electric power,450,0.06,3141613,0.04,98,5.9,122901,5.58,4941,5.63,479,0.48,548,1.06,3264514,0.21,2010
AK,gas supply,6,0.01,24912,0.01,1,0.01,848,0.01,47,0.01,6,0.01,7,0,25760,0,2010
AK,transit,216,0.01,1073697,0.01,52,0.01,155907,0.01,5902,0.01,250,0.01,268,0,1229604,0,2010
AK,education total,15774,0.54,73390219,0.51,4454,1.14,4794687,1,269136,1.15,17311,0.59,20228,0.49,78184906,0.48,2010
AK,education - elementary and secondary total,15708,0.54,73004416,0.51,4398,1.15,4697599,1.02,266112,1.16,17227,0.6,20106,0.49,77702015,0.48,2010
AK,education - elementary and secondary instructional,10073,0.63,51957460,0.57,2427,0.85,2802512,0.67,142351,0.97,10884,0.64,12500,0.53,54759972,0.54,2010
AK,education - elementary and secondary other,5635,0.39,21046956,0.37,1971,1.53,1895087,1.55,123761,1.38,6343,0.53,7606,0.49,22942043,0.36,2010
AK,education - higher education total,66,0.01,385803,0.01,56,0.01,97088,0.01,3024,0.01,84,0.01,122,0,482891,0,2010
AK,education - higher education instructional,11,0.01,68725,0.01,15,0.01,29758,0.01,810,0.01,16,0.01,26,0,98483,0,2010
AK,education - higher education other,55,0.01,317078,0.01,41,0.01,67330,0.01,2214,0.01,68,0.01,96,0,384408,0,2010
AK,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AK,libraries,187,0.2,812186,0.17,161,0.68,221190,0.71,13436,0.83,263,0.75,348,0.33,1033376,0.2,2010
AK,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AK,other and unallocable,726,0.34,3619931,0.29,112,1.79,139734,1.38,7611,1.21,769,0.35,838,0.38,3759665,0.29,2010
AZ,total,203446,0.68,847008383,0.54,55856,0.85,61518495,0.71,3748069,0.77,224999,0.65,259302,0.56,908526878,0.51,2010
AZ,financial administration,4612,0.68,22891977,0.61,143,0.43,265096,0.26,15005,0.35,4698,0.67,4755,0.66,23157073,0.6,2010
AZ,other government administration,3785,1.48,18927167,1.44,254,1.78,397684,1.28,19402,1.01,3896,1.47,4039,1.39,19324851,1.41,2010
AZ,judicial and legal,8459,0.66,37073932,0.57,500,0.59,950529,0.63,48296,0.51,8736,0.67,8959,0.63,38024461,0.55,2010
AZ,police protection total,18531,0.4,100643704,0.44,283,1.38,458863,1.2,22578,1.4,18660,0.41,18814,0.4,101102567,0.44,2010
AZ,police protection - officers,14028,0.35,82039525,0.41,46,0.54,64877,0.69,2510,0.62,14043,0.35,14074,0.35,82104402,0.41,2010
AZ,police protection - other,4503,0.59,18604179,0.56,237,1.55,393986,1.28,20068,1.5,4617,0.6,4740,0.56,18998165,0.55,2010
AZ,fire protection total,7717,1.79,46672120,1.71,1096,2.42,665686,2.12,49399,1.88,8000,1.72,8813,1.59,47337806,1.69,2010
AZ,fire protection - firefighters,6618,1.63,41143321,1.57,1000,2.41,490342,1.71,40515,1.68,6850,1.54,7618,1.45,41633663,1.55,2010
AZ,fire protection - other,1099,2.72,5528799,2.82,96,2.51,175344,3.26,8884,2.81,1150,2.75,1195,2.51,5704143,2.74,2010
AZ,corrections,5760,0.64,20767842,0.41,170,1.76,262756,0.52,15457,0.83,5848,0.65,5930,0.63,21030598,0.4,2010
AZ,highways,4241,0.87,18306241,0.72,76,1.56,150099,1.39,9791,1.86,4297,0.91,4317,0.86,18456340,0.71,2010
AZ,air transportation,1142,0.33,5305821,0.24,28,1.99,23923,4.59,1487,5.64,1150,0.32,1170,0.32,5329744,0.24,2010
AZ,water transport and terminals,59,0.01,144430,0.01,25,0.01,26551,0.01,1291,0.01,66,0.01,84,0,170981,0,2010
AZ,public welfare,1553,0.18,5849509,0.09,626,0.11,1015598,0.07,67050,0.06,1937,0.12,2179,0.13,6865107,0.08,2010
AZ,health,3599,0.39,13352764,0.32,772,0.55,1201385,0.66,87772,0.51,4095,0.43,4371,0.34,14554149,0.3,2010
AZ,hospitals,2182,0.01,12157543,0.01,883,0.01,1985812,0.01,86991,0.01,2680,0.01,3065,0,14143355,0,2010
AZ,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AZ,solid waste management,2381,0.48,9694496,0.42,72,1.1,97096,1.21,8723,1.11,2430,0.54,2453,0.47,9791592,0.42,2010
AZ,sewerage,1632,0.84,7429363,0.76,30,0.75,55564,0.44,2794,0.75,1648,0.85,1662,0.83,7484927,0.75,2010
AZ,parks and recreation,3377,0.92,12647102,0.81,4060,1.3,3316303,1.41,261804,1.17,4876,1.06,7437,0.82,15963405,0.71,2010
AZ,housing and community development,1472,0.89,6778369,0.63,227,0.36,203905,0.25,16684,0.24,1568,0.88,1699,0.77,6982274,0.61,2010
AZ,natural resources,927,4.24,3835184,4.37,91,0.39,80587,0.83,5796,1.46,960,4.15,1018,3.87,3915771,4.28,2010
AZ,water transport and terminals,3271,0.4,15920657,0.35,85,0.01,109382,0.01,5367,0.01,3302,0.39,3356,0.39,16030039,0.34,2010
AZ,electric power,5204,0.01,37369896,0.01,193,0.01,491747,0.01,21334,0.01,5326,0.01,5397,0,37861643,0,2010
AZ,gas supply,94,0.01,495769,0.01,1,0.01,2175,0.01,137,0.01,95,0.01,95,0,497944,0,2010
AZ,transit,312,0.61,1323633,0.29,79,4.23,111917,3.21,7723,3.55,357,1.4,391,0.98,1435550,0.37,2010
AZ,education total,117546,1.7,425942402,1.53,44065,1.75,47602363,1.59,2831603,1.61,133857,1.6,161611,1.33,473544765,1.38,2010
AZ,education - elementary and secondary total,108425,1.68,377688566,1.49,30058,1.91,32962540,1.54,2043511,1.89,120227,1.62,138483,1.38,410651106,1.37,2010
AZ,education - elementary and secondary instructional,73967,1.68,282823321,1.5,16782,1,19119566,1.04,1032990,1.36,79964,1.61,90749,1.38,301942887,1.4,2010
AZ,education - elementary and secondary other,34458,1.67,94865245,1.45,13276,3.05,13842974,2.23,1010521,2.42,40263,1.64,47734,1.47,108708219,1.3,2010
AZ,education - higher education total,9121,1.99,48253836,1.87,14007,1.43,14639823,1.69,788092,0.89,13630,1.45,23128,1.17,62893659,1.49,2010
AZ,education - higher education instructional,2592,2.74,19248432,2.23,6305,2.66,8604718,2.61,288814,1.91,4245,2.25,8897,2.04,27853150,1.74,2010
AZ,education - higher education other,6529,1.7,29005404,1.63,7702,0.42,6035105,0.38,499278,0.3,9385,1.09,14231,0.81,35040509,1.35,2010
AZ,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AZ,libraries,1291,0.74,5215570,0.89,1147,0.75,1425400,0.7,96873,0.77,1845,0.74,2438,0.53,6640970,0.72,2010
AZ,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AZ,other and unallocable,4299,0.88,18262892,0.93,950,0.92,618074,1.64,64712,1.03,4672,0.95,5249,0.74,18880966,0.9,2010
AR,total,99310,1.22,318537839,1.38,21324,1.44,12509937,1.83,1107075,1.96,105799,1.25,120634,1.03,331047776,1.33,2010
AR,financial administration,2297,2.02,6029796,1.81,355,2.11,280606,3.21,17068,4.85,2428,1.81,2652,1.77,6310402,1.73,2010
AR,other government administration,2053,1.65,5262325,1.4,2649,1.57,785661,2.46,52856,2.4,2328,1.92,4702,1.14,6047986,1.26,2010
AR,judicial and legal,1620,1.65,4151442,1.44,371,3.15,358568,3.53,26237,3.83,1769,1.71,1991,1.46,4510010,1.35,2010
AR,police protection total,7609,1.38,23175651,1.23,554,3.52,450467,4.14,39160,4.67,7817,1.39,8163,1.31,23626118,1.21,2010
AR,police protection - officers,6001,1.22,19342355,1.13,321,2.56,268538,3.06,19494,3.41,6103,1.23,6322,1.17,19610893,1.12,2010
AR,police protection - other,1608,1.96,3833296,1.75,233,4.83,181929,5.73,19666,5.92,1714,1.99,1841,1.82,4015225,1.69,2010
AR,fire protection total,2891,0.82,10978824,0.64,1298,4.46,371990,4.77,33038,4.67,3063,1.42,4189,1.49,11350814,0.64,2010
AR,fire protection - firefighters,2811,0.82,10726298,0.64,1290,4.45,364810,4.69,32552,4.6,2980,1.42,4101,1.51,11091108,0.64,2010
AR,fire protection - other,80,0.91,252526,0.83,8,6.08,7180,8.87,486,9.09,83,1.24,88,1,259706,0.84,2010
AR,corrections,2582,2.82,5423965,2.28,132,7.01,97728,7.33,10172,7.91,2643,2.92,2714,2.7,5521693,2.24,2010
AR,highways,4048,2.65,9601393,2.37,223,1.24,213304,1.89,18369,1.77,4158,2.56,4271,2.51,9814697,2.32,2010
AR,air transportation,308,0.77,969890,1.06,52,3.76,33427,4.2,3151,5.03,327,1.2,360,0.85,1003317,1.03,2010
AR,water transport and terminals,7,0.01,20161,0.01,1,0.01,967,0.01,65,0.01,7,0.01,8,0,21128,0,2010
AR,public welfare,67,1.71,159306,2.11,59,1.29,35060,2.29,4088,1.91,86,4.1,126,1.09,194366,1.78,2010
AR,health,324,3.68,972222,3.47,81,2.7,38764,3.05,4108,3.93,347,4.84,405,2.99,1010986,3.34,2010
AR,hospitals,1554,0.01,4937981,0.01,491,0.01,428746,0.01,22136,0.01,1679,0.01,2045,0,5366727,0,2010
AR,social insurance administration,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AR,solid waste management,1424,2.74,3568690,2.73,120,3.89,85121,3.53,10790,2.95,1485,2.93,1544,2.55,3653811,2.67,2010
AR,sewerage,1316,1.63,4505184,1.44,26,0.07,31589,0.02,3259,0.02,1334,1.61,1342,1.6,4536773,1.43,2010
AR,parks and recreation,871,1.7,2445909,1.54,638,3.57,425883,3.09,43457,3.61,1149,2.37,1509,1.8,2871792,1.39,2010
AR,housing and community development,1015,2.71,2709883,2.76,230,0.72,226216,0.71,21845,0.89,1130,2.66,1245,2.21,2936099,2.55,2010
AR,natural resources,244,0.49,639374,0.42,140,1.68,97389,0.51,9797,0.51,300,0.47,384,0.69,736763,0.37,2010
AR,water transport and terminals,2524,1.54,7513862,1.45,132,1.13,134568,0.78,8503,0.9,2572,1.53,2656,1.46,7648430,1.42,2010
AR,electric power,525,1.85,2124906,1.63,11,2.04,7248,3.13,682,2.93,529,1.85,536,1.82,2132154,1.62,2010
AR,gas supply,7,0.01,17606,0.01,0,0.01,0,0.01,0,0.01,7,0.01,7,0,17606,0,2010
AR,transit,292,0.01,939356,0.01,28,0.01,26589,0.01,2458,0.01,306,0.01,320,0,965945,0,2010
AR,education total,63682,2.48,216817856,2.46,12691,3.29,7712495,4.08,707958,4.2,67909,2.58,76373,2.14,224530351,2.38,2010
AR,education - elementary and secondary total,63565,2.49,216440027,2.46,12630,3.31,7634832,4.13,701341,4.24,67761,2.58,76195,2.15,224074859,2.38,2010
AR,education - elementary and secondary instructional,43607,2.49,174861769,2.43,7342,3.02,3845004,3.38,346821,3.52,45921,2.54,50949,2.17,178706773,2.38,2010
AR,education - elementary and secondary other,19958,2.49,41578258,2.59,5288,3.71,3789828,4.88,354520,4.95,21840,2.66,25246,2.11,45368086,2.41,2010
AR,education - higher education total,117,0.01,377829,0.01,61,0.01,77663,0.01,6617,0.01,148,0.01,178,0,455492,0,2010
AR,education - higher education instructional,43,0.01,172216,0.01,36,0.01,55313,0.01,3929,0.01,62,0.01,79,0,227529,0,2010
AR,education - higher education other,74,0.01,205613,0.01,25,0.01,22350,0.01,2688,0.01,86,0.01,99,0,227963,0,2010
AR,education - other,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AR,libraries,771,2.96,1917887,2.88,573,3.34,365630,2.36,39307,2.32,993,2.89,1344,2.22,2283517,2.45,2010
AR,liquor stores,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,2010
AR,other and unallocable,1279,1.98,3654370,1.44,469,1.48,301921,1.55,28571,1.62,1433,2.16,1748,1.5,3956291,1.34,2010
CA,total,1188189,0.13,6876011176,0.13,509046,0.2,677852886,0.18,32544882,0.22,1381391,0.13,1697235,0.11,7553864062,0.12,2010
CA,financial administration,25052,0.33,149740951,0.33,1499,0.49,3466835,0.6,145598,0.56,25912,0.34,26551,0.31,153207786,0.33,2010
CA,other government administration,24024,0.34,148638596,0.39,3863,0.51,6792067,0.31,295640,0.46,25708,0.34,27887,0.3,155430663,0.37,2010
CA,judicial and legal,41429,0.16,288973085,0.14,2001,0.06,5251158,0.08,182895,0.1,42463,0.16,43430,0.15,294224243,0.13,2010
CA,police protection total,88743,0.27,671989724,0.27,6987,0.42,11653384,0.27,570835,0.38,91978,0.26,95730,0.26,683643108,0.27,2010
CA,police protection - officers,63785,0.21,533128343,0.23,1715,0.33,3757804,0.2,133046,0.28,64542,0.2,65500,0.2,536886147,0.23,2010
CA,police protection - other,24958,0.45,138861381,0.42,5272,0.45,7895580,0.31,437789,0.41,27436,0.4,30230,0.38,146756961,0.4,2010
CA,fire protection total,33594,0.74,310099443,0.69,2199,0.63,2986371,0.64,138194,0.6,34381,0.75,35793,0.69,313085814,0.68,2010
CA,fire protection - firefighters,29657,0.78,289424293,0.7,1619,0.36,2141266,0.58,97065,0.35,30208,0.79,31276,0.74,291565559,0.69,2010
CA,fire protection - other,3937,0.36,20675150,0.49,580,1.4,845105,0.79,41129,1.18,4173,0.47,4517,0.36,21520255,0.47,2010
