state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
AL,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AL,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AL,libraries,648,4.84,1065910,4.09,480,5.9,358,5.36,871438,4.79,194472,6.72,29303,8.5,1993
AL,other and unallocable,4686,16.87,8472670,9.73,4428,17.83,592,26.55,8166798,10,305872,9.75,41568,11.67,1993
AK,total,22050,1.82,77121390,0.87,19845,1.18,7685,16.06,71918634,0.68,5202756,5.73,400413,7.55,1993
AK,financial administration,713,3.64,2349947,2.03,698,3.78,45,0,2313160,2.13,36787,0,2832,0,1993
AK,other government administration,908,8.22,2794961,3.26,860,8.67,266,17.34,2682072,3.36,112889,2.46,8282,2.56,1993
AK,judicial and legal,71,0,315185,0,71,0,0,0,315185,0,0,0,0,0,1993
AK,police protection - officers,751,7.03,3722472,7.71,744,7.18,16,0,3704517,7.77,17955,0,1398,0,1993
AK,police protection - other,428,24.37,1159215,17.83,397,23.79,99,47.61,1123742,18.16,35473,8.98,4827,36.56,1993
AK,fire protection - firefighters,533,1.59,2247487,1.01,507,1.29,126,2.67,2213466,0.88,34021,15.79,4527,11.2,1993
AK,fire protection - other,43,0,163458,0.45,40,0,5,0,158638,0.46,4820,0,473,0,1993
AK,corrections,33,52.88,140911,4.68,56,31.16,12,0,128646,5.13,12265,0,1550,0,1993
AK,streets and highways,660,5.57,2251959,3.3,637,5.77,35,0,2188133,3.4,63826,0,4135,0,1993
AK,air transportation,85,0,265791,0,84,0,2,0,262243,0,3548,0,223,0,1993
AK,water transport and terminals,129,21.8,434472,15.96,122,0,15,29.52,415986,0,18486,16.87,932,41.82,1993
AK,public welfare,172,0,499407,0,144,0,40,0,450128,0,49279,0,4642,0,1993
AK,health,507,3.59,1733742,2.88,470,3.65,100,9.8,1654119,2.94,79623,4.04,6121,5.12,1993
AK,hospitals,148,0,446672,0,129,0,35,0,400165,0,46507,0,3387,0,1993
AK,solid waste management,218,6.38,766999,4.3,199,6.99,51,0,737851,4.47,29148,0,3018,0,1993
AK,sewerage,381,6.7,1491583,2.55,376,6.72,11,46.1,1478927,2.5,12656,27.65,903,38.75,1993
AK,parks and recreation,441,7.68,1075382,6.36,342,9.99,302,1.87,904145,7.67,171237,2.43,17824,1.45,1993
AK,housing and community development,472,3.81,1727859,3.41,345,3.67,188,0,1353208,3.28,374651,0,21223,0,1993
AK,natural resources,17,0,81977,0,15,0,2,0,78131,0,3846,0,332,0,1993
AK,water transport and terminals,323,8.86,1040955,6.4,318,8.69,21,25.24,1026733,6.2,14222,40.46,980,57.34,1993
AK,electric power,603,2.75,2695705,2.42,585,3.26,41,33.54,2661334,2.6,34371,29.07,3066,30.24,1993
AK,gas supply,7,0,48803,0,7,0,0,0,48803,0,0,0,0,0,1993
AK,transit,251,0,688416,0,236,0,19,0,643941,0,44475,0,2551,0,1993
AK,education - elementary and secondary instructional,8386,0.22,32336193,0.27,7503,0.2,2109,0,29930468,0.26,2405725,0.33,150948,0.33,1993
AK,education - elementary and secondary other,3646,0.21,9493511,0.16,2961,0.17,1812,0.7,8227358,0.13,1266153,0.34,120153,0.4,1993
AK,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AK,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AK,libraries,298,1.61,673294,1.63,245,1.95,123,2.08,572761,1.86,100533,2.46,9246,3.15,1993
AK,other and unallocable,1826,20.12,6475034,8.04,1754,10.12,2210,55.75,6244774,4.26,230260,129.34,26840,112.34,1993
AZ,total,148719,0.77,375910289,1.16,129659,0.85,38090,2.12,349289822,1.21,26620467,1.89,3300582,2.25,1993
AZ,financial administration,3060,2.17,7277712,1.79,2984,2.2,145,8.36,7167068,1.76,110644,7.87,14221,8.76,1993
AZ,other government administration,3265,2.6,9236008,2.41,3030,2.8,888,13.24,8785881,2.54,450127,2.76,41209,2.69,1993
AZ,judicial and legal,5622,0.98,14627631,0.6,5424,0.97,602,2.66,14234067,0.62,393564,4.19,34363,6.77,1993
AZ,police protection - officers,6983,1.72,23315552,1.52,6959,1.71,65,0,23280777,1.5,34775,0,4187,0,1993
AZ,police protection - other,2901,2.49,7275606,1.87,2800,2.48,189,27.85,7142321,1.91,133285,18.34,17377,27.98,1993
AZ,fire protection - firefighters,3294,13.69,12162358,12.99,3188,14.14,731,8.37,11975992,13.2,186366,4.55,18746,8.87,1993
AZ,fire protection - other,491,3.95,1480433,2.15,469,2.14,43,51.84,1444393,1.09,36040,46.79,4315,40.51,1993
AZ,corrections,4350,3.84,9960599,2.85,4225,3.78,325,11.19,9754168,2.82,206431,4.77,21983,5.44,1993
AZ,streets and highways,3636,1.05,8875783,0.94,3521,1.08,190,0,8695013,0.95,180770,0,20269,0,1993
AZ,air transportation,862,1.27,2233411,1.11,813,0.94,65,16.01,2154375,0.93,79036,8.65,8690,10.89,1993
AZ,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AZ,public welfare,3984,1.17,5976337,1.01,3521,0.88,923,0,5392752,0.87,583585,0,81554,0,1993
AZ,health,2504,1.42,4591162,0.93,2410,1.15,246,7.09,4399350,1.18,191812,5.15,16531,8.48,1993
AZ,hospitals,5562,0,10790295,0,5120,0,620,0,9932972,0,857323,0,78282,0,1993
AZ,solid waste management,1564,3.34,3721814,2.27,1503,3.25,105,26.24,3631548,2.14,90266,15.02,10727,20.34,1993
AZ,sewerage,1046,2.41,2566366,2.02,1039,2.37,12,28.77,2556084,2.04,10282,11.4,1202,18.31,1993
AZ,parks and recreation,3352,2.21,6784246,1.83,2387,2.21,2288,1.77,5504290,1.88,1279956,1.44,170971,1.97,1993
AZ,housing and community development,876,2.15,2265780,1.73,852,2.22,35,0,2222074,1.77,43706,0,4325,0,1993
AZ,natural resources,1287,4.44,3907526,2.74,1277,3.08,13,9.61,3885808,2.12,21718,5.36,1681,8.4,1993
AZ,water transport and terminals,2710,1.78,7331861,1.69,2656,1.82,77,0,7246815,1.76,85046,0,9352,0,1993
AZ,electric power,4294,0,18599970,0,4294,0,0,0,18599970,0,0,0,0,0,1993
AZ,gas supply,61,0,190034,0,61,0,0,0,190034,0,0,0,0,0,1993
AZ,transit,90,0,232036,0,79,0,21,0,210152,0,21884,0,1952,0,1993
AZ,education - elementary and secondary instructional,51005,1.75,137839907,2.8,44203,1.89,12083,5.51,127619732,2.95,10220175,3.59,1156038,5.97,1993
AZ,education - elementary and secondary other,23642,1.96,42631716,2.67,17689,2.68,12095,3.54,34957101,2.66,7674615,4.44,1055984,2.51,1993
AZ,education - higher education instructional,2997,0,10070098,0,1740,0,2612,0,8308533,0,1761565,0,210562,0,1993
AZ,education - higher education other,4384,0,9063519,0,3061,0,2703,0,7875748,0,1187771,0,221021,0,1993
AZ,libraries,1148,1.02,2515527,1.24,894,1.21,540,1.37,2169067,1.41,346460,2.76,43870,2.64,1993
AZ,other and unallocable,3749,2.69,10387002,1.79,3460,2.85,474,1.94,9953737,1.79,433265,1.1,51170,1.44,1993
AR,total,84412,1.25,144931104,1.11,78531,1.31,19138,4.71,137708786,1.13,7222318,3.67,1015429,3.78,1993
AR,financial administration,1665,5.22,2363809,4.64,1563,5.3,370,24.26,2234842,4.65,128967,20.16,18446,18.02,1993
AR,other government administration,1781,7.39,2941275,4.82,1534,7.93,1710,19.47,2483618,4.99,457657,15.89,43627,18.98,1993
AR,judicial and legal,1268,4.41,2247224,4,1109,4.99,581,18.69,1935298,4.43,311926,14.45,27586,14.69,1993
AR,police protection - officers,3558,5.77,6724489,4.67,3485,5.64,213,41.22,6648125,4.62,76364,36.97,11966,35.51,1993
AR,police protection - other,992,6.59,1325934,5.61,925,7.87,194,18.39,1260486,5.53,65448,22.28,11705,24.69,1993
AR,fire protection - firefighters,1799,5.11,3539068,1.6,1726,2.94,1869,33.66,3432194,1.83,106874,25.77,12793,31.66,1993
AR,fire protection - other,111,2.55,213953,1.4,108,0,8,49.93,211500,0,2453,32.78,465,38.08,1993
AR,corrections,868,11.53,1240364,10.56,827,11.57,112,22.83,1194923,10.36,45441,18.72,7267,18.57,1993
AR,streets and highways,3276,4.96,4638197,4.79,3178,5.04,320,51.02,4526393,4.82,111804,34.72,17284,30.06,1993
AR,air transportation,167,0,245997,0,162,0,17,0,238734,0,7263,0,818,0,1993
AR,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AR,public welfare,597,31.54,649229,29.65,534,33.1,112,25.86,585543,30.37,63686,45.13,12261,47.51,1993
AR,health,207,28.49,285000,22.78,190,28.52,75,24.67,267076,22.95,17924,28.91,3095,34.74,1993
AR,hospitals,4241,6.64,6724691,5.11,3710,7.79,939,12.2,5800202,5.28,924489,12.42,90717,12.81,1993
AR,solid waste management,1176,7.24,1598203,5.82,1124,7.26,160,35.96,1542654,5.81,55549,21.8,8998,21,1993
AR,sewerage,1139,8.71,1872794,6.66,1074,8.24,109,61.25,1806448,6.36,66346,55.36,11165,54.87,1993
AR,parks and recreation,714,5.23,957203,3.19,535,3.15,405,24.21,791084,4.26,166119,19.76,31389,23.69,1993
AR,housing and community development,954,6.97,1456214,6.98,885,5.89,134,17.67,1372879,5.77,83335,23.03,11954,18.15,1993
AR,natural resources,176,27.62,287803,25.68,112,0,144,36.19,157786,0,130017,4.37,18020,7.57,1993
AR,water transport and terminals,1481,8.08,2617961,6.16,1407,8.25,183,32.24,2536159,6.29,81802,30.38,13020,35.91,1993
AR,electric power,355,0,916052,0,355,0,1,0,915758,0,294,0,64,0,1993
AR,gas supply,21,5.36,27008,4.43,18,0,8,0,24053,0,2955,0,494,0,1993
AR,transit,143,0,269811,0,127,0,20,0,250607,0,19204,0,2851,0,1993
AR,education - elementary and secondary instructional,38091,1.52,79001863,1.46,36927,1.55,4631,6.05,77592042,1.45,1409821,5.22,195387,5.44,1993
AR,education - elementary and secondary other,17533,3.58,19783364,4.15,15075,4.12,6065,5.78,17204352,4.58,2579012,7.08,417763,7.06,1993
AR,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AR,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AR,libraries,418,4.5,534124,4.16,328,6.69,238,12.5,439481,3.97,94643,14.35,16129,11.91,1993
AR,other and unallocable,1681,19.24,2469474,16.33,1513,20.63,520,18.81,2256549,17.37,212925,23.47,30165,16.68,1993
CA,total,1084937,0.68,3500244121,0.69,935861,0.68,372345,1.8,3172788862,0.71,327455259,1.54,25595887,2.08,1993
CA,financial administration,21996,1.1,69628087,0.98,21473,1.09,1017,6.53,68422521,0.99,1205566,3.5,92696,5.84,1993
CA,other government administration,21556,1.97,72801864,1.36,20335,2.11,3840,14.35,69547317,1.34,3254547,6.25,215289,5.93,1993
CA,judicial and legal,34994,0.48,130242042,0.26,33873,0.49,1829,2.14,126678187,0.27,3563855,1.82,197152,2.49,1993
CA,police protection - officers,52270,1.21,238186477,1.04,51864,1.21,1775,6.53,237237913,1.04,948564,8.42,72044,10.98,1993
CA,police protection - other,21649,1,59770541,1.06,19293,1.14,5169,5.72,55852734,1.16,3917807,3.41,416528,4.33,1993
CA,fire protection - firefighters,28568,1.47,141541342,1.32,27175,0.88,7144,29.64,138710515,1.33,2830827,16.16,244209,21.21,1993
CA,fire protection - other,2484,5.29,8136284,4.66,2201,3.49,602,43.13,7507857,3.11,628427,36.89,49871,32.05,1993
CA,corrections,23335,4.66,73971651,3.72,22304,4.87,1971,2.87,71385181,3.86,2586470,0.81,181433,1.27,1993
CA,streets and highways,20485,1.69,66709182,1.86,19791,1.66,1131,7.79,65216268,1.88,1492914,6.34,122626,7.61,1993
CA,air transportation,4302,0.4,14674815,0.17,4187,0.27,191,9.04,14453426,0.15,221389,4.76,19294,4.91,1993
CA,water transport and terminals,2247,5.24,7945400,3.74,2181,4.26,177,47.49,7574636,3.15,370764,35.96,11971,46.04,1993
CA,public welfare,49554,3.76,126398454,2.9,47873,3.25,3115,18.18,123278161,2.55,3120293,16.79,295976,19.05,1993
CA,health,32872,0.65,104279014,0.36,30148,0.71,4929,1.91,95984327,0.4,8294687,1.33,480058,2.13,1993
CA,hospitals,78154,0.93,250830782,1.11,65427,1.08,21440,3.15,206498158,1.33,44332624,2.97,2231401,3.45,1993
CA,solid waste management,7065,1.89,21579513,1.28,6684,1.67,530,8.96,20879754,1.22,699759,8.63,67347,11.43,1993
CA,sewerage,12146,4.34,43208320,4.57,11898,4.59,580,14.29,42585662,4.78,622658,13.54,82366,12.01,1993
CA,parks and recreation,29807,2.33,70872285,1.95,21696,2,27806,9.44,57440691,2.11,13431594,2.8,1430900,3.97,1993
CA,housing and community development,11485,4.42,37281805,4.27,10976,4.43,946,7.97,36343425,4.27,938380,7.08,90560,9.1,1993
CA,natural resources,6553,3.06,18042193,2.43,6105,3.09,999,6.29,17025120,2.45,1017073,5.26,80929,7.6,1993
CA,water transport and terminals,22630,2.77,80109938,2.37,22081,2.8,944,12.35,78988390,2.39,1121548,6.65,96084,10.55,1993
CA,electric power,13445,0.2,60329246,0.2,13235,0.21,451,0,59788364,0.2,540882,0,37184,0,1993
CA,gas supply,248,0,856084,0,244,0,5,0,846023,0,10061,0,640,0,1993
CA,transit,28807,1.08,101703776,0.58,27356,0.6,2379,13.97,98720052,0.44,2983724,8.07,254927,15.25,1993
CA,education - elementary and secondary instructional,307912,1.89,1058597079,2.05,255080,2.01,121453,3.61,946197926,2.13,112399153,3.55,8900478,4.9,1993
CA,education - elementary and secondary other,147972,2.03,322014656,2.03,110652,2.1,86795,4.09,257601348,2.12,64413308,4.06,6291831,4.31,1993
CA,education - higher education instructional,26721,0,118823274,0,20161,0,31670,0,88024210,0,30799064,0,1151386,0,1993
CA,education - higher education other,32683,0,72689681,0,23119,0,33039,0,59545564,0,13144117,0,1682188,0,1993
CA,libraries,10340,3,24987922,2.03,7559,1.84,6741,7.82,19844351,1.77,5143571,3.72,487121,6.99,1993
CA,other and unallocable,32657,5.12,104032414,3.87,30890,5.35,3677,9.31,100610781,3.97,3421633,4.11,311398,5.07,1993
CO,total,132556,0.66,322706300,0.45,118344,0.74,39664,1.88,299370291,0.48,23336009,1.62,2490126,1.82,1993
CO,financial administration,2767,2.62,6382964,2.31,2690,2.52,189,27.1,6260928,2.32,122036,9.93,13664,10.05,1993
CO,other government administration,3314,3.62,7668965,2.25,3108,3.62,848,34.78,7331614,2.25,337351,8.5,34805,12.15,1993
CO,judicial and legal,1878,2.08,5299504,1.04,1788,2.33,201,7.46,5074894,1.21,224610,6.82,15956,5.83,1993
CO,police protection - officers,6098,1.22,19001743,0.9,6081,1.2,68,35.7,18967217,0.95,34526,12.03,3041,14.39,1993
CO,police protection - other,2065,3.93,4446727,3.34,1930,3.59,307,8.74,4255563,3.07,191164,11.8,22392,14.19,1993
CO,fire protection - firefighters,3026,2.67,10283717,2.97,2976,2.66,418,29.17,10224870,2.92,58847,57.44,9078,62.25,1993
CO,fire protection - other,456,30.76,841718,10.08,445,52.73,20,25.41,823353,27.71,18365,26.16,2003,24.65,1993
CO,corrections,2665,1.18,6914420,0.71,2611,1.14,113,6.1,6822374,0.66,92046,7.05,9548,7.77,1993
CO,streets and highways,4356,4.04,9597743,3.04,4097,3.99,377,13.93,9235159,3.07,362584,12.95,45627,19.04,1993
CO,air transportation,718,1.32,1929329,1.13,697,0.93,44,12.48,1905373,0.9,23956,31.62,3718,21.49,1993
CO,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CO,public welfare,4217,10.55,8270988,5.99,3975,11.03,444,9.51,7896872,5.29,374116,9.8,42655,9.66,1993
CO,health,2408,2.15,5589456,1.92,2094,1.92,727,6.8,5010141,1.85,579315,4.71,54831,5.45,1993
CO,hospitals,7700,2.79,17789026,1.79,6449,2.78,2399,8.69,15123515,1.34,2665511,7.58,221080,10.15,1993
CO,solid waste management,633,9.62,1273965,5.3,556,9.86,134,28.63,1144774,5.28,129191,26.25,13732,43.29,1993
CO,sewerage,2030,4.01,5203395,3.04,1960,5.87,102,25.11,5091308,3.3,112087,30.94,12337,26.27,1993
CO,parks and recreation,5020,2.33,9606048,1.65,2981,2.16,6204,2.88,7057560,1.85,2548488,3.16,361964,5.04,1993
CO,housing and community development,1164,14.59,2698876,13.03,984,15.67,251,8.3,2376637,14.05,322239,5.65,31913,9.49,1993
CO,natural resources,546,11.84,1113547,11.26,418,12.5,198,9.86,1003726,13.06,109821,6.84,23911,8.81,1993
CO,water transport and terminals,3239,3.83,9064517,2.37,3138,3.77,278,22.55,8928095,2.37,136422,18.5,17949,26.12,1993
CO,electric power,1333,0.99,4178552,0.78,1305,0.97,36,0,4137225,0.77,41327,0,4876,0,1993
CO,gas supply,276,0,778596,0,276,0,0,0,778596,0,0,0,0,0,1993
CO,transit,2244,0.51,5577990,0.24,2069,0.3,319,0.71,5272487,0.15,305503,1.95,30973,3.01,1993
CO,education - elementary and secondary instructional,46394,0.59,124600396,0.53,42910,0.64,11900,3.58,117772012,0.61,6828384,3.05,607720,3.15,1993
CO,education - elementary and secondary other,19991,1.31,36983161,0.86,15828,2.09,10510,3.57,30924959,1.28,6058202,3.12,719451,3.09,1993
CO,education - higher education instructional,600,0,1634216,0,423,0,941,0,1191272,0,442944,0,31158,0,1993
CO,education - higher education other,803,0,1600625,0,621,0,822,0,1415037,0,185588,0,31458,0,1993
CO,libraries,1392,3.75,2612762,1.35,1085,4.68,692,3.89,2172073,1.44,440689,2.42,54391,3,1993
CO,other and unallocable,5223,8.64,11763354,6.87,4849,8.67,1122,17.77,11172657,6.88,590697,12.29,69895,15.46,1993
CT,total,94955,0.41,303154800,0.5,86824,0.47,22487,1.86,288443923,0.5,14710877,2.39,1373777,2.54,1993
CT,financial administration,2147,2.69,5703643,1.98,2004,2.67,400,9.05,5403891,2.05,299752,14.92,23331,15.3,1993
CT,other government administration,1969,2.97,5422197,1.55,1779,3.35,690,6.51,5029583,1.51,392614,8.8,30181,8.41,1993
CT,judicial and legal,178,0.44,648245,0.19,164,0,29,7.98,599620,0,48625,2.49,2539,4.6,1993
CT,police protection - officers,6209,0.8,24869801,0.79,6069,0.81,377,7.91,24589312,0.8,280489,14.31,22576,13.44,1993
CT,police protection - other,1572,1.1,3440352,1.11,1075,1.26,1323,2.74,2675625,1.28,764727,1.47,82878,2.03,1993
CT,fire protection - firefighters,3873,0.76,15911373,0.41,3744,0.43,1261,15.81,15490231,0.2,421142,17.4,26743,4.53,1993
CT,fire protection - other,254,3.48,538290,2.53,163,4.36,171,7.31,399093,2.87,139197,4.93,13810,6.06,1993
CT,corrections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CT,streets and highways,3566,1.07,9728359,1.33,3515,1.09,121,10.52,9642087,1.35,86272,12.01,8838,10.48,1993
CT,air transportation,36,0,90378,0,36,0,2,0,90024,0,354,0,71,0,1993
CT,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CT,public welfare,1864,1.08,4556655,0.75,1553,1.06,658,3.79,4073191,0.69,483464,3.35,50841,3.35,1993
CT,health,1342,1.2,3734519,0.92,1178,0.98,380,5.2,3347357,0.9,387162,3.85,27845,6.26,1993
CT,hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CT,solid waste management,1069,1.74,3192671,1.3,1008,1.61,112,14.06,3113831,1.16,78840,17.23,10011,15.9,1993
CT,sewerage,1190,1.5,3622418,1.48,1173,1.52,36,18.66,3590468,1.49,31950,21.37,2927,19.13,1993
CT,parks and recreation,2191,4.23,5147317,2.35,1563,1.02,1741,6.8,4198754,0.91,948563,11.42,103390,13.53,1993
CT,housing and community development,1357,2.07,4122417,2.89,1290,2.91,345,14.81,3889591,1.55,232826,31.43,23331,25.62,1993
CT,natural resources,56,0.79,171995,0.44,53,0,9,34.81,166568,0,5427,13.97,502,13.73,1993
CT,water transport and terminals,990,1,3205530,0.92,982,1.01,20,0,3189050,0.93,16480,0,1338,0,1993
