2010 Public Employment and Payroll Data
Local Governments
United States Total

Revised May 2013

SOURCE: 2010 Annual Survey of Public Employment and Payroll. For information on sampling and 
nonsampling errors and definitions, see http://www.census.gov/govs/apes/how_data_collected.html.  Data users who create 
their own estimates from these tables should cite the U.S. Census Bureau as the source of the original data only.



                                                                                                                  Total
                                                         Full-time                   Part-time   Full-Time        March
                                          Full-time         pay        Part-time        pay      Equivalent        Pay
  Higher Ed Other Employees                 155,047     636,011,530      163,278    118,433,072     209,590     754,444,602
Other Education                                   0               0            0              0           0               0
Local Libraries                              90,082     335,270,659       97,803     91,779,145     129,929     427,049,804
State Liquor Stores                               0               0            0              0           0               0
All Other and Unallocable                   236,785   1,036,608,796       66,380     63,046,577     261,106   1,099,655,373





                                                                                                    Full-Time       Total
                                            Full-time      Full-time    Part-time     Part-time     Equivalent      March
                                            employees         pay       employees        pay        Employment       Pay
Government Function                           CV (%)         CV (%)        CV (%)       CV (%)         CV (%)       CV (%)

Total                                          0.09          0.08          0.09          0.10          0.08          0.08
Financial Administration                       0.19          0.16          0.38          0.36          0.19          0.15
Other Government Administration                0.20          0.18          0.24          0.31          0.19          0.17
Judicial and Legal                             0.18          0.13          0.26          0.25          0.20          0.12
Police Protection Total                        0.16          0.14          0.25          0.24          0.16          0.14
  Police Officers Only                         0.15          0.14          0.24          0.22          0.15          0.13
  Other Police Employees                       0.19          0.16          0.25          0.26          0.19          0.15
Fire Protection Total                          0.26          0.26          0.44          0.83          0.27          0.25
  Firefighters Only                            0.25          0.25          0.41          0.80          0.26          0.25
  Other Fire Employees                         0.37          0.34          0.89          1.07          0.41          0.33
Corrections                                    0.27          0.18          0.49          0.44          0.28          0.18
Highways                                       0.24          0.21          0.18          0.17          0.24          0.20
Air Transportation                             0.34          0.25          1.61          1.29          0.37          0.25
Water Transport and Terminals                  0.49          0.40          0.19          0.21          0.47          0.39
Public Welfare                                 0.38          0.30          0.79          0.77          0.42          0.29
Health                                         0.30          0.23          0.45          0.36          0.32          0.22
Hospitals                                      0.24          0.21          0.40          0.44          0.24          0.20
Social Insurance Administration                0.01          0.01          0.01          0.01          0.01          0.00
Solid Waste Management                         0.26          0.21          0.45          0.38          0.27          0.21
Sewerage                                       0.25          0.24          0.31          0.19          0.25          0.24
Parks and Recreation                           0.25          0.26          0.41          0.36          0.29          0.22
Housing and Community Development              0.42          0.39          0.61          0.64          0.43          0.38
Natural Resources                              0.35          0.37          0.33          0.48          0.36          0.36
Water Supply                                   0.25          0.26          0.22          0.24          0.25          0.25
Electric Power                                 0.41          0.40          0.47          0.66          0.41          0.40
Gas Supply                                     0.41          0.35          0.16          0.12          0.41          0.35
Transit                                        0.21          0.18          0.91          0.84          0.23          0.17
Education Total                                0.20          0.19          0.24          0.24          0.20          0.18
Elementary & Secondary Education Total         0.19          0.19          0.20          0.20          0.19          0.17
  Elem & Sec Instructional Employees           0.19          0.19          0.20          0.19          0.19          0.18
  Elem & Sec Other Employees                   0.20          0.19          0.21          0.22          0.19          0.16
Higher Education Total                         0.34          0.32          0.41          0.43          0.33          0.26
  Higher Ed Instructional Employees            0.33          0.32          0.45          0.44          0.35          0.26
  Higher Ed Other Employees                    0.34          0.31          0.34          0.39          0.31          0.27
Other Education                                0.01          0.01          0.01          0.01          0.01          0.00
Local Libraries                                0.29          0.30          0.36          0.39          0.31          0.25
State Liquor Stores                            0.01          0.01          0.01          0.01          0.01          0.00
All Other and Unallocable                      0.22          0.18          0.31          0.25          0.23          0.17
