state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_october_pay,total_october_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_october,part_time_hours_october_coefficient_of_variation_as_percent,year
US,libraries,97055,1.55,185177086,1.25,70689,1.32,64382,2.61,149650178,1.26,35526908,2.03,4541890,2.5,1993
US,liquor stores,8722,0,18093621,0,7207,0,3580,0,15773183,0,2320438,0,268061,0,1993
US,other and unallocable,476744,1.33,1222050320,0.99,445170,1.34,111738,7.55,1170231814,1,51818506,2.78,5546100,2.66,1993
AL,total,239479,0.61,479556403,0.42,224279,0.68,41045,1.99,457641762,0.45,21914641,1.32,2642501,1.46,1993
AL,financial administration,5475,2.2,11700378,2.24,5346,2.05,209,11.45,11555867,2.18,144511,14.86,22790,13.03,1993
AL,other government administration,2800,12.62,5966289,11.12,2608,13.72,1419,26.96,5382437,12.29,583852,9.45,33738,11.83,1993
AL,judicial and legal,4100,0.88,10342668,0.48,3942,0.71,592,13.55,9971706,0.45,370962,7.23,27918,6.07,1993
AL,police protection - officers,8085,2.37,19301825,2.03,8013,2.34,187,30.38,19217296,2.02,84529,27.4,12596,32.37,1993
AL,police protection - other,2379,3.01,3882167,2.32,2111,3.44,754,4.67,3473093,2.63,409074,6.42,49724,6.31,1993
AL,fire protection - firefighters,4245,1.95,10021005,1.8,4206,1.84,197,24.96,9969951,1.76,51054,24.85,7063,22.32,1993
AL,fire protection - other,192,5.87,412485,9.24,188,5.76,19,6.57,407831,9.29,4654,28.73,728,25.31,1993
AL,corrections,6385,1.55,12991870,1.08,6326,1.57,127,19.61,12918780,1.09,73090,18.96,10342,16.33,1993
AL,streets and highways,10569,2.7,19474706,2.25,10391,2.53,265,22.3,19269312,2.13,205394,26.36,31615,28.66,1993
AL,air transportation,351,0,675541,0,344,0,13,0,668835,0,6706,0,1202,0,1993
AL,water transport and terminals,418,0,1144688,0,418,0,0,0,1144688,0,0,0,0,0,1993
AL,public welfare,5971,1.13,11323507,0.7,5812,1.72,310,26.51,11147745,1.12,175762,30.28,28239,37.52,1993
AL,health,9660,0.2,18160660,0.13,8991,0.1,1285,3.89,17374755,0.08,785905,2.43,118176,2.67,1993
AL,hospitals,30674,1.04,57678277,1.09,28179,0.94,4466,2.16,52724996,1.04,4953281,2.24,440298,2.56,1993
AL,social insurance administration,1500,0,3297602,0,1477,0,56,0,3273897,0,23705,0,4032,0,1993
AL,solid waste management,3388,3.5,5192748,3.01,3339,3.54,97,5.72,5138816,3.04,53932,3.73,8860,6.08,1993
AL,sewerage,1409,3.85,2826083,2.61,1407,3.85,5,25.41,2821944,2.61,4139,25.73,417,36.11,1993
AL,parks and recreation,3665,1.65,5576438,1.08,2853,1.87,1512,1.07,4793255,1.14,783183,0.95,143189,1.15,1993
AL,housing and community development,2320,11.15,4331771,11.74,2209,11.67,195,9.57,4139891,12.28,191880,5.65,19912,6.85,1993
AL,natural resources,3182,0.01,7316279,0,2945,1.7,445,0,7043634,0.81,272645,0,41852,0,1993
AL,water transport and terminals,3142,8.61,6183030,6.54,3031,8.2,363,44.34,6077468,6.44,105562,51.28,19656,54.12,1993
AL,electric power,1184,5.35,3045744,3.46,1159,5.46,39,0,3017567,3.49,28177,0,4484,0,1993
AL,gas supply,1073,5.13,2267056,4.36,1054,5.22,42,3.94,2243721,4.41,23335,4.22,3434,3.87,1993
AL,transit,434,0,771491,0,403,0,40,0,739398,0,32093,0,5399,0,1993
AL,education - elementary and secondary instructional,56736,1.58,122457645,0.96,55821,1.66,4779,9.21,121334202,0.99,1123443,11.73,152662,10.39,1993
AL,education - elementary and secondary other,26796,1.32,32739530,1.53,25413,2.17,4756,10.24,31229517,1.96,1510013,12.81,230881,11.44,1993
AL,education - higher education instructional,10954,0,38253569,0,8868,0,6128,0,33959789,0,4293780,0,361103,0,1993
AL,education - higher education other,20549,0,37828786,0,16246,0,11109,0,33158626,0,4670160,0,749454,0,1993
AL,education - other,4027,0,9255653,0,3831,0,613,0,8855319,0,400334,0,34550,0,1993
AL,libraries,648,4.84,1065910,4.09,480,5.9,358,5.36,871438,4.79,194472,6.72,29303,8.5,1993
AL,liquor stores,829,0,1655820,0,829,0,0,0,1655820,0,0,0,0,0,1993
AL,other and unallocable,6339,12.47,12415182,6.64,6039,13.08,665,23.64,12060168,6.77,355014,8.4,48884,9.92,1993
AK,total,43865,0.92,156082694,0.43,40219,0.58,12859,9.6,146122784,0.33,9959910,3,647963,4.67,1993
AK,financial administration,1581,1.64,5513183,0.87,1560,1.69,58,0,5458492,0.9,54691,0,3819,0,1993
AK,other government administration,1374,5.44,4287423,2.12,1314,5.67,301,15.32,4133358,2.18,154065,1.8,10244,2.07,1993
AK,judicial and legal,1199,0,4580144,0,1174,0,54,0,4507159,0,72985,0,4090,0,1993
AK,police protection - officers,1017,5.19,5185609,5.54,1010,5.29,16,0,5167654,5.57,17955,0,1398,0,1993
AK,police protection - other,577,18.08,1564234,13.21,544,17.36,104,45.32,1519750,13.43,44484,7.16,5120,34.47,1993
AK,fire protection - firefighters,533,1.59,2247487,1.01,507,1.29,126,2.67,2213466,0.88,34021,15.79,4527,11.2,1993
AK,fire protection - other,43,0,163458,0.45,40,0,5,0,158638,0.46,4820,0,473,0,1993
AK,corrections,1267,1.38,4818249,0.14,1288,1.35,16,0,4801539,0.14,16710,0,1815,0,1993
AK,streets and highways,3556,1.03,13704041,0.54,3520,1.04,53,0,13607537,0.55,96504,0,6452,0,1993
AK,air transportation,85,0,265791,0,84,0,2,0,262243,0,3548,0,223,0,1993
AK,water transport and terminals,129,21.8,434472,15.96,122,0,15,29.52,415986,0,18486,16.87,932,41.82,1993
AK,public welfare,1879,0,5601050,0,1728,0,204,0,5350744,0,250306,0,25129,0,1993
AK,health,987,1.84,3390584,1.47,936,1.83,129,7.6,3267830,1.49,122754,2.62,8469,3.7,1993
AK,hospitals,541,0,1662331,0,499,0,67,0,1584045,0,78286,0,7166,0,1993
AK,social insurance administration,470,0,1586948,0,465,0,10,0,1571592,0,15356,0,856,0,1993
AK,solid waste management,218,6.38,766999,4.3,199,6.99,51,0,737851,4.47,29148,0,3018,0,1993
AK,sewerage,381,6.7,1491583,2.55,376,6.72,11,46.1,1478927,2.5,12656,27.65,903,38.75,1993
AK,parks and recreation,530,6.39,1369569,4.99,431,7.93,303,1.87,1198180,5.79,171389,2.43,17843,1.45,1993
AK,housing and community development,472,3.81,1727859,3.41,345,3.67,188,0,1353208,3.28,374651,0,21223,0,1993
AK,natural resources,2509,0,8771688,0,2475,0,103,0,8638523,0,133165,0,5993,0,1993
AK,water transport and terminals,323,8.86,1040955,6.4,318,8.69,21,25.24,1026733,6.2,14222,40.46,980,57.34,1993
AK,electric power,603,2.75,2695705,2.42,585,3.26,41,33.54,2661334,2.6,34371,29.07,3066,30.24,1993
AK,gas supply,7,0,48803,0,7,0,0,0,48803,0,0,0,0,0,1993
AK,transit,871,0,3137813,0,856,0,19,0,3093338,0,44475,0,2551,0,1993
AK,education - elementary and secondary instructional,10492,0.17,39710394,0.22,9196,0.17,2863,0,36363464,0.21,3346930,0.24,219637,0.23,1993
AK,education - elementary and secondary other,4600,0.17,12292821,0.12,3663,0.14,2390,0.53,10441523,0.1,1851298,0.23,164538,0.29,1993
AK,education - higher education instructional,1009,0,6143573,0,906,0,1148,0,5003505,0,1140068,0,18300,0,1993
AK,education - higher education other,2401,0,7553860,0,2025,0,2094,0,6153040,0,1400820,0,66615,0,1993
AK,education - other,476,0,1588036,0,467,0,32,0,1566828,0,21208,0,1562,0,1993
AK,libraries,298,1.61,673294,1.63,245,1.95,123,2.08,572761,1.86,100533,2.46,9246,3.15,1993
AK,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AK,other and unallocable,3437,10.69,12064738,4.32,3334,5.32,2312,53.29,11764733,2.26,300005,99.27,31775,94.89,1993
AZ,total,205402,0.56,506485827,0.86,178077,0.62,59675,1.35,466663357,0.91,39822470,1.26,4763092,1.56,1993
AZ,financial administration,5733,1.16,12777147,1.02,5640,1.16,172,7.05,12631551,1,145596,5.98,17095,7.29,1993
AZ,other government administration,3869,2.19,10751016,2.07,3591,2.36,1003,11.72,10157414,2.2,593602,2.1,48880,2.26,1993
AZ,judicial and legal,6719,0.82,18146185,0.48,6503,0.81,649,2.46,17706019,0.5,440166,3.75,37552,6.2,1993
AZ,police protection - officers,7878,1.53,26247441,1.35,7854,1.52,65,0,26212666,1.33,34775,0,4187,0,1993
AZ,police protection - other,3583,2.02,9008032,1.51,3478,2,198,26.59,8865368,1.54,142664,17.13,18110,26.85,1993
AZ,fire protection - firefighters,3294,13.69,12162358,12.99,3188,14.14,731,8.37,11975992,13.2,186366,4.55,18746,8.87,1993
AZ,fire protection - other,491,3.95,1480433,2.15,469,2.14,43,51.84,1444393,1.09,36040,46.79,4315,40.51,1993
AZ,corrections,10700,1.56,22710325,1.25,10566,1.51,343,10.6,22489547,1.22,220778,4.46,23577,5.08,1993
AZ,streets and highways,6944,0.55,16193476,0.52,6821,0.56,205,0,16005754,0.52,187722,0,21597,0,1993
AZ,air transportation,862,1.27,2233411,1.11,813,0.94,65,16.01,2154375,0.93,79036,8.65,8690,10.89,1993
AZ,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AZ,public welfare,9519,0.49,16064406,0.37,8548,0.36,1193,0,15170765,0.31,893641,0,171368,0,1993
AZ,health,4435,0.8,8828180,0.48,4267,0.65,372,4.69,8459399,0.61,368781,2.68,29600,4.74,1993
AZ,hospitals,6450,0,12556969,0,5974,0,713,0,11626613,0,930356,0,84331,0,1993
AZ,social insurance administration,2254,0,4711427,0,2152,0,225,0,4490625,0,220802,0,17933,0,1993
AZ,solid waste management,1564,3.34,3721814,2.27,1503,3.25,105,26.24,3631548,2.14,90266,15.02,10727,20.34,1993
AZ,sewerage,1046,2.41,2566366,2.02,1039,2.37,12,28.77,2556084,2.04,10282,11.4,1202,18.31,1993
AZ,parks and recreation,4448,1.66,8992165,1.38,2702,1.96,4075,1,6264092,1.65,2728073,0.68,309156,1.09,1993
AZ,housing and community development,876,2.15,2265780,1.73,852,2.22,35,0,2222074,1.77,43706,0,4325,0,1993
AZ,natural resources,3706,1.54,9448559,1.13,3398,1.16,697,0.18,8985412,0.92,463147,0.25,54169,0.26,1993
AZ,water transport and terminals,2710,1.78,7331861,1.69,2656,1.82,77,0,7246815,1.76,85046,0,9352,0,1993
AZ,electric power,4303,0,18626938,0,4303,0,5,0,18626788,0,150,0,20,0,1993
AZ,gas supply,61,0,190034,0,61,0,0,0,190034,0,0,0,0,0,1993
AZ,transit,90,0,232036,0,79,0,21,0,210152,0,21884,0,1952,0,1993
AZ,education - elementary and secondary instructional,51005,1.75,137839907,2.8,44203,1.89,12083,5.51,127619732,2.95,10220175,3.59,1156038,5.97,1993
AZ,education - elementary and secondary other,23642,1.96,42631716,2.67,17689,2.68,12095,3.54,34957101,2.66,7674615,4.44,1055984,2.51,1993
AZ,education - higher education instructional,9178,0,34464259,0,5742,0,7603,0,27826514,0,6637745,0,596161,0,1993
AZ,education - higher education other,19462,0,39222795,0,14114,0,15525,0,32920129,0,6302666,0,933681,0,1993
AZ,education - other,2548,0,5165557,0,2419,0,231,0,4953938,0,211619,0,22965,0,1993
AZ,libraries,1148,1.02,2515527,1.24,894,1.21,540,1.37,2169067,1.41,346460,2.76,43870,2.64,1993
AZ,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AZ,other and unallocable,6884,1.46,17399707,1.07,6559,1.5,594,1.55,16893396,1.05,506311,0.94,57509,1.28,1993
AR,total,131067,0.8,247084408,0.65,120622,0.86,30458,2.96,232868709,0.67,14215699,1.87,1822096,2.11,1993
AR,financial administration,3433,2.53,5788048,1.89,3294,2.52,435,20.63,5618941,1.85,169107,15.38,25083,13.25,1993
AR,other government administration,2243,5.87,4177491,3.4,1965,6.19,1851,17.99,3575402,3.47,602089,12.08,49112,16.86,1993
AR,judicial and legal,1606,3.48,3702828,2.43,1444,3.84,588,18.46,3387214,2.53,315614,14.28,28063,14.44,1993
AR,police protection - officers,4052,5.07,8147801,3.86,3979,4.94,213,41.22,8071437,3.8,76364,36.97,11966,35.51,1993
AR,police protection - other,1361,4.8,2036386,3.65,1293,5.63,195,18.3,1970141,3.54,66245,22.01,11864,24.36,1993
AR,fire protection - firefighters,1799,5.11,3539068,1.6,1726,2.94,1869,33.66,3432194,1.83,106874,25.77,12793,31.66,1993
AR,fire protection - other,111,2.55,213953,1.4,108,0,8,49.93,211500,0,2453,32.78,465,38.08,1993
AR,corrections,3736,2.68,6521326,2.01,3695,2.59,113,22.63,6475553,1.91,45773,18.58,7333,18.4,1993
AR,streets and highways,7243,2.24,13759093,1.61,7125,2.25,361,45.22,13627664,1.6,131429,29.54,20895,24.86,1993
AR,air transportation,167,0,245997,0,162,0,17,0,238734,0,7263,0,818,0,1993
AR,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AR,public welfare,4034,4.67,7151333,2.69,3971,4.45,112,25.86,7087647,2.51,63686,45.13,12261,47.51,1993
AR,health,3862,1.53,7120660,0.91,3839,1.41,89,20.79,7091680,0.86,28980,17.88,4085,26.32,1993
AR,hospitals,9276,3.04,16428151,2.09,8664,3.34,1110,10.32,15340435,2,1087716,10.56,105104,11.05,1993
AR,social insurance administration,1062,0,2455832,0,923,0,258,0,2233828,0,222004,0,24660,0,1993
AR,solid waste management,1176,7.24,1598203,5.82,1124,7.26,160,35.96,1542654,5.81,55549,21.8,8998,21,1993
AR,sewerage,1139,8.71,1872794,6.66,1074,8.24,109,61.25,1806448,6.36,66346,55.36,11165,54.87,1993
AR,parks and recreation,1458,2.56,2035789,1.5,1088,1.55,707,13.87,1714838,1.96,320951,10.23,65263,11.39,1993
AR,housing and community development,954,6.97,1456214,6.98,885,5.89,134,17.67,1372879,5.77,83335,23.03,11954,18.15,1993
AR,natural resources,2773,1.75,5548098,1.33,2292,0,918,5.68,4737850,0,810248,0.7,91796,1.49,1993
AR,water transport and terminals,1481,8.08,2617961,6.16,1407,8.25,183,32.24,2536159,6.29,81802,30.38,13020,35.91,1993
AR,electric power,355,0,916052,0,355,0,1,0,915758,0,294,0,64,0,1993
AR,gas supply,21,5.36,27008,4.43,18,0,8,0,24053,0,2955,0,494,0,1993
AR,transit,143,0,269811,0,127,0,20,0,250607,0,19204,0,2851,0,1993
AR,education - elementary and secondary instructional,38091,1.52,79001863,1.46,36927,1.55,4631,6.05,77592042,1.45,1409821,5.22,195387,5.44,1993
AR,education - elementary and secondary other,17533,3.58,19783364,4.15,15075,4.12,6065,5.78,17204352,4.58,2579012,7.08,417763,7.06,1993
AR,education - higher education instructional,5404,0,20956003,0,4398,0,2830,0,17971309,0,2984694,0,177775,0,1993
AR,education - higher education other,9781,0,16575031,0,7358,0,6185,0,14357179,0,2217852,0,428173,0,1993
AR,education - other,2683,0,5872562,0,2519,0,442,0,5587165,0,285397,0,28943,0,1993
AR,libraries,418,4.5,534124,4.16,328,6.69,238,12.5,439481,3.97,94643,14.35,16129,11.91,1993
AR,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
AR,other and unallocable,3672,8.81,6731564,5.99,3459,9.02,608,16.09,6453565,6.07,277999,17.98,37819,13.31,1993
CA,total,1428718,0.51,4688793632,0.52,1222027,0.52,497130,1.35,4215566614,0.53,473227018,1.07,35791352,1.49,1993
CA,financial administration,38811,0.62,114611369,0.6,37527,0.63,3039,2.19,111921539,0.61,2689830,1.57,227360,2.38,1993
CA,other government administration,24894,1.7,83627132,1.19,23308,1.84,4418,12.47,79300150,1.17,4326982,4.7,276410,4.62,1993
CA,judicial and legal,37569,0.45,140962345,0.24,36366,0.46,1989,1.97,137105660,0.25,3856685,1.69,211803,2.32,1993
CA,police protection - officers,58489,1.08,260979195,0.95,58083,1.08,1775,6.53,260030631,0.95,948564,8.42,72044,10.98,1993
CA,police protection - other,26392,0.82,71369710,0.89,24029,0.92,5180,5.71,67434772,0.96,3934938,3.4,417807,4.32,1993
CA,fire protection - firefighters,28568,1.47,141541342,1.32,27175,0.88,7144,29.64,138710515,1.33,2830827,16.16,244209,21.21,1993
CA,fire protection - other,2484,5.29,8136284,4.66,2201,3.49,602,43.13,7507857,3.11,628427,36.89,49871,32.05,1993
CA,corrections,60676,1.79,200538636,1.37,57558,1.89,4720,1.2,189055089,1.46,11483547,0.18,550780,0.42,1993
CA,streets and highways,39791,0.87,132205514,0.94,38636,0.85,2448,3.6,129734967,0.94,2470547,3.83,204298,4.57,1993
CA,air transportation,4302,0.4,14674815,0.17,4187,0.27,191,9.04,14453426,0.15,221389,4.76,19294,4.91,1993
CA,water transport and terminals,2309,5.1,8137916,3.65,2235,4.16,204,41.2,7753526,3.08,384390,34.69,13339,41.32,1993
CA,public welfare,52914,3.52,135111545,2.71,51043,3.04,3450,16.42,131610159,2.39,3501386,14.96,329770,17.1,1993
CA,health,42047,0.51,139291259,0.27,38812,0.55,5880,1.6,129590794,0.29,9700465,1.13,570400,1.79,1993
CA,hospitals,113271,0.64,362599914,0.77,95976,0.74,29763,2.27,305062755,0.9,57537159,2.29,3040126,2.54,1993
CA,social insurance administration,20242,0,56761477,0,17542,0,3772,0,50354458,0,6407019,0,477939,0,1993
CA,solid waste management,7065,1.89,21579513,1.28,6684,1.67,530,8.96,20879754,1.22,699759,8.63,67347,11.43,1993
CA,sewerage,12146,4.34,43208320,4.57,11898,4.59,580,14.29,42585662,4.78,622658,13.54,82366,12.01,1993
CA,parks and recreation,33512,2.07,79352100,1.74,23605,1.84,29761,8.82,63060886,1.92,16291214,2.31,1748783,3.25,1993
CA,housing and community development,11485,4.42,37281805,4.27,10976,4.43,946,7.97,36343425,4.27,938380,7.08,90560,9.1,1993
CA,natural resources,23120,0.87,67646625,0.65,21232,0.89,3210,1.96,62214936,0.67,5431689,0.98,336125,1.83,1993
CA,water transport and terminals,22630,2.77,80109938,2.37,22081,2.8,944,12.35,78988390,2.39,1121548,6.65,96084,10.55,1993
CA,electric power,13445,0.2,60329246,0.2,13235,0.21,451,0,59788364,0.2,540882,0,37184,0,1993
CA,gas supply,248,0,856084,0,244,0,5,0,846023,0,10061,0,640,0,1993
CA,transit,28807,1.08,101703776,0.58,27356,0.6,2379,13.97,98720052,0.44,2983724,8.07,254927,15.25,1993
CA,education - elementary and secondary instructional,307912,1.89,1058597079,2.05,255080,2.01,121453,3.61,946197926,2.13,112399153,3.55,8900478,4.9,1993
CA,education - elementary and secondary other,147972,2.03,322014656,2.03,110652,2.1,86795,4.09,257601348,2.12,64413308,4.06,6291831,4.31,1993
CA,education - higher education instructional,55887,0,245641048,0,39477,0,53614,0,187267374,0,58373674,0,2894770,0,1993
CA,education - higher education other,127314,0,401456991,0,86087,0,108773,0,314876452,0,86580539,0,7286627,0,1993
CA,education - other,4414,0,14291095,0,4179,0,569,0,13708442,0,582653,0,41836,0,1993
CA,libraries,10340,3,24987922,2.03,7559,1.84,6741,7.82,19844351,1.77,5143571,3.72,487121,6.99,1993
CA,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CA,other and unallocable,69662,2.4,259188981,1.55,67004,2.47,5804,5.9,253016931,1.58,6172050,2.28,469223,3.37,1993
CO,total,187098,0.47,489189570,0.3,159033,0.55,73071,1.02,423134711,0.34,66054859,0.57,4941774,0.92,1993
CO,financial administration,4798,1.51,12273346,1.2,4711,1.44,270,18.97,12036376,1.2,236970,5.12,15465,8.88,1993
CO,other government administration,3780,3.17,8899464,1.94,3511,3.2,982,30.03,8413405,1.96,486059,5.9,45527,9.29,1993
CO,judicial and legal,4539,0.86,13521997,0.41,4210,0.99,694,2.16,12590644,0.49,931353,1.64,58381,1.59,1993
CO,police protection - officers,6645,1.12,20707449,0.82,6628,1.1,68,35.7,20672923,0.87,34526,12.03,3041,14.39,1993
CO,police protection - other,2535,3.2,5695500,2.6,2400,2.88,307,8.74,5504336,2.37,191164,11.8,22392,14.19,1993
CO,fire protection - firefighters,3026,2.67,10283717,2.97,2976,2.66,418,29.17,10224870,2.92,58847,57.44,9078,62.25,1993
CO,fire protection - other,456,30.76,841718,10.08,445,52.73,20,25.41,823353,27.71,18365,26.16,2003,24.65,1993
CO,corrections,6434,0.49,17010675,0.29,6365,0.47,168,4.1,16838143,0.27,172532,3.76,12126,6.12,1993
CO,streets and highways,7479,2.35,18680522,1.56,7056,2.32,627,8.37,17840045,1.59,840477,5.59,74714,11.63,1993
CO,air transportation,718,1.32,1929329,1.13,697,0.93,44,12.48,1905373,0.9,23956,31.62,3718,21.49,1993
CO,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CO,public welfare,5482,8.11,12012761,4.13,5169,8.48,593,7.12,11424909,3.66,587852,6.24,55272,7.46,1993
CO,health,3660,1.41,9568024,1.12,3259,1.23,890,5.55,8710045,1.06,857979,3.18,70296,4.25,1993
CO,hospitals,12396,1.73,29555858,1.08,10502,1.71,3429,6.08,25043664,0.81,4512194,4.48,335023,6.7,1993
CO,social insurance administration,1003,0,3037816,0,694,0,353,0,2098327,0,939489,0,54739,0,1993
CO,solid waste management,633,9.62,1273965,5.3,556,9.86,134,28.63,1144774,5.28,129191,26.25,13732,43.29,1993
CO,sewerage,2030,4.01,5203395,3.04,1960,5.87,102,25.11,5091308,3.3,112087,30.94,12337,26.27,1993
CO,parks and recreation,5309,2.2,10358558,1.53,3141,2.05,6612,2.7,7566092,1.73,2792466,2.88,384850,4.74,1993
CO,housing and community development,1164,14.59,2698876,13.03,984,15.67,251,8.3,2376637,14.05,322239,5.65,31913,9.49,1993
CO,natural resources,2132,3.03,6168341,2.03,1807,2.89,634,3.08,5448015,2.41,720326,1.04,58643,3.59,1993
CO,water transport and terminals,3239,3.83,9064517,2.37,3138,3.77,278,22.55,8928095,2.37,136422,18.5,17949,26.12,1993
CO,electric power,1333,0.99,4178552,0.78,1305,0.97,36,0,4137225,0.77,41327,0,4876,0,1993
CO,gas supply,276,0,778596,0,276,0,0,0,778596,0,0,0,0,0,1993
CO,transit,2244,0.51,5577990,0.24,2069,0.3,319,0.71,5272487,0.15,305503,1.95,30973,3.01,1993
CO,education - elementary and secondary instructional,46394,0.59,124600396,0.53,42910,0.64,11900,3.58,117772012,0.61,6828384,3.05,607720,3.15,1993
CO,education - elementary and secondary other,19991,1.31,36983161,0.86,15828,2.09,10510,3.57,30924959,1.28,6058202,3.12,719451,3.09,1993
CO,education - higher education instructional,13567,0,61783649,0,8590,0,11158,0,37131933,0,24651716,0,880563,0,1993
CO,education - higher education other,16732,0,34369521,0,9520,0,19754,0,21973205,0,12396316,0,1275919,0,1993
CO,education - other,1043,0,3353945,0,995,0,600,0,2875119,0,478826,0,8535,0,1993
CO,libraries,1392,3.75,2612762,1.35,1085,4.68,692,3.89,2172073,1.44,440689,2.42,54391,3,1993
CO,liquor stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
CO,other and unallocable,6668,6.77,16165170,5,6246,6.73,1228,16.24,15415768,4.98,749402,9.68,78147,13.82,1993
CT,total,154946,0.25,499281796,0.3,141063,0.29,38433,1.09,469462306,0.31,29819490,1.18,2295707,1.52,1993
