state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_employees,march_pay,year
AK,libraries,0,0,0,0,0,0,0,0,2009
AK,liquor stores,0,0,0,0,0,0,0,0,2009
AK,other and unallocable,3002,15940211,62,90865,3932,3025,3064,16031076,2009
AZ,total,60259,254003481,23448,24904651,1541424,68972,83707,278908132,2009
AZ,financial administration,3370,12377414,47,104071,4147,3393,3417,12481485,2009
AZ,other government administration,582,2465976,147,215910,9056,635,729,2681886,2009
AZ,judicial and legal,2046,8930333,70,188813,6679,2084,2116,9119146,2009
AZ,police protection - officers,1246,7409437,0,0,0,1246,1246,7409437,2009
AZ,police protection - other,888,4071344,26,52740,2097,900,914,4124084,2009
AZ,corrections,10480,39896606,50,188734,5074,10509,10530,40085340,2009
AZ,highways,2775,10138455,50,95472,3890,2797,2825,10233927,2009
AZ,air transportation,0,0,0,0,0,0,0,0,2009
AZ,water transport and terminals,0,0,0,0,0,0,0,0,2009
AZ,public welfare,4843,13889343,109,267683,10062,4899,4952,14157026,2009
AZ,health,2983,11350789,64,148990,6124,3018,3047,11499779,2009
AZ,hospitals,728,2951138,44,126176,4649,754,772,3077314,2009
AZ,social insurance administration,1690,4396789,63,70137,5956,1724,1753,4466926,2009
AZ,solid waste management,0,0,0,0,0,0,0,0,2009
AZ,sewerage,0,0,0,0,0,0,0,0,2009
AZ,parks and recreation,347,1108228,7,7880,363,349,354,1116108,2009
AZ,housing and community development,0,0,0,0,0,0,0,0,2009
AZ,natural resources,1792,7348911,672,731752,49877,2074,2464,8080663,2009
AZ,water transport and terminals,0,0,0,0,0,0,0,0,2009
AZ,electric power,8,60835,0,0,0,8,8,60835,2009
AZ,gas supply,0,0,0,0,0,0,0,0,2009
AZ,transit,0,0,0,0,0,0,0,0,2009
AZ,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
AZ,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
AZ,education - higher education instructional,6803,45677173,6650,9137153,452486,9359,13453,54814326,2009
AZ,education - higher education other,13404,58812243,14932,12834443,940274,18716,28336,71646686,2009
AZ,education - other,2885,9617047,292,431602,25912,3032,3177,10048649,2009
AZ,libraries,0,0,0,0,0,0,0,0,2009
AZ,liquor stores,0,0,0,0,0,0,0,0,2009
AZ,other and unallocable,3389,13501420,225,303095,14778,3475,3614,13804515,2009
AR,total,56405,206611677,15427,12687766,873742,61337,71832,219299443,2009
AR,financial administration,1970,6382862,31,21025,1867,1980,2001,6403887,2009
AR,other government administration,713,2999180,191,304329,18141,815,904,3303509,2009
AR,judicial and legal,1478,4849838,155,209293,6499,1514,1633,5059131,2009
AR,police protection - officers,562,2357126,0,0,0,562,562,2357126,2009
AR,police protection - other,667,2035531,16,18325,1293,674,683,2053856,2009
AR,corrections,5153,14441296,5,3227,170,5154,5158,14444523,2009
AR,highways,3584,12826844,46,76159,4959,3612,3630,12903003,2009
AR,air transportation,0,0,0,0,0,0,0,0,2009
AR,water transport and terminals,0,0,0,0,0,0,0,0,2009
AR,public welfare,3768,11211030,83,115422,7302,3809,3851,11326452,2009
AR,health,4828,16157871,168,214864,11836,4894,4996,16372735,2009
AR,hospitals,5564,19525324,375,640869,36139,5768,5939,20166193,2009
AR,social insurance administration,1134,3749750,27,25942,1973,1145,1161,3775692,2009
AR,solid waste management,0,0,0,0,0,0,0,0,2009
AR,sewerage,0,0,0,0,0,0,0,0,2009
AR,parks and recreation,723,1896368,258,142853,20440,838,981,2039221,2009
AR,housing and community development,0,0,0,0,0,0,0,0,2009
AR,natural resources,1840,5906012,429,343913,29389,2007,2269,6249925,2009
AR,water transport and terminals,0,0,0,0,0,0,0,0,2009
AR,electric power,0,0,0,0,0,0,0,0,2009
AR,gas supply,0,0,0,0,0,0,0,0,2009
AR,transit,0,0,0,0,0,0,0,0,2009
AR,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
AR,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
AR,education - higher education instructional,6628,43102075,4985,5784243,291612,8277,11613,48886318,2009
AR,education - higher education other,13834,45300360,8456,4564896,428052,16254,22290,49865256,2009
AR,education - other,1465,4984935,50,63790,3181,1482,1515,5048725,2009
AR,libraries,0,0,0,0,0,0,0,0,2009
AR,liquor stores,0,0,0,0,0,0,0,0,2009
AR,other and unallocable,2494,8885275,152,158616,10889,2552,2646,9043891,2009
CA,total,352647,2014955327,148525,234876553,10351925,411142,501172,2249831880,2009
CA,financial administration,21391,92665237,3134,5401484,363468,23444,24525,98066721,2009
CA,other government administration,3854,20946438,334,967173,32390,4050,4188,21913611,2009
CA,judicial and legal,6556,41187238,696,1093817,39239,6777,7252,42281055,2009
CA,police protection - officers,7795,61040261,0,0,0,7795,7795,61040261,2009
CA,police protection - other,4265,16486975,65,113020,5968,4299,4330,16599995,2009
CA,corrections,63337,382883710,1739,7525376,205133,64496,65076,390409086,2009
CA,highways,20955,136451605,1056,3548547,128386,21680,22011,140000152,2009
CA,air transportation,0,0,0,0,0,0,0,0,2009
CA,water transport and terminals,0,0,0,0,0,0,0,0,2009
CA,public welfare,3679,15812331,343,738959,26687,3829,4022,16551290,2009
CA,health,12722,69547243,1444,3541149,119969,13399,14166,73088392,2009
CA,hospitals,38922,247322799,7941,25990396,744825,43129,46863,273313195,2009
CA,social insurance administration,17278,74001149,1241,2493419,116053,17934,18519,76494568,2009
CA,solid waste management,421,2191453,34,107837,3708,442,455,2299290,2009
CA,sewerage,0,0,0,0,0,0,0,0,2009
CA,parks and recreation,2432,10876681,1935,3012405,212227,3631,4367,13889086,2009
CA,housing and community development,0,0,0,0,0,0,0,0,2009
CA,natural resources,13187,66839325,2889,4746751,362601,15237,16076,71586076,2009
CA,water transport and terminals,0,0,0,0,0,0,0,0,2009
CA,electric power,0,0,0,0,0,0,0,0,2009
CA,gas supply,0,0,0,0,0,0,0,0,2009
CA,transit,0,0,0,0,0,0,0,0,2009
CA,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
CA,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
CA,education - higher education instructional,23228,200041617,30521,59029900,2197824,35646,53749,259071517,2009
CA,education - higher education other,87651,448172838,92449,110780501,5567763,119107,180100,558953339,2009
CA,education - other,4098,19395400,575,1027730,50272,4383,4673,20423130,2009
CA,libraries,0,0,0,0,0,0,0,0,2009
CA,liquor stores,0,0,0,0,0,0,0,0,2009
CA,other and unallocable,20876,109093027,2129,4758089,175412,21864,23005,113851116,2009
CO,total,53863,271086974,41814,73544412,3347254,72778,95677,344631386,2009
CO,financial administration,1945,9578967,102,229363,8684,1994,2047,9808330,2009
CO,other government administration,421,1768059,169,451005,23342,553,590,2219064,2009
CO,judicial and legal,3881,19834615,656,1955550,76467,4313,4537,21790165,2009
CO,police protection - officers,868,5096394,0,0,0,868,868,5096394,2009
CO,police protection - other,386,1457309,24,47123,1765,396,410,1504432,2009
CO,corrections,7370,31662701,94,338523,11382,7434,7464,32001224,2009
CO,highways,3079,14658990,140,377356,15815,3168,3219,15036346,2009
CO,air transportation,0,0,0,0,0,0,0,0,2009
CO,water transport and terminals,0,0,0,0,0,0,0,0,2009
CO,public welfare,1879,8938967,553,1355043,59515,2215,2432,10294010,2009
CO,health,1165,6691647,143,466313,15293,1251,1308,7157960,2009
CO,hospitals,4436,17296788,1118,4139049,162193,5353,5554,21435837,2009
CO,social insurance administration,1048,5072556,109,288679,15000,1133,1157,5361235,2009
CO,solid waste management,0,0,0,0,0,0,0,0,2009
CO,sewerage,0,0,0,0,0,0,0,0,2009
CO,parks and recreation,266,1279294,104,101486,5103,295,370,1380780,2009
CO,housing and community development,0,0,0,0,0,0,0,0,2009
CO,natural resources,1386,7372624,194,374672,12919,1459,1580,7747296,2009
CO,water transport and terminals,0,0,0,0,0,0,0,0,2009
CO,electric power,0,0,0,0,0,0,0,0,2009
CO,gas supply,0,0,0,0,0,0,0,0,2009
CO,transit,0,0,0,0,0,0,0,0,2009
CO,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
CO,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
CO,education - higher education instructional,8494,63195805,12762,32974539,1317544,15939,21256,96170344,2009
CO,education - higher education other,14634,64037681,24708,28890831,1558155,23439,39342,92928512,2009
CO,education - other,974,4794314,871,1380576,56922,1296,1845,6174890,2009
CO,libraries,0,0,0,0,0,0,0,0,2009
CO,liquor stores,0,0,0,0,0,0,0,0,2009
CO,other and unallocable,1631,8350263,67,174304,7155,1672,1698,8524567,2009
CT,total,57117,332705871,24139,39044613,1575944,66498,81256,371750484,2009
CT,financial administration,2791,14206825,176,528225,19844,2903,2967,14735050,2009
CT,other government administration,1220,6229842,278,933721,31144,1396,1498,7163563,2009
CT,judicial and legal,4945,27861383,367,693644,11000,5006,5312,28555027,2009
CT,police protection - officers,1464,8146015,1,2907,142,1465,1465,8148922,2009
CT,police protection - other,600,3218943,42,59397,2849,616,642,3278340,2009
CT,corrections,7860,47417630,146,445198,12562,7931,8006,47862828,2009
CT,highways,3110,18038782,3,15170,525,3113,3113,18053952,2009
CT,air transportation,145,948960,0,0,0,145,145,948960,2009
CT,water transport and terminals,0,0,0,0,0,0,0,0,2009
CT,public welfare,5827,32174212,656,2247217,84353,6304,6483,34421429,2009
CT,health,4026,20255177,709,2022374,71399,4429,4735,22277551,2009
CT,hospitals,5806,36215639,2241,8175543,266384,7310,8047,44391182,2009
CT,social insurance administration,628,3347116,60,184318,9276,680,688,3531434,2009
CT,solid waste management,52,355575,6,21073,793,57,58,376648,2009
CT,sewerage,0,0,0,0,0,0,0,0,2009
CT,parks and recreation,181,853927,28,33704,1621,190,209,887631,2009
CT,housing and community development,0,0,0,0,0,0,0,0,2009
CT,natural resources,1050,5441762,190,372590,14422,1136,1240,5814352,2009
CT,water transport and terminals,0,0,0,0,0,0,0,0,2009
CT,electric power,0,0,0,0,0,0,0,0,2009
CT,gas supply,0,0,0,0,0,0,0,0,2009
CT,transit,0,0,0,0,0,0,0,0,2009
CT,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
CT,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
CT,education - higher education instructional,4304,33365315,8821,14256093,479388,7217,13125,47621408,2009
CT,education - higher education other,7979,44613949,9098,7192607,488698,11009,17077,51806556,2009
CT,education - other,2341,13935555,949,1104490,48212,2614,3290,15040045,2009
CT,libraries,0,0,0,0,0,0,0,0,2009
CT,liquor stores,0,0,0,0,0,0,0,0,2009
CT,other and unallocable,2788,16079264,368,756342,33332,2977,3156,16835606,2009
DE,total,23602,99772095,8229,10794789,483248,26510,31831,110566884,2009
DE,financial administration,820,2847302,26,25930,1281,828,846,2873232,2009
DE,other government administration,302,1291448,93,325020,10689,363,395,1616468,2009
DE,judicial and legal,1678,7606314,63,124485,6053,1715,1741,7730799,2009
DE,police protection - officers,711,4844019,0,0,0,711,711,4844019,2009
DE,police protection - other,304,1164577,11,23659,1136,311,315,1188236,2009
DE,corrections,2920,11033691,51,70848,5519,2954,2971,11104539,2009
DE,highways,1617,6019483,12,26572,1251,1625,1629,6046055,2009
DE,air transportation,0,0,0,0,0,0,0,0,2009
DE,water transport and terminals,273,1024397,0,0,0,273,273,1024397,2009
DE,public welfare,1725,5982141,116,187716,11829,1795,1841,6169857,2009
DE,health,2055,7708124,179,319715,17100,2156,2234,8027839,2009
DE,hospitals,1775,6058604,93,108026,7541,1821,1868,6166630,2009
DE,social insurance administration,329,1100449,20,34410,1729,340,349,1134859,2009
DE,solid waste management,180,604032,19,27363,1727,190,199,631395,2009
DE,sewerage,0,0,0,0,0,0,0,0,2009
DE,parks and recreation,302,764094,29,25308,1944,313,331,789402,2009
DE,housing and community development,0,0,0,0,0,0,0,0,2009
DE,natural resources,492,1873366,126,107539,6351,531,618,1980905,2009
DE,water transport and terminals,0,0,0,0,0,0,0,0,2009
DE,electric power,0,0,0,0,0,0,0,0,2009
DE,gas supply,0,0,0,0,0,0,0,0,2009
DE,transit,740,3317883,5,7118,392,742,745,3325001,2009
DE,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
DE,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
DE,education - higher education instructional,1495,11125679,3883,6565817,248741,2993,5378,17691496,2009
DE,education - higher education other,3903,16802249,3280,2592764,148519,4798,7183,19395013,2009
DE,education - other,359,1976200,29,52097,2079,372,388,2028297,2009
DE,libraries,0,0,0,0,0,0,0,0,2009
DE,liquor stores,0,0,0,0,0,0,0,0,2009
DE,other and unallocable,1622,6628043,194,170402,9367,1679,1816,6798445,2009
FL,total,169754,655000649,47204,54473816,2805101,185630,216958,709474465,2009
FL,financial administration,6623,21884409,258,236740,16345,6715,6881,22121149,2009
FL,other government administration,2319,10452161,146,186906,11850,2385,2465,10639067,2009
FL,judicial and legal,19408,77167390,824,1470917,72028,19815,20232,78638307,2009
FL,police protection - officers,2272,9824720,49,61372,1532,2281,2321,9886092,2009
FL,police protection - other,2013,6748089,99,129349,10956,2075,2112,6877438,2009
FL,corrections,29823,90993830,462,705851,24674,29962,30285,91699681,2009
FL,highways,7755,31406307,90,77878,6372,7791,7845,31484185,2009
FL,air transportation,0,0,0,0,0,0,0,0,2009
FL,water transport and terminals,0,0,0,0,0,0,0,0,2009
FL,public welfare,9621,28826126,276,305464,22239,9747,9897,29131590,2009
FL,health,20101,64992125,1271,2519498,141841,20902,21372,67511623,2009
FL,hospitals,3713,11237465,74,146286,6352,3749,3787,11383751,2009
FL,social insurance administration,2502,8109011,93,127710,7926,2547,2595,8236721,2009
FL,solid waste management,0,0,0,0,0,0,0,0,2009
FL,sewerage,0,0,0,0,0,0,0,0,2009
FL,parks and recreation,1298,3140260,310,245633,21139,1417,1608,3385893,2009
FL,housing and community development,0,0,0,0,0,0,0,0,2009
FL,natural resources,8981,29531683,2357,2286819,149121,9823,11338,31818502,2009
FL,water transport and terminals,0,0,0,0,0,0,0,0,2009
FL,electric power,0,0,0,0,0,0,0,0,2009
FL,gas supply,0,0,0,0,0,0,0,0,2009
FL,transit,663,2695235,51,77986,6511,700,714,2773221,2009
FL,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
FL,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
FL,education - higher education instructional,15920,122590849,17273,24080132,854075,20750,33193,146670981,2009
FL,education - higher education other,26948,102181825,22764,21024544,1398434,34873,49712,123206369,2009
FL,education - other,3075,10272662,309,246811,16966,3171,3384,10519473,2009
FL,libraries,0,0,0,0,0,0,0,0,2009
FL,liquor stores,0,0,0,0,0,0,0,0,2009
FL,other and unallocable,6719,22946502,498,543920,36740,6927,7217,23490422,2009
GA,total,108043,423014909,42169,43060802,2573314,122582,150212,466075711,2009
GA,financial administration,3709,15448140,241,394274,33935,3899,3950,15842414,2009
GA,other government administration,955,3462939,247,416547,35216,1154,1202,3879486,2009
GA,judicial and legal,3541,16155702,82,191562,7261,3582,3623,16347264,2009
GA,police protection - officers,1102,4682670,1,1892,160,1103,1103,4684562,2009
GA,police protection - other,952,3306256,37,49362,3818,974,989,3355618,2009
GA,corrections,17942,49340744,626,973480,46234,18203,18568,50314224,2009
GA,highways,5580,17752384,35,38642,1892,5591,5615,17791026,2009
GA,air transportation,0,0,0,0,0,0,0,0,2009
GA,water transport and terminals,997,4915827,0,0,0,997,997,4915827,2009
GA,public welfare,8363,23565773,69,107062,5896,8396,8432,23672835,2009
GA,health,4432,16600716,313,557060,40172,4659,4745,17157776,2009
GA,hospitals,6324,16742836,1149,2034326,116262,6979,7473,18777162,2009
GA,social insurance administration,2092,6269452,147,232426,16008,2182,2239,6501878,2009
GA,solid waste management,0,0,0,0,0,0,0,0,2009
GA,sewerage,0,0,0,0,0,0,0,0,2009
GA,parks and recreation,1405,3980258,888,1126884,91379,1920,2293,5107142,2009
GA,housing and community development,0,0,0,0,0,0,0,0,2009
GA,natural resources,3892,13530415,1104,1119434,88516,4391,4996,14649849,2009
GA,water transport and terminals,0,0,0,0,0,0,0,0,2009
GA,electric power,0,0,0,0,0,0,0,0,2009
GA,gas supply,0,0,0,0,0,0,0,0,2009
GA,transit,0,0,0,0,0,0,0,0,2009
GA,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
GA,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
GA,education - higher education instructional,13191,86118192,14982,19290436,827265,17869,28173,105408628,2009
GA,education - higher education other,27755,117594473,21504,15676675,1198226,34523,49259,133271148,2009
GA,education - other,2833,12174673,399,570515,40138,3061,3232,12745188,2009
GA,libraries,0,0,0,0,0,0,0,0,2009
GA,liquor stores,0,0,0,0,0,0,0,0,2009
GA,other and unallocable,2978,11373459,345,280225,20936,3099,3323,11653684,2009
HI,total,54852,233045908,20630,20395570,919838,60041,75482,253441478,2009
HI,financial administration,745,3003070,4,8466,356,747,749,3011536,2009
HI,other government administration,690,2820106,151,352844,13614,765,841,3172950,2009
HI,judicial and legal,2520,11521642,49,88890,2888,2536,2569,11610532,2009
HI,police protection - officers,0,0,0,0,0,0,0,0,2009
HI,police protection - other,0,0,0,0,0,0,0,0,2009
HI,corrections,2448,10934198,12,50638,906,2453,2460,10984836,2009
HI,highways,883,4133954,6,5896,468,886,889,4139850,2009
HI,air transportation,954,3654888,12,15690,916,959,966,3670578,2009
HI,water transport and terminals,210,883618,0,0,0,210,210,883618,2009
HI,public welfare,635,2532054,39,24654,2972,652,674,2556708,2009
HI,health,2353,10931032,69,222070,7932,2398,2422,11153102,2009
HI,hospitals,4120,19755426,582,1576558,47640,4387,4702,21331984,2009
HI,social insurance administration,263,1086848,27,60188,2184,275,290,1147036,2009
HI,solid waste management,0,0,0,0,0,0,0,0,2009
HI,sewerage,0,0,0,0,0,0,0,0,2009
HI,parks and recreation,145,535772,547,87870,6276,180,692,623642,2009
HI,housing and community development,0,0,0,0,0,0,0,0,2009
HI,natural resources,1150,5267604,289,284108,17130,1246,1439,5551712,2009
HI,water transport and terminals,0,0,0,0,0,0,0,0,2009
HI,electric power,0,0,0,0,0,0,0,0,2009
HI,gas supply,0,0,0,0,0,0,0,0,2009
HI,transit,0,0,0,0,0,0,0,0,2009
HI,education - elementary and secondary instructional,18018,80388960,9024,8082176,353422,20015,27042,88471136,2009
HI,education - elementary and secondary other,7727,17180436,3022,1272840,83806,8200,10749,18453276,2009
HI,education - higher education instructional,2621,18603318,1324,4113658,126574,3336,3945,22716976,2009
HI,education - higher education other,4627,20282332,5139,3864110,230994,5932,9766,24146442,2009
HI,education - other,145,586366,3,6118,240,146,148,592484,2009
HI,libraries,466,1681014,268,204786,17368,564,734,1885800,2009
HI,liquor stores,0,0,0,0,0,0,0,0,2009
HI,other and unallocable,4132,17263270,63,74010,4152,4154,4195,17337280,2009
ID,total,19483,81862498,9430,10320858,654288,23179,28913,92183356,2009
ID,financial administration,1182,5071428,158,261469,25253,1325,1340,5332897,2009
ID,other government administration,152,806179,190,446869,18666,257,342,1253048,2009
ID,judicial and legal,479,3389500,26,77259,1729,489,505,3466759,2009
ID,police protection - officers,270,1381516,0,0,0,270,270,1381516,2009
ID,police protection - other,218,837510,24,38056,2845,234,242,875566,2009
ID,corrections,1995,7710207,42,94761,5562,2026,2037,7804968,2009
ID,highways,1553,5610081,155,259576,25649,1698,1708,5869657,2009
ID,air transportation,0,0,0,0,0,0,0,0,2009
ID,water transport and terminals,0,0,0,0,0,0,0,0,2009
ID,public welfare,1758,6095099,161,270931,21250,1879,1919,6366030,2009
ID,health,1119,4863130,165,352880,15321,1205,1284,5216010,2009
ID,hospitals,799,2536485,129,124759,9394,852,928,2661244,2009
ID,social insurance administration,476,2363120,257,740781,40000,702,733,3103901,2009
ID,solid waste management,0,0,0,0,0,0,0,0,2009
ID,sewerage,0,0,0,0,0,0,0,0,2009
ID,parks and recreation,200,699516,66,77725,6700,238,266,777241,2009
ID,housing and community development,0,0,0,0,0,0,0,0,2009
ID,natural resources,1648,7203183,709,1004817,71153,2050,2357,8208000,2009
ID,water transport and terminals,0,0,0,0,0,0,0,0,2009
ID,electric power,0,0,0,0,0,0,0,0,2009
ID,gas supply,0,0,0,0,0,0,0,0,2009
ID,transit,0,0,0,0,0,0,0,0,2009
ID,education - elementary and secondary instructional,0,0,0,0,0,0,0,0,2009
ID,education - elementary and secondary other,0,0,0,0,0,0,0,0,2009
ID,education - higher education instructional,2289,12538821,1867,2729663,112554,2925,4156,15268484,2009
ID,education - higher education other,3885,14435060,5191,3463230,267404,5395,9076,17898290,2009
ID,education - other,434,1998620,90,179416,14400,515,524,2178036,2009
ID,libraries,0,0,0,0,0,0,0,0,2009
ID,liquor stores,164,548191,170,154617,13322,239,334,702808,2009
ID,other and unallocable,862,3774852,30,44049,3086,880,892,3818901,2009
IL,total,108927,552982278,53208,81761339,4789335,136542,162135,634743617,2009
IL,financial administration,5081,23106129,316,570861,31542,5272,5397,23676990,2009
IL,other government administration,2382,13294744,45,80097,2986,2399,2427,13374841,2009
IL,judicial and legal,2570,21459434,61,183832,4382,2596,2631,21643266,2009
IL,police protection - officers,2254,14865374,0,0,0,2254,2254,14865374,2009
IL,police protection - other,1532,7880436,12,35936,908,1537,1544,7916372,2009
IL,corrections,12058,62000660,7,33166,662,12062,12065,62033826,2009
IL,highways,6059,32172617,1148,4378802,129080,6837,7207,36551419,2009
IL,air transportation,0,0,0,0,0,0,0,0,2009
IL,water transport and terminals,60,340050,0,0,0,60,60,340050,2009
