state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
AL,2012,total,78928,330807555,30228,29779480,1722192,88902,109156,360587035
AL,2012,financial administration,2446,10674543,61,102014,5476,2477,2507,10776557
AL,2012,other government administration,523,2682953,127,196311,10247,580,650,2879264
AL,2012,judicial and legal,3062,14112752,208,337204,23864,3197,3270,14449956
AL,2012,police protection total,1458,5566626,0,0,0,1458,1458,5566626
AL,2012,police protection - officers,757,3392584,0,0,0,757,757,3392584
AL,2012,police protection - other,701,2174042,0,0,0,701,701,2174042
AL,2012,fire protection total,0,0,0,0,0,0,0,0
AL,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
AL,2012,fire protection - other,0,0,0,0,0,0,0,0
AL,2012,corrections,5085,16378048,83,186044,9750,5140,5168,16564092
AL,2012,highways,4386,15100808,71,51122,5680,4418,4457,15151930
AL,2012,air transportation,0,0,0,0,0,0,0,0
AL,2012,water transport and terminals,580,2771697,1,1650,80,580,581,2773347
AL,2012,public welfare,4025,13767712,95,163904,8092,4071,4120,13931616
AL,2012,health,5576,20154936,279,366548,33934,5768,5855,20521484
AL,2012,hospitals,10930,46301559,1558,3255743,126092,11678,12488,49557302
AL,2012,social insurance administration,877,3237568,63,89146,8902,927,940,3326714
AL,2012,solid waste management,0,0,0,0,0,0,0,0
AL,2012,sewerage,0,0,0,0,0,0,0,0
AL,2012,parks and recreation,380,1017556,243,235632,28308,540,623,1253188
AL,2012,housing and community development,0,0,0,0,0,0,0,0
AL,2012,natural resources,1940,7539212,116,142619,10251,1999,2056,7681831
AL,2012,water transport and terminals,0,0,0,0,0,0,0,0
AL,2012,electric power,0,0,0,0,0,0,0,0
AL,2012,gas supply,0,0,0,0,0,0,0,0
AL,2012,transit,0,0,0,0,0,0,0,0
AL,2012,education total,34911,161296133,26813,24027849,1395257,43003,61724,185323982
AL,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
AL,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AL,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
AL,2012,education - higher education total,32017,150233877,26657,23872837,1389139,40075,58674,174106714
AL,2012,education - higher education instructional,9805,61917328,9860,11797015,495490,12676,19665,73714343
AL,2012,education - higher education other,22212,88316549,16797,12075822,893649,27399,39009,100392371
AL,2012,education - other,2894,11062256,156,155012,6118,2928,3050,11217268
AL,2012,libraries,0,0,0,0,0,0,0,0
AL,2012,liquor stores,734,1948940,10,14782,872,739,744,1963722
AL,2012,other and unallocable,2015,8256512,500,608912,55387,2327,2515,8865424
AK,2012,total,24859,135514230,5809,7879201,407661,27230,30668,143393431
AK,2012,financial administration,1094,6266256,27,48112,2249,1109,1121,6314368
AK,2012,other government administration,808,4327814,49,87628,3768,831,857,4415442
AK,2012,judicial and legal,1456,8783182,55,152448,4460,1483,1511,8935630
AK,2012,police protection total,647,4157356,44,22550,1348,655,691,4179906
AK,2012,police protection - officers,302,2519398,0,0,0,302,302,2519398
AK,2012,police protection - other,345,1637958,44,22550,1348,353,389,1660508
AK,2012,fire protection total,0,0,0,0,0,0,0,0
AK,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
AK,2012,fire protection - other,0,0,0,0,0,0,0,0
AK,2012,corrections,1894,9858134,58,135630,6291,1932,1952,9993764
AK,2012,highways,3162,18143816,44,81346,4774,3191,3206,18225162
AK,2012,air transportation,0,0,0,0,0,0,0,0
AK,2012,water transport and terminals,0,0,0,0,0,0,0,0
AK,2012,public welfare,1784,8082962,127,213066,19926,1904,1911,8296028
AK,2012,health,720,4015826,14,25354,1166,728,734,4041180
AK,2012,hospitals,228,1186416,29,82876,2587,244,257,1269292
AK,2012,social insurance administration,408,1875456,7,15128,644,412,415,1890584
AK,2012,solid waste management,0,0,0,0,0,0,0,0
AK,2012,sewerage,0,0,0,0,0,0,0,0
AK,2012,parks and recreation,100,487744,5,8646,344,102,105,496390
AK,2012,housing and community development,0,0,0,0,0,0,0,0
AK,2012,natural resources,2378,12711462,115,238968,8665,2429,2493,12950430
AK,2012,water transport and terminals,0,0,0,0,0,0,0,0
AK,2012,electric power,0,0,0,0,0,0,0,0
AK,2012,gas supply,0,0,0,0,0,0,0,0
AK,2012,transit,0,0,0,0,0,0,0,0
AK,2012,education total,7330,38945973,5176,6699061,347547,9335,12506,45645034
AK,2012,education - elementary and secondary total,2629,11366897,1096,1503963,85872,3154,3725,12870860
AK,2012,education - elementary and secondary instructional,1991,9036637,549,709752,40655,2239,2540,9746389
AK,2012,education - elementary and secondary other,638,2330260,547,794211,45217,915,1185,3124471
AK,2012,education - higher education total,4447,26191444,4035,5151862,259219,5912,8482,31343306
AK,2012,education - higher education instructional,1488,11615109,1136,1397290,57343,1812,2624,13012399
AK,2012,education - higher education other,2959,14576335,2899,3754572,201876,4100,5858,18330907
AK,2012,education - other,254,1387632,45,43236,2456,269,299,1430868
AK,2012,libraries,0,0,0,0,0,0,0,0
AK,2012,liquor stores,0,0,0,0,0,0,0,0
AK,2012,other and unallocable,2850,16671833,59,68388,3892,2875,2909,16740221
AZ,2012,total,64965,290859404,28060,31804553,2049228,76547,93025,322663957
AZ,2012,financial administration,2726,10567451,40,104773,4362,2751,2766,10672224
AZ,2012,other government administration,745,2882385,87,162054,4734,774,832,3044439
AZ,2012,judicial and legal,2066,9483359,78,248953,7830,2111,2144,9732312
AZ,2012,police protection total,1828,9322149,42,94579,3286,1847,1870,9416728
AZ,2012,police protection - officers,1079,6044555,0,0,0,1079,1079,6044555
AZ,2012,police protection - other,749,3277594,42,94579,3286,768,791,3372173
AZ,2012,fire protection total,0,0,0,0,0,0,0,0
AZ,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
AZ,2012,fire protection - other,0,0,0,0,0,0,0,0
AZ,2012,corrections,10548,37554693,26,99595,2734,10564,10574,37654288
AZ,2012,highways,2791,11500404,28,62279,2325,2804,2819,11562683
AZ,2012,air transportation,0,0,0,0,0,0,0,0
AZ,2012,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2012,public welfare,5462,18203215,116,304146,11756,5529,5578,18507361
AZ,2012,health,2323,9091981,48,125431,5182,2352,2371,9217412
AZ,2012,hospitals,6240,29133457,1122,3668884,123750,6939,7362,32802341
AZ,2012,social insurance administration,1911,5578605,63,91213,6512,1948,1974,5669818
AZ,2012,solid waste management,0,0,0,0,0,0,0,0
AZ,2012,sewerage,0,0,0,0,0,0,0,0
AZ,2012,parks and recreation,311,811401,2,3211,88,311,313,814612
AZ,2012,housing and community development,0,0,0,0,0,0,0,0
AZ,2012,natural resources,1428,5724773,205,300543,19497,1538,1633,6025316
AZ,2012,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2012,electric power,8,60184,0,0,0,8,8,60184
AZ,2012,gas supply,0,0,0,0,0,0,0,0
AZ,2012,transit,0,0,0,0,0,0,0,0
AZ,2012,education total,23508,128639816,26065,26295627,1846972,33942,49573,154935443
AZ,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
AZ,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AZ,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
AZ,2012,education - higher education total,20303,117584545,25773,25881490,1822001,30596,46076,143466035
AZ,2012,education - higher education instructional,6707,50918011,9487,11452086,654299,10403,16194,62370097
AZ,2012,education - higher education other,13596,66666534,16286,14429404,1167702,20193,29882,81095938
AZ,2012,education - other,3205,11055271,292,414137,24971,3346,3497,11469408
AZ,2012,libraries,0,0,0,0,0,0,0,0
AZ,2012,liquor stores,0,0,0,0,0,0,0,0
AZ,2012,other and unallocable,3070,12305531,138,243265,10200,3129,3208,12548796
AR,2012,total,57973,229598791,16286,15556856,1018596,63732,74259,245155647
AR,2012,financial administration,2003,7231466,14,19714,1736,2013,2017,7251180
AR,2012,other government administration,767,3397751,133,182797,9906,823,900,3580548
AR,2012,judicial and legal,1294,4864243,148,421474,12310,1364,1442,5285717
AR,2012,police protection total,1230,4629315,10,13671,939,1235,1240,4642986
AR,2012,police protection - officers,565,2458816,0,0,0,565,565,2458816
AR,2012,police protection - other,665,2170499,10,13671,939,670,675,2184170
AR,2012,fire protection total,0,0,0,0,0,0,0,0
AR,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
AR,2012,fire protection - other,0,0,0,0,0,0,0,0
AR,2012,corrections,5308,18135310,8,9583,702,5312,5316,18144893
AR,2012,highways,3404,12498334,33,54648,3558,3424,3437,12552982
AR,2012,air transportation,0,0,0,0,0,0,0,0
AR,2012,water transport and terminals,0,0,0,0,0,0,0,0
AR,2012,public welfare,3931,12438272,60,70203,5278,3961,3991,12508475
AR,2012,health,3934,14894692,98,252228,10302,3993,4032,15146920
AR,2012,hospitals,6420,23773515,506,943531,59857,6757,6926,24717046
AR,2012,social insurance administration,1628,5487795,0,0,0,1628,1628,5487795
AR,2012,solid waste management,0,0,0,0,0,0,0,0
AR,2012,sewerage,0,0,0,0,0,0,0,0
AR,2012,parks and recreation,1031,2351707,4,1805,354,1033,1035,2353512
AR,2012,housing and community development,0,0,0,0,0,0,0,0
AR,2012,natural resources,1892,6611427,388,312278,26666,2043,2280,6923705
AR,2012,water transport and terminals,0,0,0,0,0,0,0,0
AR,2012,electric power,0,0,0,0,0,0,0,0
AR,2012,gas supply,0,0,0,0,0,0,0,0
AR,2012,transit,0,0,0,0,0,0,0,0
AR,2012,education total,22497,103581556,14837,13215652,883769,27493,37334,116797208
AR,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
AR,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AR,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
AR,2012,education - higher education total,21109,98337314,14817,13178019,882099,26095,35926,111515333
AR,2012,education - higher education instructional,6761,46068941,5258,6897962,306051,8491,12019,52966903
AR,2012,education - higher education other,14348,52268373,9559,6280057,576048,17604,23907,58548430
AR,2012,education - other,1388,5244242,20,37633,1670,1398,1408,5281875
AR,2012,libraries,0,0,0,0,0,0,0,0
AR,2012,liquor stores,0,0,0,0,0,0,0,0
AR,2012,other and unallocable,2634,9703408,47,59272,3219,2653,2681,9762680
CA,2012,total,329267,2092256686,156625,337329898,12233416,398393,485892,2429586584
CA,2012,financial administration,23483,113539168,2720,5142668,289416,25118,26203,118681836
CA,2012,other government administration,3664,20714938,313,924146,30890,3851,3977,21639084
CA,2012,judicial and legal,5822,38434351,418,1314296,37402,6033,6240,39748647
CA,2012,police protection total,11003,78394102,112,183870,6759,11041,11115,78577972
CA,2012,police protection - officers,7803,65365434,59,66164,1494,7811,7862,65431598
CA,2012,police protection - other,3200,13028668,53,117706,5265,3230,3253,13146374
CA,2012,fire protection total,0,0,0,0,0,0,0,0
CA,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
CA,2012,fire protection - other,0,0,0,0,0,0,0,0
CA,2012,corrections,54168,361088047,2598,9680789,309228,55915,56766,370768836
CA,2012,highways,19460,146307175,961,3465963,138059,20240,20421,149773138
CA,2012,air transportation,0,0,0,0,0,0,0,0
CA,2012,water transport and terminals,0,0,0,0,0,0,0,0
CA,2012,public welfare,3602,16820388,383,805436,24131,3738,3985,17625824
CA,2012,health,12189,74151406,1378,4176613,123555,12887,13567,78328019
CA,2012,hospitals,29822,220862555,17565,101573315,2223046,42381,47387,322435870
CA,2012,social insurance administration,14767,71617118,1751,4385511,192598,15855,16518,76002629
CA,2012,solid waste management,564,3192236,37,104973,3461,584,601,3297209
CA,2012,sewerage,0,0,0,0,0,0,0,0
CA,2012,parks and recreation,2283,11485269,1868,2834170,186913,3339,4151,14319439
CA,2012,housing and community development,0,0,0,0,0,0,0,0
CA,2012,natural resources,12892,73582555,2902,5468395,372744,15001,15794,79050950
CA,2012,water transport and terminals,0,0,0,0,0,0,0,0
CA,2012,electric power,0,0,0,0,0,0,0,0
CA,2012,gas supply,0,0,0,0,0,0,0,0
CA,2012,transit,0,0,0,0,0,0,0,0
CA,2012,education total,116232,750874920,121573,192403363,8135096,162192,237805,943278283
CA,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
CA,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CA,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
CA,2012,education - higher education total,112282,730944075,120950,191224131,8081503,157940,233232,922168206
CA,2012,education - higher education instructional,24293,215425743,29979,57373708,1974612,35449,54272,272799451
CA,2012,education - higher education other,87989,515518332,90971,133850423,6106891,122491,178960,649368755
CA,2012,education - other,3950,19930845,623,1179232,53593,4252,4573,21110077
CA,2012,libraries,0,0,0,0,0,0,0,0
CA,2012,liquor stores,0,0,0,0,0,0,0,0
CA,2012,other and unallocable,19316,111192458,2046,4866390,160118,20218,21362,116058848
CO,2012,total,55338,283633738,46162,79089010,3292191,73944,101500,362722748
CO,2012,financial administration,1898,9431834,101,260887,10128,1956,1999,9692721
CO,2012,other government administration,434,1870573,173,465684,22998,564,607,2336257
CO,2012,judicial and legal,4165,20883876,595,1613296,60714,4508,4760,22497172
CO,2012,police protection total,1218,6694422,17,39000,1390,1226,1235,6733422
CO,2012,police protection - officers,754,4558124,0,0,0,754,754,4558124
CO,2012,police protection - other,464,2136298,17,39000,1390,472,481,2175298
CO,2012,fire protection total,0,0,0,0,0,0,0,0
CO,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
CO,2012,fire protection - other,0,0,0,0,0,0,0,0
CO,2012,corrections,7224,30144926,60,235289,8043,7270,7284,30380215
CO,2012,highways,2948,13647770,165,437613,20126,3062,3113,14085383
CO,2012,air transportation,0,0,0,0,0,0,0,0
CO,2012,water transport and terminals,0,0,0,0,0,0,0,0
CO,2012,public welfare,1937,8562257,358,909411,38293,2154,2295,9471668
CO,2012,health,1186,6494606,147,436701,15072,1271,1333,6931307
CO,2012,hospitals,4624,18397406,980,4440333,142317,5428,5604,22837739
CO,2012,social insurance administration,869,4103060,210,548844,22546,996,1079,4651904
CO,2012,solid waste management,0,0,0,0,0,0,0,0
CO,2012,sewerage,0,0,0,0,0,0,0,0
CO,2012,parks and recreation,875,4229582,236,346798,20704,992,1111,4576380
CO,2012,housing and community development,0,0,0,0,0,0,0,0
CO,2012,natural resources,949,4978233,209,470356,18491,1053,1158,5448589
CO,2012,water transport and terminals,0,0,0,0,0,0,0,0
CO,2012,electric power,0,0,0,0,0,0,0,0
CO,2012,gas supply,0,0,0,0,0,0,0,0
CO,2012,transit,0,0,0,0,0,0,0,0
CO,2012,education total,24725,142094123,42848,68691417,2901852,41123,67573,210785540
CO,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
CO,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CO,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
CO,2012,education - higher education total,23725,137097309,41692,67068242,2834942,39745,65417,204165551
CO,2012,education - higher education instructional,8776,69003034,15164,37406314,1379846,16572,23940,106409348
CO,2012,education - higher education other,14949,68094275,26528,29661928,1455096,23173,41477,97756203
CO,2012,education - other,1000,4996814,1156,1623175,66910,1378,2156,6619989
CO,2012,libraries,0,0,0,0,0,0,0,0
CO,2012,liquor stores,0,0,0,0,0,0,0,0
CO,2012,other and unallocable,2286,12101070,63,193381,9517,2341,2349,12294451
CT,2012,total,52301,308837621,25710,41473123,1542449,61499,78011,350310744
CT,2012,financial administration,2193,11828300,110,303917,11538,2260,2303,12132217
CT,2012,other government administration,1337,7065084,246,836733,27035,1491,1583,7901817
CT,2012,judicial and legal,5825,32302307,383,1045458,16432,5917,6208,33347765
CT,2012,police protection total,1843,13033401,230,147487,5323,1873,2073,13180888
CT,2012,police protection - officers,1202,9456311,0,0,0,1202,1202,9456311
CT,2012,police protection - other,641,3577090,230,147487,5323,671,871,3724577
CT,2012,fire protection total,0,0,0,0,0,0,0,0
CT,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
CT,2012,fire protection - other,0,0,0,0,0,0,0,0
CT,2012,corrections,5718,34086373,82,339586,8195,5765,5800,34425959
CT,2012,highways,3038,14514406,7,22911,729,3042,3045,14537317
CT,2012,air transportation,152,842795,0,0,0,152,152,842795
CT,2012,water transport and terminals,0,0,0,0,0,0,0,0
CT,2012,public welfare,5238,28933502,368,1528876,53535,5542,5606,30462378
CT,2012,health,3636,19531528,606,1957072,51884,3931,4242,21488600
CT,2012,hospitals,5099,31506874,1890,7815813,239088,6456,6989,39322687
CT,2012,social insurance administration,687,3891062,3,9167,354,689,690,3900229
CT,2012,solid waste management,47,326038,3,8762,432,50,50,334800
CT,2012,sewerage,0,0,0,0,0,0,0,0
CT,2012,parks and recreation,163,792668,21,33879,1499,171,184,826547
CT,2012,housing and community development,0,0,0,0,0,0,0,0
CT,2012,natural resources,658,3530521,108,209819,7763,702,766,3740340
CT,2012,water transport and terminals,0,0,0,0,0,0,0,0
CT,2012,electric power,0,0,0,0,0,0,0,0
CT,2012,gas supply,0,0,0,0,0,0,0,0
CT,2012,transit,0,0,0,0,0,0,0,0
CT,2012,education total,14284,92653633,21243,26634146,1093653,20934,35527,119287779
CT,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
CT,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CT,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
CT,2012,education - higher education total,12055,80098901,20225,24256175,1006690,18213,32280,104355076
CT,2012,education - higher education instructional,4484,36133998,7924,14672930,441652,7205,12408,50806928
CT,2012,education - higher education other,7571,43964903,12301,9583245,565038,11008,19872,53548148
CT,2012,education - other,2229,12554732,1018,2377971,86963,2721,3247,14932703
CT,2012,libraries,0,0,0,0,0,0,0,0
CT,2012,liquor stores,0,0,0,0,0,0,0,0
CT,2012,other and unallocable,2383,13999129,410,579497,24989,2524,2793,14578626
DE,2012,total,23291,101638353,8552,11673816,546612,26588,31843,113312169
DE,2012,financial administration,817,2724821,14,17112,1127,825,831,2741933
DE,2012,other government administration,379,1627492,95,139862,7218,423,474,1767354
DE,2012,judicial and legal,1732,7972142,56,106414,5185,1762,1788,8078556
DE,2012,police protection total,1003,6494119,11,26669,1364,1012,1014,6520788
DE,2012,police protection - officers,746,5284074,0,0,0,746,746,5284074
DE,2012,police protection - other,257,1210045,11,26669,1364,266,268,1236714
DE,2012,fire protection total,0,0,0,0,0,0,0,0
DE,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
DE,2012,fire protection - other,0,0,0,0,0,0,0,0
DE,2012,corrections,2855,11305756,40,56028,3910,2879,2895,11361784
DE,2012,highways,1536,5102888,0,0,0,1536,1536,5102888
DE,2012,air transportation,0,0,0,0,0,0,0,0
DE,2012,water transport and terminals,273,1114627,0,0,0,273,273,1114627
DE,2012,public welfare,1561,5351617,71,126433,7237,1604,1632,5478050
DE,2012,health,2030,7660636,150,300292,15533,2122,2180,7960928
DE,2012,hospitals,1463,5043409,96,113852,7929,1512,1559,5157261
DE,2012,social insurance administration,321,1067345,18,28321,1317,329,339,1095666
DE,2012,solid waste management,123,487225,18,27617,2137,136,141,514842
DE,2012,sewerage,0,0,0,0,0,0,0,0
DE,2012,parks and recreation,305,782540,29,24204,1790,316,334,806744
DE,2012,housing and community development,0,0,0,0,0,0,0,0
DE,2012,natural resources,483,1877050,102,116880,7998,532,585,1993930
DE,2012,water transport and terminals,0,0,0,0,0,0,0,0
DE,2012,electric power,0,0,0,0,0,0,0,0
DE,2012,gas supply,0,0,0,0,0,0,0,0
DE,2012,transit,848,3454005,4,10529,523,851,852,3464534
DE,2012,education total,5947,33064255,7628,10384583,472337,8794,13575,43448838
DE,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
DE,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
DE,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
DE,2012,education - higher education total,5604,31056491,7602,10339982,470131,8437,13206,41396473
DE,2012,education - higher education instructional,1518,12225925,3519,6245005,211057,2790,5037,18470930
DE,2012,education - higher education other,4086,18830566,4083,4094977,259074,5647,8169,22925543
DE,2012,education - other,343,2007764,26,44601,2206,357,369,2052365
DE,2012,libraries,0,0,0,0,0,0,0,0
DE,2012,liquor stores,0,0,0,0,0,0,0,0
DE,2012,other and unallocable,1615,6508426,220,195020,11007,1682,1835,6703446
FL,2012,total,164556,663479824,45869,55733395,2939288,181234,210425,719213219
FL,2012,financial administration,6260,21125488,167,197517,13705,6338,6427,21323005
FL,2012,other government administration,1968,8425670,179,216987,14845,2052,2147,8642657
FL,2012,judicial and legal,18860,75561174,728,1206635,63711,19222,19588,76767809
FL,2012,police protection total,4110,15609839,579,643519,23065,4242,4689,16253358
FL,2012,police protection - officers,2225,9210355,385,445933,12064,2294,2610,9656288
FL,2012,police protection - other,1885,6399484,194,197586,11001,1948,2079,6597070
FL,2012,fire protection total,0,0,0,0,0,0,0,0
FL,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
FL,2012,fire protection - other,0,0,0,0,0,0,0,0
FL,2012,corrections,26279,81550180,246,333775,13665,26356,26525,81883955
FL,2012,highways,6741,27672560,16,17119,1242,6748,6757,27689679
FL,2012,air transportation,0,0,0,0,0,0,0,0
FL,2012,water transport and terminals,0,0,0,0,0,0,0,0
FL,2012,public welfare,9158,27025271,305,324754,23417,9291,9463,27350025
FL,2012,health,18621,59838997,1154,2465466,121496,19308,19775,62304463
FL,2012,hospitals,4137,13296044,54,100679,4615,4163,4191,13396723
FL,2012,social insurance administration,2548,8504064,6,10664,560,2551,2554,8514728
FL,2012,solid waste management,0,0,0,0,0,0,0,0
FL,2012,sewerage,0,0,0,0,0,0,0,0
FL,2012,parks and recreation,1254,3060088,265,268864,16801,1349,1519,3328952
FL,2012,housing and community development,0,0,0,0,0,0,0,0
FL,2012,natural resources,7935,26442152,752,831208,62897,8291,8687,27273360
FL,2012,water transport and terminals,0,0,0,0,0,0,0,0
FL,2012,electric power,0,0,0,0,0,0,0,0
FL,2012,gas supply,0,0,0,0,0,0,0,0
FL,2012,transit,620,2679884,77,147507,11993,688,697,2827391
FL,2012,education total,49684,271659676,40929,48495443,2535212,64073,90613,320155119
FL,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
FL,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
FL,2012,education - elementary and secondary other,0,0,0,0,0,0,0,0
FL,2012,education - higher education total,46760,261631249,40647,48270984,2521395,61070,87407,309902233
FL,2012,education - higher education instructional,13629,129554218,14726,26787780,1131625,20041,28355,156341998
FL,2012,education - higher education other,33131,132077031,25921,21483204,1389770,41029,59052,153560235
FL,2012,education - other,2924,10028427,282,224459,13817,3003,3206,10252886
FL,2012,libraries,0,0,0,0,0,0,0,0
FL,2012,liquor stores,0,0,0,0,0,0,0,0
FL,2012,other and unallocable,6381,21028737,412,473258,32064,6562,6793,21501995
GA,2012,total,113151,448700292,47101,46799137,2891277,129502,160252,495499429
GA,2012,financial administration,3052,12149888,103,196244,8241,3099,3155,12346132
GA,2012,other government administration,1189,4339733,72,33769,1184,1196,1261,4373502
GA,2012,judicial and legal,3670,16022156,16,48702,1480,3677,3686,16070858
GA,2012,police protection total,2986,10071942,57,90074,6279,3021,3043,10162016
GA,2012,police protection - officers,1753,5806522,3,4198,208,1754,1756,5810720
GA,2012,police protection - other,1233,4265420,54,85876,6071,1267,1287,4351296
GA,2012,fire protection total,0,0,0,0,0,0,0,0
GA,2012,fire protection - firefighters,0,0,0,0,0,0,0,0
GA,2012,fire protection - other,0,0,0,0,0,0,0,0
GA,2012,corrections,16862,44424926,305,794668,28656,17024,17167,45219594
GA,2012,highways,4806,15316718,35,16186,716,4810,4841,15332904
GA,2012,air transportation,2,8426,0,0,0,2,2,8426
GA,2012,water transport and terminals,992,6282998,0,0,0,992,992,6282998
GA,2012,public welfare,6675,21064533,115,91712,2582,6690,6790,21156245
GA,2012,health,3803,15317134,109,168406,7353,3844,3912,15485540
GA,2012,hospitals,7657,27238376,298,786374,40724,7887,7955,28024750
GA,2012,social insurance administration,1837,5413022,55,61370,4040,1860,1892,5474392
GA,2012,solid waste management,0,0,0,0,0,0,0,0
GA,2012,sewerage,0,0,0,0,0,0,0,0
GA,2012,parks and recreation,2250,7275040,932,1183873,128162,2975,3182,8458913
GA,2012,housing and community development,0,0,0,0,0,0,0,0
GA,2012,natural resources,4572,16018554,1191,1305158,91773,5090,5763,17323712
GA,2012,water transport and terminals,0,0,0,0,0,0,0,0
GA,2012,electric power,0,0,0,0,0,0,0,0
GA,2012,gas supply,0,0,0,0,0,0,0,0
GA,2012,transit,0,0,0,0,0,0,0,0
GA,2012,education total,49813,236681669,43599,41834691,2557919,64281,93412,278516360
GA,2012,education - elementary and secondary total,0,0,0,0,0,0,0,0
GA,2012,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
