state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,equivalent_employees,march_pay,year
US,other and unallocable,196116,776963672,19224,35277417,1809317,206494,812241089,2002
AL,total,73967,244920436,26127,26421465,2041536,85719,271341901,2002
AL,financial administration,2539,8243313,46,35058,5274,2569,8278371,2002
AL,other government administration,564,1990297,90,100783,6124,599,2091080,2002
AL,judicial and legal,3391,11827812,156,186189,20213,3505,12014001,2002
AL,police protection - officers,730,2896720,0,0,0,730,2896720,2002
AL,other employees,645,1606906,23,12349,1513,654,1619255,2002
AL,corrections,4574,14868421,9,8883,1010,4580,14877304,2002
AL,highways,3962,10773962,60,45659,5314,3992,10819621,2002
AL,water transport and terminals,412,1234075,2,1650,30,412,1235725,2002
AL,public welfare,3787,10402216,28,39651,2714,3802,10441867,2002
AL,health,4862,13708275,452,400586,54494,5172,14108861,2002
AL,hospitals,11616,38053635,1389,2982971,152594,12483,41036606,2002
AL,social insurance administration,1513,3945348,36,20561,2967,1530,3965909,2002
AL,parks and recreation,429,991436,417,357384,52144,725,1348820,2002
AL,natural resources,2121,6502936,331,302049,47005,2387,6804985,2002
AL,instructional employees,9118,48856284,7833,10407075,476448,11879,59263359,2002
AL,other employees,18535,53283685,14737,11047075,1159160,25222,64330760,2002
AL,education - other,2556,8169791,84,65755,5941,2589,8235546,2002
AL,liquor stores,639,1398351,4,5867,531,642,1404218,2002
AL,other and unallocable,1974,6166973,430,401920,48060,2247,6568893,2002
AK,total,22922,91197719,5581,5001645,323031,24815,96199364,2002
AK,financial administration,977,3922466,24,39658,2143,990,3962124,2002
AK,other government administration,615,2270763,38,36632,2391,629,2307395,2002
AK,judicial and legal,1181,5050766,89,134599,6220,1218,5185365,2002
AK,police protection - officers,252,1456508,2,717,64,252,1457225,2002
AK,other employees,195,637327,67,19806,1630,205,657133,2002
AK,corrections,1751,7113379,31,47862,3494,1772,7161241,2002
AK,highways,2882,12151734,18,20422,1613,2892,12172156,2002
AK,public welfare,1632,5357381,156,192035,20052,1753,5549416,2002
AK,health,721,2940352,39,57586,2971,739,2997938,2002
AK,hospitals,236,944794,6,8698,462,239,953492,2002
AK,social insurance administration,468,1637253,5,5638,285,470,1642891,2002
AK,parks and recreation,83,307626,2,2471,147,84,310097,2002
AK,natural resources,2187,8374156,62,72481,4637,2215,8446637,2002
AK,instructional employees,1998,7790778,660,633272,45829,2275,8424050,2002
AK,other employees,804,2429031,697,678053,52660,1126,3107084,2002
AK,instructional employees,1167,6724781,1749,1776339,54266,1475,8501120,2002
AK,other employees,2809,9621595,1817,1135964,114798,3461,10757559,2002
AK,education - other,406,1526335,56,60552,4627,434,1586887,2002
AK,other and unallocable,2558,10940694,63,78860,4742,2586,11019554,2002
AZ,total,56962,185742329,23880,20810774,1668946,66442,206553103,2002
AZ,financial administration,3690,10540681,36,65829,3010,3707,10606510,2002
AZ,other government administration,608,1945533,145,208718,14107,689,2154251,2002
AZ,judicial and legal,1347,5861031,102,178962,8533,1395,6039993,2002
AZ,police protection - officers,1012,4179788,0,0,0,1012,4179788,2002
AZ,other employees,863,2773483,5,7176,461,866,2780659,2002
AZ,corrections,9478,26744371,99,202515,9467,9532,26946886,2002
AZ,highways,3079,9736532,0,0,0,3079,9736532,2002
AZ,public welfare,5819,13661406,191,195117,18810,5925,13856523,2002
AZ,health,2454,8013057,34,67194,3542,2474,8080251,2002
AZ,hospitals,726,2221348,62,112221,4973,754,2333569,2002
AZ,social insurance administration,2015,4761791,14,19167,886,2020,4780958,2002
AZ,parks and recreation,367,973896,134,81529,12655,439,1055425,2002
AZ,natural resources,2028,6811745,644,593301,48494,2303,7405046,2002
AZ,electric power,10,49332,0,0,0,10,49332,2002
AZ,instructional employees,5097,30009508,6397,8144141,501011,7944,38153649,2002
AZ,other employees,12271,40611467,15337,10258432,990402,17899,50869899,2002
AZ,education - other,2695,6893899,513,513667,41988,2933,7407566,2002
AZ,other and unallocable,3403,9953461,167,162805,10607,3461,10116266,2002
AR,total,49082,144297649,13912,8589356,732440,53253,152887005,2002
AR,financial administration,1848,5025556,73,65410,7156,1889,5090966,2002
AR,other government administration,564,1867335,4,6447,303,565,1873782,2002
AR,judicial and legal,1374,4581719,100,257328,6961,1413,4839047,2002
AR,police protection - officers,551,1766936,0,0,0,551,1766936,2002
AR,other employees,599,1596445,2,1734,186,601,1598179,2002
AR,corrections,4230,9527484,4,3002,418,4232,9530486,2002
AR,highways,3605,10534382,48,58908,1492,3613,10593290,2002
AR,public welfare,4065,9013468,0,0,0,4065,9013468,2002
AR,health,4469,11108807,237,346440,22215,4596,11455247,2002
AR,hospitals,4248,10884978,149,203309,8473,4296,11088287,2002
AR,social insurance administration,889,2766054,219,243150,25869,1036,3009204,2002
AR,parks and recreation,624,1350164,228,135116,22536,752,1485280,2002
AR,natural resources,1775,4609984,472,258610,27483,1932,4868594,2002
AR,instructional employees,5311,29832808,3587,3160440,193087,6410,32993248,2002
AR,other employees,10020,25432236,7794,3042734,359857,12069,28474970,2002
AR,education - other,2594,7415916,819,596072,40062,2822,8011988,2002
AR,other and unallocable,2316,6983377,176,210656,16342,2411,7194033,2002
CA,total,321012,1522103063,150418,199359900,10149791,378688,1721462963,2002
CA,financial administration,20333,77650456,3864,5660345,380783,22497,83310801,2002
CA,other government administration,3833,17796616,449,962681,31916,4020,18759297,2002
CA,judicial and legal,3912,22579054,478,774378,31597,4092,23353432,2002
CA,police protection - officers,7585,43554252,575,831585,19332,7695,44385837,2002
CA,other employees,5337,19122083,1135,1239560,63492,5697,20361643,2002
CA,corrections,43791,194073909,1951,5131315,231936,45110,199205224,2002
CA,highways,22140,115983293,885,2397930,101394,22717,118381223,2002
CA,water transport and terminals,74,313960,14,13258,750,78,327218,2002
CA,public welfare,3983,16192581,308,633797,28919,4148,16826378,2002
CA,health,11538,52743681,1542,3245789,139866,12332,55989470,2002
CA,hospitals,32535,135386419,7928,16727220,715823,36601,152113639,2002
CA,social insurance administration,16184,66203266,2398,5147799,283290,17795,71351065,2002
CA,solid waste management,390,1890876,64,199176,7391,432,2090052,2002
CA,parks and recreation,2310,9262484,1454,2033951,149955,3162,11296435,2002
CA,natural resources,12434,57061188,3597,5103557,459820,15045,62164745,2002
CA,instructional employees,20640,144840912,28566,46407075,1838501,31087,191247987,2002
CA,other employees,76243,337917652,88536,83188367,4906423,104120,421106019,2002
CA,education - other,4576,19118917,644,1137644,59310,4912,20256561,2002
CA,other and unallocable,33174,190411464,6030,18524473,699293,37148,208935937,2002
CO,total,50137,211009098,34540,44217629,2795529,66025,255226727,2002
CO,financial administration,2099,8998750,152,256259,13601,2176,9255009,2002
CO,other government administration,450,1513852,124,304272,19938,564,1818124,2002
CO,judicial and legal,3155,13075302,850,1827576,91893,3677,14902878,2002
CO,police protection - officers,725,4319561,1,3273,80,725,4322834,2002
CO,other employees,382,1493679,13,16793,1105,389,1510472,2002
CO,corrections,6690,24839053,78,191481,9535,6745,25030534,2002
CO,highways,3015,11749633,158,341052,18392,3120,12090685,2002
CO,public welfare,1864,7321047,263,463366,24575,2004,7784413,2002
CO,health,1063,5085682,150,354563,15302,1150,5440245,2002
CO,hospitals,3284,10890983,905,1563915,80196,3740,12454898,2002
CO,social insurance administration,882,3637058,84,118329,7367,924,3755387,2002
CO,parks and recreation,252,1050177,101,88198,5708,284,1138375,2002
CO,natural resources,1330,5961269,285,413394,18341,1435,6374663,2002
CO,instructional employees,9869,53009937,9447,13261550,688330,13782,66271487,2002
CO,other employees,12555,47726852,21250,23949539,1744646,22467,71676391,2002
CO,education - other,1087,4135954,565,830013,45004,1342,4965967,2002
CO,other and unallocable,1435,6200309,114,234056,11516,1501,6434365,2002
CT,total,58414,249705597,18220,23863946,1388020,66875,273569543,2002
CT,financial administration,2677,10523959,81,192851,9004,2735,10716810,2002
CT,other government administration,1041,4386796,237,834565,35233,1244,5221361,2002
CT,judicial and legal,4039,15605748,154,496866,19565,4165,16102614,2002
CT,police protection - officers,1301,6491731,0,0,0,1301,6491731,2002
CT,other employees,534,2060840,46,58002,4406,563,2118842,2002
CT,corrections,7944,29968524,83,226195,8782,8001,30194719,2002
CT,highways,3628,15072786,0,0,0,3628,15072786,2002
CT,air transportation,34,193809,0,0,0,34,193809,2002
CT,public welfare,4597,18959632,207,557566,25245,4760,19517198,2002
CT,health,2135,8914817,117,304172,12274,2207,9218989,2002
CT,hospitals,9102,40860277,2169,4958760,225222,10495,45819037,2002
CT,social insurance administration,887,3702550,25,84278,2936,906,3786828,2002
CT,solid waste management,50,240680,8,19930,932,56,260610,2002
CT,parks and recreation,141,521410,5,12111,753,145,533521,2002
CT,natural resources,539,2158406,31,56468,4001,563,2214874,2002
CT,instructional employees,2596,12888772,533,1354853,70356,3020,14243625,2002
CT,other employees,947,2234533,988,338713,28226,1117,2573246,2002
CT,instructional employees,3883,24302261,6187,8982636,441956,6546,33284897,2002
CT,other employees,7174,30680219,6876,4405313,446523,9885,35085532,2002
CT,education - other,2796,10067671,279,616906,32761,3007,10684577,2002
CT,other and unallocable,2369,9870176,194,363761,19845,2497,10233937,2002
DE,total,22015,77613430,7719,7298328,467127,24828,84911758,2002
DE,financial administration,688,2166892,75,75632,7367,732,2242524,2002
DE,other government administration,227,816950,122,222472,10200,286,1039422,2002
DE,judicial and legal,1468,4835103,24,35741,1858,1478,4870844,2002
DE,police protection - officers,598,2682246,0,0,0,598,2682246,2002
DE,other employees,315,882355,2,2836,133,316,885191,2002
DE,corrections,2958,10610783,83,94425,10991,3020,10705208,2002
DE,highways,1644,4653112,43,50459,1335,1652,4703571,2002
DE,public welfare,1643,4804426,126,188901,14068,1727,4993327,2002
DE,health,1960,6416117,227,321136,24726,2109,6737253,2002
DE,hospitals,1905,5420494,105,233993,9671,1963,5654487,2002
DE,social insurance administration,297,851624,14,27865,1963,308,879489,2002
DE,solid waste management,99,299574,12,11869,1295,107,311443,2002
DE,parks and recreation,179,517586,131,85117,8935,233,602703,2002
DE,natural resources,421,1415759,111,66976,5636,454,1482735,2002
DE,transit,595,2078078,8,9815,793,600,2087893,2002
DE,instructional employees,1550,9409574,2695,3378414,170790,2580,12787988,2002
DE,other employees,3613,12694339,3718,2292645,180218,4707,14986984,2002
DE,education - other,358,1585173,9,18664,851,363,1603837,2002
DE,other and unallocable,1497,5473245,214,181368,16297,1595,5654613,2002
FL,total,168550,540417617,39601,42396080,2874514,184885,582813697,2002
FL,financial administration,6475,21052846,212,148685,17592,6575,21201531,2002
FL,other government administration,2132,7560254,32,55984,3758,2153,7616238,2002
FL,judicial and legal,17782,62865046,415,813885,41480,18020,63678931,2002
FL,police protection - officers,2325,8463510,0,0,0,2325,8463510,2002
FL,other employees,1785,6318279,24,27834,2212,1798,6346113,2002
FL,corrections,26352,71240834,41,67376,4381,26378,71308210,2002
FL,highways,8944,29264185,36,43283,3190,8962,29307468,2002
FL,water transport and terminals,0,0,6,5049,240,1,5049,2002
FL,public welfare,13856,35118021,91,114260,8311,13903,35232281,2002
FL,health,18620,51156073,1095,1899019,151954,19482,53055092,2002
FL,hospitals,4960,13277166,32,50008,2878,4977,13327174,2002
FL,social insurance administration,3369,9043013,28,39668,2727,3384,9082681,2002
FL,parks and recreation,1387,2694773,60,39258,5790,1420,2734031,2002
FL,natural resources,9862,26774746,2052,1791763,132346,10615,28566509,2002
FL,transit,534,1753183,32,34898,3372,553,1788081,2002
FL,instructional employees,14476,90418430,16758,21592219,1087541,20655,112010649,2002
FL,other employees,23971,69786493,18358,15308996,1381797,31822,85095489,2002
FL,education - other,3338,8895534,60,59237,4844,3365,8954771,2002
FL,other and unallocable,8382,24735231,269,304658,20101,8497,25039889,2002
GA,total,109861,343662929,35849,29630276,2295043,122901,373293205,2002
GA,financial administration,4471,12960005,15,36642,1459,4479,12996647,2002
GA,other government administration,956,3590083,595,1014363,59210,1292,4604446,2002
GA,judicial and legal,2322,8576286,15,40597,1396,2330,8616883,2002
GA,police protection - officers,1238,4251134,0,0,0,1238,4251134,2002
GA,other employees,1104,3216299,17,22526,1640,1113,3238825,2002
GA,corrections,19331,47609684,626,927650,60044,19672,48537334,2002
GA,highways,6003,15779550,6,11198,600,6006,15790748,2002
GA,water transport and terminals,654,2347667,0,0,0,654,2347667,2002
GA,public welfare,8583,22491180,144,206620,14670,8666,22697800,2002
GA,health,4137,12596225,191,205393,20262,4252,12801618,2002
GA,hospitals,7661,18836966,130,221990,10658,7721,19058956,2002
GA,social insurance administration,2144,6142093,17,19226,1680,2154,6161319,2002
GA,parks and recreation,1233,2956676,2499,2777989,302436,2950,5734665,2002
GA,natural resources,4324,12666894,916,736590,69077,4717,13403484,2002
GA,instructional employees,12527,67812212,12527,12036420,603468,15958,79848632,2002
GA,other employees,26943,80925340,17703,10494303,1099450,33190,91419643,2002
GA,education - other,2855,10229880,336,781277,38760,3076,11011157,2002
GA,other and unallocable,3375,10674755,112,97492,10233,3433,10772247,2002
HI,total,51694,161418362,19160,11664448,745488,55990,173082810,2002
HI,financial administration,646,2101984,9,4786,340,648,2106770,2002
HI,other government administration,596,2100408,13,15418,932,601,2115826,2002
HI,judicial and legal,2218,7808446,57,64962,2644,2233,7873408,2002
HI,corrections,2463,7982404,23,48242,1812,2473,8030646,2002
HI,highways,908,2960180,10,5382,780,912,2965562,2002
HI,air transportation,1095,3031054,20,16156,1538,1104,3047210,2002
HI,water transport and terminals,215,628864,3,1512,234,216,630376,2002
HI,public welfare,809,2514310,20,12436,1508,818,2526746,2002
HI,health,2460,7929436,88,129362,5952,2494,8058798,2002
HI,hospitals,3584,12095058,465,864448,42490,3823,12959506,2002
HI,social insurance administration,436,1215738,56,87420,4538,462,1303158,2002
HI,parks and recreation,163,451394,190,118354,11762,230,569748,2002
HI,natural resources,996,3578826,363,436724,33156,1185,4015550,2002
HI,instructional employees,20144,58364654,6709,2025051,113949,20830,60389705,2002
HI,other employees,4815,11360668,3963,841345,71283,5244,12202013,2002
HI,instructional employees,2080,10367592,1475,2254910,81066,2541,12622502,2002
HI,other employees,3763,13263014,5332,4471052,343928,5717,17734066,2002
HI,education - other,141,456392,2,3550,160,142,459942,2002
HI,libraries,498,1306600,248,159516,18356,602,1466116,2002
HI,other and unallocable,3664,11901340,114,103822,9060,3715,12005162,2002
ID,total,18386,60127786,11439,10216487,966188,23876,70344273,2002
ID,financial administration,1409,4393687,199,107674,13288,1484,4501361,2002
ID,other government administration,167,595217,267,417827,23234,299,1013044,2002
ID,judicial and legal,449,1960392,8,6101,764,454,1966493,2002
ID,police protection - officers,278,1046336,0,0,0,278,1046336,2002
ID,other employees,202,661897,23,23424,2037,214,685321,2002
ID,corrections,1786,4786991,132,99559,12445,1857,4886550,2002
ID,highways,1625,4775540,146,221032,24221,1763,4996572,2002
ID,public welfare,1592,4868495,202,394081,22880,1722,5262576,2002
ID,health,974,3375830,225,304213,18469,1079,3680043,2002
ID,hospitals,811,2376970,281,190287,15527,899,2567257,2002
ID,social insurance administration,505,2023590,252,229700,28711,668,2253290,2002
ID,parks and recreation,170,429901,66,51568,6445,207,481469,2002
ID,natural resources,1560,5381000,704,896255,83333,2034,6277255,2002
ID,instructional employees,1957,8881983,1844,2254390,138659,2744,11136373,2002
ID,other employees,3161,9320389,6393,4796161,548753,6279,14116550,2002
ID,education - other,614,1802386,284,114520,14312,695,1916906,2002
ID,liquor stores,151,375687,46,25680,3210,169,401367,2002
ID,other and unallocable,975,3071495,367,84015,9900,1031,3155510,2002
IL,total,126486,487797540,46554,37777251,3438521,146715,525574791,2002
IL,financial administration,5896,19842330,288,410377,29410,6074,20252707,2002
IL,other government administration,2237,9050359,46,53375,1979,2247,9103734,2002
IL,judicial and legal,3230,19216822,132,201148,10216,3293,19417970,2002
IL,police protection - officers,2345,11585344,3,4076,362,2347,11589420,2002
IL,other employees,1866,7346326,50,43210,2578,1882,7389536,2002
IL,corrections,16784,60528592,20,55066,1826,16795,60583658,2002
IL,highways,7820,31106507,1213,2579799,144751,8692,33686306,2002
IL,water transport and terminals,96,440000,3,3128,290,98,443128,2002
IL,public welfare,14565,55303972,170,469680,21690,14696,55773652,2002
IL,health,3099,13418874,19,46170,1692,3110,13465044,2002
IL,hospitals,13260,40741805,616,1304395,66657,13662,42046200,2002
IL,social insurance administration,2406,10416340,384,1086383,48630,2699,11502723,2002
IL,parks and recreation,695,2336934,81,155076,10856,761,2492010,2002
IL,natural resources,3141,12150349,1185,1312253,180709,4173,13462602,2002
IL,instructional employees,12657,69500486,12866,14215271,650220,16523,83715757,2002
IL,other employees,26104,85159084,29168,15351127,2238659,39210,100510211,2002
IL,education - other,2621,10030652,94,244978,11634,2691,10275630,2002
IL,other and unallocable,7664,29622764,216,241739,16362,7762,29864503,2002
IN,total,75174,240738329,35115,30214223,2646537,90326,270952552,2002
IN,financial administration,2631,7681619,166,200872,20919,2756,7882491,2002
IN,other government administration,506,1315449,175,177118,8574,558,1492567,2002
IN,judicial and legal,1199,5752334,7,13824,567,1203,5766158,2002
IN,police protection - officers,1265,5068154,0,0,0,1265,5068154,2002
IN,other employees,765,2021123,1,1063,105,766,2022186,2002
IN,corrections,8453,25989184,10,24256,1022,8458,26013440,2002
IN,highways,4266,10657281,2,1904,130,4267,10659185,2002
IN,water transport and terminals,35,141614,1,593,69,35,142207,2002
IN,public welfare,5132,12226368,42,23320,2974,5150,12249688,2002
IN,health,1717,5657348,13,22894,1149,1724,5680242,2002
IN,hospitals,4766,12048667,45,62716,3946,4790,12111383,2002
IN,social insurance administration,1356,3503629,155,168842,18943,1470,3672471,2002
IN,parks and recreation,125,294493,6,2300,276,127,296793,2002
IN,natural resources,2459,7356775,869,691669,84252,2954,8048444,2002
IN,instructional employees,13358,70013276,12675,19216341,1387046,21249,89229617,2002
IN,other employees,24287,62474449,20848,9543120,1112670,30675,72017569,2002
IN,education - other,1153,3475316,49,30010,2198,1167,3505326,2002
IN,other and unallocable,1701,5061250,51,33381,1697,1712,5094631,2002
IA,total,40778,164700912,23976,29542082,2031834,52325,194242994,2002
IA,financial administration,1236,4501953,80,131557,9926,1292,4633510,2002
IA,other government administration,405,1793008,405,605468,46890,672,2398476,2002
IA,judicial and legal,2152,8673564,192,422362,24042,2289,9095926,2002
IA,police protection - officers,650,2737611,0,0,0,650,2737611,2002
IA,other employees,294,1084189,2,5044,259,296,1089233,2002
IA,corrections,3099,10415381,173,387448,20898,3219,10802829,2002
IA,highways,2562,8772224,1,3945,133,2563,8776169,2002
IA,public welfare,2680,8915359,48,107060,5582,2712,9022419,2002
IA,health,379,1554967,27,39589,2205,392,1594556,2002
IA,hospitals,5683,21578124,2669,4241967,240395,7050,25820091,2002
IA,social insurance administration,314,1071284,3,4078,240,315,1075362,2002
IA,parks and recreation,105,382212,5,5365,602,108,387577,2002
IA,natural resources,1793,6841853,467,500597,51232,2083,7342450,2002
IA,instructional employees,4323,29199966,6631,15973155,760725,8645,45173121,2002
IA,other employees,10942,42041773,12926,6568690,833919,15680,48610463,2002
IA,education - other,1126,4191419,87,98345,6733,1164,4289764,2002
IA,other and unallocable,3035,10946025,260,447412,28053,3195,11393437,2002
KS,total,38372,130092635,17965,13548254,1062086,44408,143640889,2002
KS,financial administration,2176,6202741,49,65583,4742,2202,6268324,2002
KS,other government administration,526,1383032,207,507861,27563,681,1890893,2002
KS,judicial and legal,1999,6653484,143,126842,8105,2046,6780326,2002
KS,police protection - officers,613,2257818,0,0,0,613,2257818,2002
KS,other employees,508,1378892,12,14705,932,513,1393597,2002
KS,corrections,3584,9532246,34,38323,2383,3599,9570569,2002
KS,highways,3583,10346409,157,147160,13470,3660,10493569,2002
KS,public welfare,2701,7444139,168,204487,15682,2790,7648626,2002
KS,health,1036,3386931,19,39088,1397,1044,3426019,2002
KS,hospitals,2275,5756501,380,166585,8106,2321,5923086,2002
KS,social insurance administration,124,323014,8,9438,748,128,332452,2002
KS,parks and recreation,558,1282754,16,7481,569,561,1290235,2002
KS,natural resources,821,2598658,120,89583,8982,873,2688241,2002
KS,instructional employees,4147,25761222,3535,4615457,228981,5449,30376679,2002
KS,other employees,9768,34039162,12735,7125320,712476,13815,41164482,2002
KS,education - other,583,1875831,76,76762,3503,604,1952593,2002
KS,other and unallocable,3370,9869801,306,313579,24447,3509,10183380,2002
KY,total,69961,225254629,24229,18141673,1381526,78139,243396302,2002
KY,financial administration,2956,8994866,232,260512,28354,3127,9255378,2002
KY,other government administration,1111,4815236,579,1257176,53280,1433,6072412,2002
KY,judicial and legal,4184,13833356,832,1331438,112224,4860,15164794,2002
KY,police protection - officers,1024,3774188,2,4812,276,1026,3779000,2002
KY,other employees,1204,3693592,21,30682,2320,1218,3724274,2002
KY,corrections,3733,9458866,131,105216,1800,3744,9564082,2002
KY,highways,5427,16766426,178,114364,7932,5475,16880790,2002
KY,public welfare,7057,19680804,112,143308,12304,7132,19824112,2002
KY,health,2135,6582572,54,100269,5832,2170,6682841,2002
KY,hospitals,5160,15742515,375,1081550,58399,5494,16824065,2002
KY,social insurance administration,1073,3215746,116,157626,12466,1148,3373372,2002
KY,parks and recreation,1544,3270768,129,112536,16858,1645,3383304,2002
KY,natural resources,3359,10047365,941,926131,76669,3816,10973496,2002
KY,instructional employees,7011,37719737,5711,6880328,395846,9325,44600065,2002
KY,other employees,14811,39996569,13526,4523931,529660,17948,44520500,2002
KY,education - other,4144,14419180,1052,956982,56968,4488,15376162,2002
KY,other and unallocable,4028,13242843,238,154812,10338,4090,13397655,2002
LA,total,83849,253854712,26480,16596589,1398990,91795,270451301,2002
LA,financial administration,2377,6927783,370,283434,37123,2588,7211217,2002
LA,other government administration,1353,4184464,394,449357,28807,1516,4633821,2002
LA,judicial and legal,1703,6917113,57,31559,3212,1721,6948672,2002
LA,police protection - officers,1011,3715668,0,0,0,1011,3715668,2002
LA,other employees,640,1121688,3,1853,157,641,1123541,2002
LA,corrections,7723,21745262,406,140450,10804,7784,21885712,2002
LA,highways,5303,14352523,18,14576,2213,5316,14367099,2002
LA,water transport and terminals,385,1299629,7,11018,427,387,1310647,2002
LA,public welfare,5147,13972976,15,16846,551,5150,13989822,2002
LA,health,4050,13207145,149,155135,8844,4100,13362280,2002
LA,hospitals,18825,51788034,1316,1942188,81803,19291,53730222,2002
LA,social insurance administration,947,2628880,110,83052,7273,988,2711932,2002
LA,parks and recreation,1013,2386781,394,238541,31609,1192,2625322,2002
LA,natural resources,4362,13035932,1072,748035,79629,4813,13783967,2002
LA,instructional employees,7926,39166975,5360,5195946,333191,9820,44362921,2002
LA,other employees,15225,39496064,15545,6240615,687244,19129,45736679,2002
LA,education - other,3152,9846713,762,579860,41300,3385,10426573,2002
LA,other and unallocable,2707,8061082,502,464124,44803,2963,8525206,2002
ME,total,19156,64448964,7494,6578681,486657,21923,71027645,2002
ME,financial administration,1151,3496649,60,98619,6880,1190,3595268,2002
ME,other government administration,365,1429894,227,565090,33686,557,1994984,2002
ME,judicial and legal,655,2679806,68,100516,5772,687,2780322,2002
ME,police protection - officers,372,1711752,6,16676,733,376,1728428,2002
ME,other employees,209,570585,3,5559,412,211,576144,2002
ME,corrections,1299,4914950,74,132793,7642,1343,5047743,2002
ME,highways,2592,8247940,89,90126,6958,2632,8338066,2002
ME,water transport and terminals,64,192430,10,10869,974,70,203299,2002
ME,public welfare,2036,5664182,63,90903,6299,2072,5755085,2002
ME,health,1263,4366140,83,197768,10138,1320,4563908,2002
ME,hospitals,630,2225736,63,138326,6575,668,2364062,2002
ME,social insurance administration,479,1523528,35,60427,3682,500,1583955,2002
ME,parks and recreation,145,457211,17,17065,1374,153,474276,2002
ME,natural resources,1175,4026220,267,307397,20665,1293,4333617,2002
ME,instructional employees,26,92866,12,13776,1138,32,106642,2002
ME,other employees,6,12664,32,35397,2929,23,48061,2002
ME,instructional employees,1406,6372169,419,629604,30688,1581,7001773,2002
ME,other employees,3663,11075877,5779,3839788,325385,5512,14915665,2002
ME,education - other,386,1277178,121,120687,7523,429,1397865,2002
ME,liquor stores,60,163161,13,14123,1273,67,177284,2002
ME,other and unallocable,1174,3948026,53,93172,5931,1207,4041198,2002
MD,total,83435,323581514,15170,25916365,1560251,92296,349497879,2002
MD,financial administration,3547,13395153,142,317172,18216,3649,13712325,2002
MD,other government administration,1328,5080339,358,586568,18293,1432,5666907,2002
MD,judicial and legal,3711,12702424,475,833465,67217,4093,13535889,2002
MD,police protection - officers,1600,8179402,0,0,0,1600,8179402,2002
MD,other employees,789,3210690,29,67208,3759,810,3277898,2002
MD,corrections,11548,40904168,370,717879,57590,11875,41622047,2002
MD,highways,4840,18651414,0,0,0,4840,18651414,2002
MD,air transportation,495,2030725,0,0,0,495,2030725,2002
MD,water transport and terminals,299,1182745,0,0,0,299,1182745,2002
MD,public welfare,7363,24341605,170,325604,25727,7509,24667209,2002
MD,health,6164,22730717,897,1686094,124321,6871,24416811,2002
MD,hospitals,5255,17573412,586,802253,57154,5579,18375665,2002
MD,social insurance administration,1058,3864407,149,331699,23265,1190,4196106,2002
MD,parks and recreation,478,1970250,152,193349,22282,605,2163599,2002
MD,natural resources,2111,8625329,101,180433,12865,2184,8805762,2002
MD,transit,2161,8587632,201,263003,23274,2293,8850635,2002
MD,instructional employees,9084,53298071,3613,9200566,345583,11047,62498637,2002
MD,other employees,12027,39280729,6784,8427835,641807,15674,47708564,2002
MD,education - other,1963,7947434,325,668298,43499,2210,8615732,2002
MD,other and unallocable,7614,30024868,818,1314939,75399,8041,31339807,2002
MA,total,85294,344105530,27076,31822495,1707975,95442,375928025,2002
MA,financial administration,4316,18138438,341,883455,35769,4532,19021893,2002
MA,other government administration,2030,6051081,295,1131419,29615,2200,7182500,2002
MA,judicial and legal,8844,34482458,521,1320733,32520,9039,35803191,2002
MA,police protection - officers,5308,26400654,24,38965,1162,5314,26439619,2002
