state,government_function,full_time_equivalent_employees,october_total_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
CO,public welfare,1254,3653790,1195,127,3481770,172020,10450,1992
CO,health,1229,3800023,1097,200,3475471,324552,23568,1992
CO,hospitals,4740,11754421,4061,1010,10005881,1748540,120057,1992
CO,social insurance administration,971,2906653,733,294,2191310,715343,42262,1992
CO,solid waste management,0,0,0,0,0,0,0,1992
CO,sewerage,0,0,0,0,0,0,0,1992
CO,parks and recreation,321,726489,163,364,508044,218445,28006,1992
CO,natural resources,1662,4948890,1376,434,4319845,629045,50713,1992
CO,water transport and terminals,0,0,0,0,0,0,0,1992
CO,electric power,0,0,0,0,0,0,0,1992
CO,transit,0,0,0,0,0,0,0,1992
CO,elem and sec school instructional,0,0,0,0,0,0,0,1992
CO,elem and sec sch,0,0,0,0,0,0,0,1992
CO,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
CO,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
CO,elem and sec cafeteria,0,0,0,0,0,0,0,1992
CO,elem and sec bus transportation,0,0,0,0,0,0,0,1992
CO,elem and sec health and recreation,0,0,0,0,0,0,0,1992
CO,elem and sec student employees,0,0,0,0,0,0,0,1992
CO,elem and sec unallocable,0,0,0,0,0,0,0,1992
CO,higher educ instructional,13474,63215499,8534,11578,35663232,27552267,874594,1992
CO,education - higher education other,13854,30081904,7747,17258,17481507,12600397,1080893,1992
CO,education - other,1423,3233418,1017,551,2700202,533216,71528,1992
CO,libraries,0,0,0,0,0,0,0,1992
CO,liquor stores,0,0,0,0,0,0,0,1992
CO,other and unallocable,1412,4258469,1356,123,4123570,134899,9856,1992
CT,total,54184,174566738,49312,14559,162018374,12548364,800212,1992
CT,financial administration,2638,7618204,2466,258,7234361,383843,30532,1992
CT,other government administration,973,3094173,832,248,2713641,380532,24635,1992
CT,judicial and legal,3115,10094022,3079,72,9968028,125994,6209,1992
CT,police protection - officers,973,3788336,973,1,3787129,1207,62,1992
CT,police protection - other,536,1537372,518,29,1495338,42034,3314,1992
CT,corrections,5418,18123039,5393,42,18046163,76876,4230,1992
CT,highways,3691,11146128,3691,0,11146128,0,0,1992
CT,air transportation,137,488366,137,0,488366,0,0,1992
CT,water transport and terminals,0,0,0,0,0,0,0,1992
CT,public welfare,4239,13015425,4139,165,12675808,339617,17668,1992
CT,health,2100,7204619,2040,104,7003205,201414,10166,1992
CT,hospitals,10550,33955327,9572,1686,31249101,2706226,172982,1992
CT,social insurance administration,1219,4026183,1205,21,3997467,28716,2526,1992
CT,solid waste management,66,238857,65,3,237157,1700,201,1992
CT,sewerage,0,0,0,0,0,0,0,1992
CT,parks and recreation,195,478120,140,86,409836,68284,8488,1992
CT,natural resources,626,1983381,560,90,1880054,103327,10194,1992
CT,water transport and terminals,0,0,0,0,0,0,0,1992
CT,electric power,0,0,0,0,0,0,0,1992
CT,transit,0,0,0,0,0,0,0,1992
CT,elem and sec school instructional,0,0,0,0,0,0,0,1992
CT,elem and sec sch,0,0,0,0,0,0,0,1992
CT,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
CT,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
CT,elem and sec cafeteria,0,0,0,0,0,0,0,1992
CT,elem and sec bus transportation,0,0,0,0,0,0,0,1992
CT,elem and sec health and recreation,0,0,0,0,0,0,0,1992
CT,elem and sec student employees,0,0,0,0,0,0,0,1992
CT,elem and sec unallocable,0,0,0,0,0,0,0,1992
CT,higher educ instructional,4712,20700083,3729,3281,17138369,3561714,158013,1992
CT,education - higher education other,7762,21319831,5714,8168,17248126,4071705,320156,1992
CT,education - other,2676,7748538,2572,185,7467430,281108,18441,1992
CT,libraries,0,0,0,0,0,0,0,1992
CT,liquor stores,0,0,0,0,0,0,0,1992
CT,other and unallocable,2558,8006734,2487,120,7832667,174067,12395,1992
DE,total,20179,49450795,17621,6764,43406506,6044289,425248,1992
DE,financial administration,648,1357850,630,35,1336626,21224,2940,1992
DE,other government administration,230,543450,217,42,514066,29384,2390,1992
DE,judicial and legal,1185,3125414,1180,20,3105054,20360,820,1992
DE,police protection - officers,501,1797392,501,0,1797392,0,0,1992
DE,police protection - other,234,491218,225,15,472238,18980,1402,1992
DE,corrections,1675,3685151,1634,100,3566638,118513,6946,1992
DE,highways,1390,2821686,1334,80,2769284,52402,9800,1992
DE,air transportation,0,0,0,0,0,0,0,1992
DE,water transport and terminals,0,0,0,0,0,0,0,1992
DE,public welfare,1577,3314812,1538,78,3224346,90466,6498,1992
DE,health,1444,3356502,1322,270,3188304,168198,20196,1992
DE,hospitals,2179,4186690,2062,173,3987916,198774,19409,1992
DE,social insurance administration,262,492324,261,1,490972,1352,104,1992
DE,solid waste management,62,151208,59,4,147396,3812,448,1992
DE,sewerage,0,0,0,0,0,0,0,1992
DE,parks and recreation,205,320836,114,160,223260,97576,16186,1992
DE,natural resources,464,1039052,419,99,987318,51734,7358,1992
DE,water transport and terminals,0,0,0,0,0,0,0,1992
DE,electric power,0,0,0,0,0,0,0,1992
DE,transit,340,824555,320,31,792724,31831,3507,1992
DE,elem and sec school instructional,0,0,0,0,0,0,0,1992
DE,elem and sec sch,0,0,0,0,0,0,0,1992
DE,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
DE,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
DE,elem and sec cafeteria,0,0,0,0,0,0,0,1992
DE,elem and sec bus transportation,0,0,0,0,0,0,0,1992
DE,elem and sec health and recreation,0,0,0,0,0,0,0,1992
DE,elem and sec student employees,0,0,0,0,0,0,0,1992
DE,elem and sec unallocable,0,0,0,0,0,0,0,1992
DE,higher educ instructional,2248,9186388,1364,1901,5652806,3533582,146512,1992
DE,education - higher education other,4191,9616325,3140,3443,8081314,1535011,173652,1992
DE,education - other,231,708604,228,3,704076,4528,316,1992
DE,libraries,0,0,0,0,0,0,0,1992
DE,liquor stores,0,0,0,0,0,0,0,1992
DE,other and unallocable,1113,2431338,1073,309,2364776,66562,6764,1992
FL,total,164498,354505178,149537,38276,329274108,25231070,2648303,1992
FL,financial administration,7873,16586588,7736,256,16437426,149162,24382,1992
FL,other government administration,1821,4852558,1781,246,4617873,234685,6981,1992
FL,judicial and legal,8977,26065092,8836,180,25665431,399661,24842,1992
FL,police protection - officers,2113,6711107,2113,1,6710888,219,14,1992
FL,police protection - other,1678,3202030,1646,62,3142210,59820,5624,1992
FL,corrections,29080,55225073,28771,908,54684673,540400,54706,1992
FL,highways,10882,23564591,10394,1138,22515961,1048630,86427,1992
FL,air transportation,0,0,0,0,0,0,0,1992
FL,water transport and terminals,6,12400,6,0,12400,0,0,1992
FL,public welfare,9692,13762551,9582,617,13470135,292416,19530,1992
FL,health,12899,27627903,12063,1758,25554743,2073160,148044,1992
FL,hospitals,15757,29980491,14184,5412,27914453,2066038,278368,1992
FL,social insurance administration,5596,10426557,5586,22,10410783,15774,1848,1992
FL,solid waste management,0,0,0,0,0,0,0,1992
FL,sewerage,0,0,0,0,0,0,0,1992
FL,parks and recreation,1041,1455733,914,185,1350685,105048,22488,1992
FL,natural resources,6873,14837680,5927,1820,13520114,1317566,167598,1992
FL,water transport and terminals,0,0,0,0,0,0,0,1992
FL,electric power,0,0,0,0,0,0,0,1992
FL,transit,424,973286,419,10,968210,5076,864,1992
FL,elem and sec school instructional,0,0,0,0,0,0,0,1992
FL,elem and sec sch,0,0,0,0,0,0,0,1992
FL,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
FL,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
FL,elem and sec cafeteria,0,0,0,0,0,0,0,1992
FL,elem and sec bus transportation,0,0,0,0,0,0,0,1992
FL,elem and sec health and recreation,0,0,0,0,0,0,0,1992
FL,elem and sec student employees,0,0,0,0,0,0,0,1992
FL,elem and sec unallocable,0,0,0,0,0,0,0,1992
FL,higher educ instructional,13074,44291121,9817,8480,36152637,8138484,576430,1992
FL,education - higher education other,23673,46283042,17181,16153,38172451,8110591,1148958,1992
FL,education - other,2557,5533869,2512,192,5432606,101263,8011,1992
FL,libraries,0,0,0,0,0,0,0,1992
FL,liquor stores,0,0,0,0,0,0,0,1992
FL,other and unallocable,10482,23113506,10069,836,22540429,573077,73188,1992
GA,total,114464,233830933,103485,23590,214734902,19096031,1942877,1992
GA,financial administration,2591,5520386,2587,8,5516072,4314,740,1992
GA,other government administration,873,2221968,796,263,1975398,246570,13740,1992
GA,judicial and legal,1163,3611456,1149,24,3586096,25360,2464,1992
GA,police protection - officers,1198,3034600,1198,0,3034600,0,0,1992
GA,police protection - other,853,1936640,851,10,1932946,3694,386,1992
GA,corrections,14040,19634510,13934,175,19367408,267102,18756,1992
GA,highways,6188,12536102,6187,3,12533728,2374,228,1992
GA,air transportation,0,0,0,0,0,0,0,1992
GA,water transport and terminals,598,1421266,588,22,1397792,23474,1749,1992
GA,public welfare,7525,15273936,7451,133,15139656,134280,13002,1992
GA,health,14223,24556184,13839,667,23795208,760976,67846,1992
GA,hospitals,15172,27455988,14517,947,26122244,1333744,115929,1992
GA,social insurance administration,1930,4552470,1797,250,4329014,223456,23572,1992
GA,solid waste management,0,0,0,0,0,0,0,1992
GA,sewerage,0,0,0,0,0,0,0,1992
GA,parks and recreation,2447,3431177,1383,1520,2594186,836991,188459,1992
GA,natural resources,4429,9662899,3964,1035,9033212,629687,82338,1992
GA,water transport and terminals,0,0,0,0,0,0,0,1992
GA,electric power,0,0,0,0,0,0,0,1992
GA,transit,0,0,0,0,0,0,0,1992
GA,elem and sec school instructional,0,0,0,0,0,0,0,1992
GA,elem and sec sch,0,0,0,0,0,0,0,1992
GA,elem and sec admin - clerical,0,0,0,0,0,0,0,1992
GA,elem and sec oper and maintenance,0,0,0,0,0,0,0,1992
GA,elem and sec cafeteria,0,0,0,0,0,0,0,1992
GA,elem and sec bus transportation,0,0,0,0,0,0,0,1992
GA,elem and sec health and recreation,0,0,0,0,0,0,0,1992
GA,elem and sec student employees,0,0,0,0,0,0,0,1992
GA,elem and sec unallocable,0,0,0,0,0,0,0,1992
GA,higher educ instructional,11995,43603709,8599,6460,35973388,7630321,600673,1992
GA,education - higher education other,20779,35014512,16746,10208,29004127,6010385,713833,1992
GA,education - other,4694,11458977,4404,1394,10802147,656830,51156,1992
GA,libraries,0,0,0,0,0,0,0,1992
GA,liquor stores,0,0,0,0,0,0,0,1992
GA,other and unallocable,3766,8904153,3495,471,8597680,306473,48006,1992
HI,total,50657,130808214,46513,15273,118806998,12001216,733397,1992
HI,financial administration,1013,2581824,1013,1,2581076,748,78,1992
HI,other government administration,626,2052834,501,211,1515636,537198,22223,1992
HI,judicial and legal,2159,6060786,2124,86,5927362,133424,6140,1992
HI,police protection - officers,0,0,0,0,0,0,0,1992
HI,police protection - other,0,0,0,0,0,0,0,1992
HI,corrections,2026,4580604,2017,18,4558412,22192,1412,1992
HI,highways,859,2126512,859,0,2126512,0,0,1992
HI,air transportation,919,1936692,919,9,1936042,650,26,1992
HI,water transport and terminals,186,452994,186,0,452994,0,0,1992
HI,public welfare,1208,2702866,1205,7,2695376,7490,540,1992
HI,health,3355,7692514,3313,80,7560792,131722,7404,1992
HI,hospitals,2804,6543086,2734,140,6279744,263342,12508,1992
HI,social insurance administration,403,1019854,396,11,999612,20242,1220,1992
HI,solid waste management,0,0,0,0,0,0,0,1992
HI,sewerage,0,0,0,0,0,0,0,1992
HI,parks and recreation,223,465100,166,221,370946,94154,10080,1992
HI,natural resources,1534,4229958,1468,309,4009986,219972,11640,1992
HI,water transport and terminals,0,0,0,0,0,0,0,1992
HI,electric power,0,0,0,0,0,0,0,1992
HI,transit,0,0,0,0,0,0,0,1992
HI,elem and sec school instructional,16234,42564418,15035,4494,39227248,3337170,212288,1992
HI,elem and sec sch,5487,9652470,4630,3266,8336942,1315528,151742,1992
HI,elem and sec admin - clerical,1739,4239072,1664,197,4043710,195362,13344,1992
HI,elem and sec oper and maintenance,1843,2459204,1459,1216,1930292,528912,67896,1992
HI,elem and sec cafeteria,1455,2238598,1321,357,2019676,218922,23770,1992
HI,elem and sec bus transportation,0,0,0,0,0,0,0,1992
HI,elem and sec health and recreation,38,130526,38,11,129504,1022,72,1992
HI,elem and sec student employees,53,46800,0,238,0,46800,9360,1992
HI,elem and sec unallocable,359,538270,148,1247,213760,324510,37300,1992
HI,higher educ instructional,2755,12833230,2132,1922,9919948,2913282,110184,1992
HI,education - higher education other,4309,12646462,3335,4344,9810924,2835538,172486,1992
HI,education - other,137,360206,135,4,355382,4824,320,1992
HI,libraries,612,1320154,577,72,1240038,80116,6186,1992
HI,liquor stores,0,0,0,0,0,0,0,1992
HI,other and unallocable,3808,8985650,3768,78,8902026,83624,6920,1992
ID,total,20247,43361118,17355,8224,39294472,4066646,511349,1992
ID,financial administration,1236,2629175,1185,93,2554833,74342,8928,1992
ID,other government administration,177,449346,124,187,295591,153755,9317,1992
ID,judicial and legal,363,1292817,350,17,1274087,18730,2302,1992
ID,police protection - officers,260,725306,260,0,725306,0,0,1992
ID,police protection - other,173,416821,167,23,406880,9941,996,1992
ID,corrections,1140,2365776,1099,52,2308781,56995,7147,1992
ID,highways,1767,3977083,1684,114,3865690,111393,14666,1992
ID,air transportation,0,0,0,0,0,0,0,1992
ID,water transport and terminals,0,0,0,0,0,0,0,1992
ID,public welfare,1562,3243790,1461,233,3091755,152035,17936,1992
ID,health,951,2281008,869,161,2128978,152030,14542,1992
