state,government_function,full_time_equivalent_employees,total_october_pay,full_time_employees,part_time_employees,full_time_pay,part_time_pay,part_time_hours,year
AZ,elem and sec sch,0,0,0,0,0,0,0,1993
AZ,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
AZ,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
AZ,elem and sec cafeteria,0,0,0,0,0,0,0,1993
AZ,elem and sec bus transportation,0,0,0,0,0,0,0,1993
AZ,elem and sec health and recreation,0,0,0,0,0,0,0,1993
AZ,elem and sec student employees,0,0,0,0,0,0,0,1993
AZ,elem and sec unallocable,0,0,0,0,0,0,0,1993
AZ,higher educ instructional,6181,24394161,4002,4991,19517981,4876180,385599,1993
AZ,education - higher education other,15078,30159276,11053,12822,25044381,5114895,712660,1993
AZ,education - other,2548,5165557,2419,231,4953938,211619,22965,1993
AZ,libraries,0,0,0,0,0,0,0,1993
AZ,liquor stores,0,0,0,0,0,0,0,1993
AZ,other and unallocable,3135,7012705,3099,120,6939659,73046,6339,1993
AR,total,46655,102153304,42091,11320,95159923,6993381,806667,1993
AR,financial administration,1768,3424239,1731,65,3384099,40140,6637,1993
AR,other government administration,462,1236216,431,141,1091784,144432,5485,1993
AR,judicial and legal,338,1455604,335,7,1451916,3688,477,1993
AR,police protection - officers,494,1423312,494,0,1423312,0,0,1993
AR,police protection - other,369,710452,368,1,709655,797,159,1993
AR,corrections,2868,5280962,2868,1,5280630,332,66,1993
AR,highways,3967,9120896,3947,41,9101271,19625,3611,1993
AR,air transportation,0,0,0,0,0,0,0,1993
AR,water transport and terminals,0,0,0,0,0,0,0,1993
AR,public welfare,3437,6502104,3437,0,6502104,0,0,1993
AR,health,3655,6835660,3649,14,6824604,11056,990,1993
AR,hospitals,5035,9703460,4954,171,9540233,163227,14387,1993
AR,social insurance administration,1062,2455832,923,258,2233828,222004,24660,1993
AR,solid waste management,0,0,0,0,0,0,0,1993
AR,sewerage,0,0,0,0,0,0,0,1993
AR,parks and recreation,744,1078586,553,302,923754,154832,33874,1993
AR,natural resources,2597,5260295,2180,774,4580064,680231,73776,1993
AR,water transport and terminals,0,0,0,0,0,0,0,1993
AR,electric power,0,0,0,0,0,0,0,1993
AR,transit,0,0,0,0,0,0,0,1993
AR,elem and sec school instructional,0,0,0,0,0,0,0,1993
AR,elem and sec sch,0,0,0,0,0,0,0,1993
AR,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
AR,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
AR,elem and sec cafeteria,0,0,0,0,0,0,0,1993
AR,elem and sec bus transportation,0,0,0,0,0,0,0,1993
AR,elem and sec health and recreation,0,0,0,0,0,0,0,1993
AR,elem and sec student employees,0,0,0,0,0,0,0,1993
AR,elem and sec unallocable,0,0,0,0,0,0,0,1993
AR,higher educ instructional,5404,20956003,4398,2830,17971309,2984694,177775,1993
AR,education - higher education other,9781,16575031,7358,6185,14357179,2217852,428173,1993
AR,education - other,2683,5872562,2519,442,5587165,285397,28943,1993
AR,libraries,0,0,0,0,0,0,0,1993
AR,liquor stores,0,0,0,0,0,0,0,1993
AR,other and unallocable,1991,4262090,1946,88,4197016,65074,7654,1993
CA,total,343781,1188549512,286166,124785,1042777753,145771759,10195465,1993
CA,financial administration,16815,44983282,16054,2022,43499018,1484264,134664,1993
CA,other government administration,3338,10825268,2973,578,9752833,1072435,61121,1993
CA,judicial and legal,2575,10720303,2493,160,10427473,292830,14651,1993
CA,police protection - officers,6219,22792718,6219,0,22792718,0,0,1993
CA,police protection - other,4743,11599169,4736,11,11582038,17131,1279,1993
CA,corrections,37341,126566985,35254,2749,117669908,8897077,369347,1993
CA,highways,19306,65496332,18845,1317,64518699,977633,81672,1993
CA,air transportation,0,0,0,0,0,0,0,1993
CA,water transport and terminals,62,192516,54,27,178890,13626,1368,1993
CA,public welfare,3360,8713091,3170,335,8331998,381093,33794,1993
CA,health,9175,35012245,8664,951,33606467,1405778,90342,1993
CA,hospitals,35117,111769132,30549,8323,98564597,13204535,808725,1993
CA,social insurance administration,20242,56761477,17542,3772,50354458,6407019,477939,1993
CA,solid waste management,0,0,0,0,0,0,0,1993
CA,sewerage,0,0,0,0,0,0,0,1993
CA,parks and recreation,3705,8479815,1909,1955,5620195,2859620,317883,1993
CA,natural resources,16567,49604432,15127,2211,45189816,4414616,255196,1993
CA,water transport and terminals,0,0,0,0,0,0,0,1993
CA,electric power,0,0,0,0,0,0,0,1993
CA,transit,0,0,0,0,0,0,0,1993
CA,elem and sec school instructional,0,0,0,0,0,0,0,1993
CA,elem and sec sch,0,0,0,0,0,0,0,1993
CA,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
CA,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
CA,elem and sec cafeteria,0,0,0,0,0,0,0,1993
CA,elem and sec bus transportation,0,0,0,0,0,0,0,1993
CA,elem and sec health and recreation,0,0,0,0,0,0,0,1993
CA,elem and sec student employees,0,0,0,0,0,0,0,1993
CA,elem and sec unallocable,0,0,0,0,0,0,0,1993
CA,higher educ instructional,29166,126817774,19316,21944,99243164,27574610,1743384,1993
CA,education - higher education other,94631,328767310,62968,75734,255330888,73436422,5604439,1993
CA,education - other,4414,14291095,4179,569,13708442,582653,41836,1993
CA,libraries,0,0,0,0,0,0,0,1993
CA,liquor stores,0,0,0,0,0,0,0,1993
CA,other and unallocable,37005,155156568,36114,2127,152406151,2750417,157825,1993
CO,total,54542,166483270,40689,33407,123764420,42718850,2451648,1993
CO,financial administration,2031,5890382,2021,81,5775448,114934,1801,1993
CO,other government administration,466,1230499,403,134,1081791,148708,10722,1993
CO,judicial and legal,2661,8222493,2422,493,7515750,706743,42425,1993
CO,police protection - officers,547,1705706,547,0,1705706,0,0,1993
CO,police protection - other,470,1248773,470,0,1248773,0,0,1993
CO,corrections,3769,10096255,3754,55,10015769,80486,2578,1993
CO,highways,3123,9082779,2959,250,8604886,477893,29087,1993
CO,air transportation,0,0,0,0,0,0,0,1993
CO,water transport and terminals,0,0,0,0,0,0,0,1993
CO,public welfare,1265,3741773,1194,149,3528037,213736,12617,1993
CO,health,1252,3978568,1165,163,3699904,278664,15465,1993
CO,hospitals,4696,11766832,4053,1030,9920149,1846683,113943,1993
CO,social insurance administration,1003,3037816,694,353,2098327,939489,54739,1993
CO,solid waste management,0,0,0,0,0,0,0,1993
CO,sewerage,0,0,0,0,0,0,0,1993
CO,parks and recreation,289,752510,160,408,508532,243978,22886,1993
CO,natural resources,1586,5054794,1389,436,4444289,610505,34732,1993
CO,water transport and terminals,0,0,0,0,0,0,0,1993
CO,electric power,0,0,0,0,0,0,0,1993
CO,transit,0,0,0,0,0,0,0,1993
CO,elem and sec school instructional,0,0,0,0,0,0,0,1993
CO,elem and sec sch,0,0,0,0,0,0,0,1993
CO,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
CO,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
CO,elem and sec cafeteria,0,0,0,0,0,0,0,1993
CO,elem and sec bus transportation,0,0,0,0,0,0,0,1993
CO,elem and sec health and recreation,0,0,0,0,0,0,0,1993
CO,elem and sec student employees,0,0,0,0,0,0,0,1993
CO,elem and sec unallocable,0,0,0,0,0,0,0,1993
CO,higher educ instructional,12967,60149433,8167,10217,35940661,24208772,849405,1993
CO,education - higher education other,15929,32768896,8899,18932,20558168,12210728,1244461,1993
CO,education - other,1043,3353945,995,600,2875119,478826,8535,1993
CO,libraries,0,0,0,0,0,0,0,1993
CO,liquor stores,0,0,0,0,0,0,0,1993
CO,other and unallocable,1445,4401816,1397,106,4243111,158705,8252,1993
CT,total,59991,196126996,54239,15946,181018383,15108613,921930,1993
CT,financial administration,2370,6714796,2314,85,6588798,125998,8736,1993
CT,other government administration,961,3172887,890,157,2925479,247408,11904,1993
CT,judicial and legal,3297,9396793,3222,110,9191354,205439,11662,1993
CT,police protection - officers,964,3899826,964,1,3898564,1262,62,1993
CT,police protection - other,574,1554487,551,31,1508708,45779,3670,1993
CT,corrections,6186,20106900,6152,63,19999590,107310,5185,1993
CT,highways,3752,12088511,3749,6,12077910,10601,531,1993
CT,air transportation,158,560206,158,0,560206,0,0,1993
CT,water transport and terminals,0,0,0,0,0,0,0,1993
CT,public welfare,4613,13457173,4500,156,13113731,343442,17604,1993
CT,health,2514,8178589,2429,131,7916757,261832,13691,1993
CT,hospitals,12073,37646285,10613,2162,33946759,3699526,241950,1993
CT,social insurance administration,1359,3841188,1330,35,3785495,55693,4501,1993
CT,solid waste management,66,238857,65,3,237157,1700,201,1993
CT,sewerage,0,0,0,0,0,0,0,1993
CT,parks and recreation,155,407117,124,44,360787,46330,4758,1993
CT,natural resources,569,1947907,537,41,1881614,66293,4962,1993
CT,water transport and terminals,0,0,0,0,0,0,0,1993
CT,electric power,0,0,0,0,0,0,0,1993
CT,transit,0,0,0,0,0,0,0,1993
CT,elem and sec school instructional,0,0,0,0,0,0,0,1993
CT,elem and sec sch,0,0,0,0,0,0,0,1993
CT,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
CT,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
CT,elem and sec cafeteria,0,0,0,0,0,0,0,1993
CT,elem and sec bus transportation,0,0,0,0,0,0,0,1993
CT,elem and sec health and recreation,0,0,0,0,0,0,0,1993
CT,elem and sec student employees,0,0,0,0,0,0,0,1993
CT,elem and sec unallocable,0,0,0,0,0,0,0,1993
CT,higher educ instructional,5394,26974921,4188,3758,22467584,4507337,196379,1993
CT,education - higher education other,9413,27954383,7074,8837,23060722,4893661,366340,1993
CT,education - other,2899,10264698,2788,181,9991237,273461,17138,1993
CT,libraries,0,0,0,0,0,0,0,1993
CT,liquor stores,0,0,0,0,0,0,0,1993
CT,other and unallocable,2674,7721472,2591,145,7505931,215541,12656,1993
DE,total,20425,48964774,18101,6823,44689541,4275233,385620,1993
DE,financial administration,649,1387132,633,35,1363098,24034,2832,1993
DE,other government administration,234,565482,217,43,534284,31198,2636,1993
DE,judicial and legal,1191,3138718,1186,18,3118980,19738,764,1993
DE,police protection - officers,489,1904424,489,0,1904424,0,0,1993
DE,police protection - other,210,422156,200,14,403196,18960,1790,1993
DE,corrections,1481,3329794,1455,49,3292156,37638,4554,1993
DE,highways,1392,2812778,1352,46,2775734,37044,6688,1993
DE,air transportation,0,0,0,0,0,0,0,1993
DE,water transport and terminals,0,0,0,0,0,0,0,1993
DE,public welfare,1791,3469632,1763,93,3399812,69820,4554,1993
DE,health,1511,3252098,1411,241,3131722,120376,16734,1993
DE,hospitals,2211,4228246,2183,77,4151790,76456,4732,1993
DE,social insurance administration,262,492324,261,1,490972,1352,104,1993
DE,solid waste management,63,154292,61,5,151510,2782,350,1993
DE,sewerage,0,0,0,0,0,0,0,1993
DE,parks and recreation,219,337760,123,181,236122,101638,16000,1993
DE,natural resources,508,1157646,470,86,1103072,54574,6436,1993
DE,water transport and terminals,0,0,0,0,0,0,0,1993
DE,electric power,0,0,0,0,0,0,0,1993
DE,transit,422,935454,377,55,883807,51647,7971,1993
DE,elem and sec school instructional,0,0,0,0,0,0,0,1993
DE,elem and sec sch,0,0,0,0,0,0,0,1993
DE,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
DE,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
DE,elem and sec cafeteria,0,0,0,0,0,0,0,1993
DE,elem and sec bus transportation,0,0,0,0,0,0,0,1993
DE,elem and sec health and recreation,0,0,0,0,0,0,0,1993
DE,elem and sec student employees,0,0,0,0,0,0,0,1993
DE,elem and sec unallocable,0,0,0,0,0,0,0,1993
DE,higher educ instructional,2239,8111470,1430,1967,6128690,1982780,134233,1993
DE,education - higher education other,4182,9882200,3159,3756,8293728,1588472,168852,1993
DE,education - other,239,778492,237,2,775518,2974,210,1993
DE,libraries,0,0,0,0,0,0,0,1993
DE,liquor stores,0,0,0,0,0,0,0,1993
DE,other and unallocable,1132,2604676,1094,154,2550926,53750,6180,1993
FL,total,167056,368805483,150216,40387,340442196,28363287,2981560,1993
FL,financial administration,7547,17025097,7389,299,16853820,171277,28215,1993
FL,other government administration,1883,4608662,1843,232,4388950,219712,7106,1993
FL,judicial and legal,9118,26823502,8974,164,26451407,372095,25249,1993
FL,police protection - officers,2120,6845467,2120,0,6845467,0,0,1993
FL,police protection - other,1597,3024461,1565,67,2959460,65001,5612,1993
FL,corrections,29069,55255927,28760,908,54715905,540022,54631,1993
FL,highways,11257,23375745,10311,1475,22367672,1008073,167575,1993
FL,air transportation,0,0,0,0,0,0,0,1993
FL,water transport and terminals,3,8230,1,5,3230,5000,330,1993
FL,public welfare,10165,15469714,10051,625,15170682,299032,20239,1993
FL,health,12909,27694287,12127,1653,25737452,1956835,138527,1993
FL,hospitals,16153,30883017,14525,5518,28695156,2187861,288118,1993
FL,social insurance administration,4701,8564333,4465,314,8205435,358898,41712,1993
FL,solid waste management,0,0,0,0,0,0,0,1993
FL,sewerage,0,0,0,0,0,0,0,1993
FL,parks and recreation,1111,2271365,1108,7,2266340,5025,588,1993
FL,natural resources,7036,16306927,6254,1560,15203743,1103184,138433,1993
FL,water transport and terminals,0,0,0,0,0,0,0,1993
FL,electric power,0,0,0,0,0,0,0,1993
FL,transit,450,1063004,445,12,1056099,6905,952,1993
FL,elem and sec school instructional,0,0,0,0,0,0,0,1993
FL,elem and sec sch,0,0,0,0,0,0,0,1993
FL,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
FL,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
FL,elem and sec cafeteria,0,0,0,0,0,0,0,1993
FL,elem and sec bus transportation,0,0,0,0,0,0,0,1993
FL,elem and sec health and recreation,0,0,0,0,0,0,0,1993
FL,elem and sec student employees,0,0,0,0,0,0,0,1993
FL,elem and sec unallocable,0,0,0,0,0,0,0,1993
FL,higher educ instructional,13816,47996248,10012,8902,38439752,9556496,673149,1993
FL,education - higher education other,24603,50605808,17449,17182,41302036,9303772,1266633,1993
FL,education - other,3206,7971610,3073,255,7686463,285147,23630,1993
FL,libraries,0,0,0,0,0,0,0,1993
FL,liquor stores,0,0,0,0,0,0,0,1993
FL,other and unallocable,10312,23012079,9744,1209,22093127,918952,100861,1993
GA,total,118527,264387463,102913,32762,237576090,26811373,2762778,1993
GA,financial administration,3177,7516206,2923,328,7236017,280189,44881,1993
GA,other government administration,527,1407909,441,268,1147567,260342,15170,1993
GA,judicial and legal,1002,3706055,996,12,3689678,16377,1002,1993
GA,police protection - officers,1101,2967154,1101,0,2967154,0,0,1993
GA,police protection - other,1028,2117749,1005,38,2087831,29918,4046,1993
GA,corrections,14835,28653826,14680,373,28227320,426506,27369,1993
GA,highways,6098,16844795,6092,8,16832620,12175,1000,1993
GA,air transportation,0,0,0,0,0,0,0,1993
GA,water transport and terminals,615,1783261,615,0,1783261,0,0,1993
GA,public welfare,8195,16734232,8098,178,16579709,154523,17072,1993
GA,health,13237,25535169,11651,3459,23180977,2354192,280799,1993
GA,hospitals,15247,28056895,14052,1976,25727794,2329101,211588,1993
GA,social insurance administration,1956,4383250,1796,212,4182213,201037,28310,1993
GA,solid waste management,0,0,0,0,0,0,0,1993
GA,sewerage,0,0,0,0,0,0,0,1993
GA,parks and recreation,2510,3876712,1465,1756,2736922,1139790,185044,1993
GA,natural resources,4834,10587205,4298,1111,9856866,730339,94707,1993
GA,water transport and terminals,0,0,0,0,0,0,0,1993
GA,electric power,0,0,0,0,0,0,0,1993
GA,transit,0,0,0,0,0,0,0,1993
GA,elem and sec school instructional,0,0,0,0,0,0,0,1993
GA,elem and sec sch,0,0,0,0,0,0,0,1993
GA,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
GA,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
GA,elem and sec cafeteria,0,0,0,0,0,0,0,1993
GA,elem and sec bus transportation,0,0,0,0,0,0,0,1993
GA,elem and sec health and recreation,0,0,0,0,0,0,0,1993
GA,elem and sec student employees,0,0,0,0,0,0,0,1993
GA,elem and sec unallocable,0,0,0,0,0,0,0,1993
GA,higher educ instructional,13382,50866544,9018,6128,40614247,10252297,772631,1993
GA,education - higher education other,22052,37538603,16818,14443,30417205,7121398,925896,1993
GA,education - other,5171,13601969,4641,1888,12509773,1092196,93697,1993
GA,libraries,0,0,0,0,0,0,0,1993
GA,liquor stores,0,0,0,0,0,0,0,1993
GA,other and unallocable,3560,8209929,3223,584,7798936,410993,59566,1993
HI,total,51787,136625984,47292,16005,124214846,12411138,769429,1993
HI,financial administration,1003,2660550,1003,1,2659802,748,78,1993
HI,other government administration,596,1988314,469,222,1445974,542340,22579,1993
HI,judicial and legal,2200,6311908,2172,69,6183126,128782,4892,1993
HI,police protection - officers,0,0,0,0,0,0,0,1993
HI,police protection - other,0,0,0,0,0,0,0,1993
HI,corrections,2121,4862530,2112,19,4844070,18460,1542,1993
HI,highways,864,2161388,864,0,2161388,0,0,1993
HI,air transportation,997,2092742,997,9,2092242,500,20,1993
HI,water transport and terminals,191,474962,191,1,474116,846,80,1993
HI,public welfare,1152,2635616,1149,7,2628128,7488,552,1993
HI,health,3313,7738450,3274,73,7621638,116812,6828,1993
HI,hospitals,3010,7053710,2938,144,6778926,274784,12764,1993
HI,social insurance administration,413,1078246,408,8,1061936,16310,940,1993
HI,solid waste management,0,0,0,0,0,0,0,1993
HI,sewerage,0,0,0,0,0,0,0,1993
HI,parks and recreation,241,479154,162,389,359958,119196,14028,1993
HI,natural resources,1571,4355976,1506,309,4136588,219388,11636,1993
HI,water transport and terminals,0,0,0,0,0,0,0,1993
HI,electric power,0,0,0,0,0,0,0,1993
HI,transit,0,0,0,0,0,0,0,1993
HI,elem and sec school instructional,16744,45719658,15383,4474,42167538,3552120,225962,1993
HI,elem and sec sch,5621,10047372,4584,3762,8553368,1494004,172164,1993
HI,elem and sec admin - clerical,1673,4090414,1586,238,3879536,210878,14404,1993
HI,elem and sec oper and maintenance,1930,2952340,1432,1809,2293626,658714,82650,1993
HI,elem and sec cafeteria,1499,2280498,1335,169,2029518,250980,27250,1993
HI,elem and sec bus transportation,0,0,0,0,0,0,0,1993
HI,elem and sec health and recreation,80,149440,80,0,149440,0,0,1993
HI,elem and sec student employees,70,58192,0,283,0,58192,11626,1993
HI,elem and sec unallocable,369,516488,151,1263,201248,315240,36234,1993
HI,higher educ instructional,2755,12833230,2132,1922,9919948,2913282,110184,1993
HI,education - higher education other,4309,12646462,3335,4344,9810924,2835538,172486,1993
HI,education - other,139,376570,139,1,375364,1206,80,1993
HI,libraries,616,1313662,578,180,1231794,81868,6322,1993
HI,liquor stores,0,0,0,0,0,0,0,1993
HI,other and unallocable,3931,9795484,3896,71,9708018,87466,6292,1993
ID,total,20555,44276479,17491,8713,39880125,4396354,541682,1993
ID,financial administration,1198,2601116,1152,84,2535104,66012,8130,1993
ID,other government administration,215,535018,165,176,391357,143661,8759,1993
ID,judicial and legal,390,1432535,369,26,1402826,29709,3713,1993
ID,police protection - officers,257,1036283,257,0,1036283,0,0,1993
ID,police protection - other,178,681971,163,32,657159,24812,2626,1993
ID,corrections,1194,2488174,1148,56,2419160,69014,8125,1993
ID,highways,1767,3977083,1684,114,3865690,111393,14666,1993
ID,air transportation,0,0,0,0,0,0,0,1993
ID,water transport and terminals,0,0,0,0,0,0,0,1993
ID,public welfare,1765,3436739,1642,279,3166848,269891,21850,1993
ID,health,968,2479770,887,204,2353629,126141,14265,1993
ID,hospitals,1032,2024160,925,278,1862815,161345,18857,1993
ID,social insurance administration,620,1474790,500,144,1304509,170281,21285,1993
ID,solid waste management,0,0,0,0,0,0,0,1993
ID,sewerage,0,0,0,0,0,0,0,1993
ID,parks and recreation,184,354906,140,77,293295,61611,7700,1993
ID,natural resources,1872,3940395,1322,880,3160806,779589,97265,1993
ID,water transport and terminals,0,0,0,0,0,0,0,1993
ID,electric power,0,0,0,0,0,0,0,1993
ID,transit,0,0,0,0,0,0,0,1993
ID,elem and sec school instructional,0,0,0,0,0,0,0,1993
ID,elem and sec sch,0,0,0,0,0,0,0,1993
ID,elem and sec admin - clerical,0,0,0,0,0,0,0,1993
ID,elem and sec oper and maintenance,0,0,0,0,0,0,0,1993
ID,elem and sec cafeteria,0,0,0,0,0,0,0,1993
ID,elem and sec bus transportation,0,0,0,0,0,0,0,1993
ID,elem and sec health and recreation,0,0,0,0,0,0,0,1993
ID,elem and sec student employees,0,0,0,0,0,0,0,1993
ID,elem and sec unallocable,0,0,0,0,0,0,0,1993
ID,higher educ instructional,2579,7246391,2326,1293,6609788,636603,44658,1993
ID,education - higher education other,4384,6701654,3180,4014,5413138,1288516,212837,1993
ID,education - other,700,1505859,513,711,1239748,266111,33265,1993
ID,libraries,0,0,0,0,0,0,0,1993
ID,liquor stores,149,295837,100,136,226641,69196,8650,1993
ID,other and unallocable,1103,2063798,1018,209,1941329,122469,15031,1993
IL,total,131878,359580214,116875,47082,331762984,27817230,2554064,1993
IL,financial administration,6448,15571409,6303,211,15343617,227792,23820,1993
IL,other government administration,2347,6763214,2253,198,6077149,686065,16368,1993
IL,judicial and legal,2987,12265542,2958,80,12187014,78528,5087,1993
IL,police protection - officers,2032,7154002,2032,0,7154002,0,0,1993
IL,police protection - other,1553,4003972,1548,8,3989392,14580,846,1993
IL,corrections,12669,34354382,12643,28,34262966,91416,4354,1993
IL,highways,8846,27302271,7696,1368,24794561,2507710,203555,1993
IL,air transportation,0,0,0,0,0,0,0,1993
IL,water transport and terminals,103,335504,101,3,331208,4296,310,1993
IL,public welfare,12222,32231356,12098,165,31942496,288860,20447,1993
IL,health,2915,8731540,2897,33,8700346,31194,2764,1993
IL,hospitals,14384,39118047,13984,959,38691870,426177,70890,1993
IL,social insurance administration,3433,9526426,3135,414,8794504,731922,49476,1993
IL,solid waste management,0,0,0,0,0,0,0,1993
IL,sewerage,0,0,0,0,0,0,0,1993
