state,government_function,year,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,equivalent_employees,march_pay,total_employees,october_total_pay,total_october_pay,total_march_full_time_and_part_time_employees
US,other and unallocable,1992,201414,561047769,19182,15432899,1469607,209798,NA,NA,NA,NA,576480668,NA,NA
AL,total,1992,73642,165172660,21265,11755952,1300490,81101,NA,NA,NA,NA,176928612,NA,NA
AL,financial administration,1992,2575,5883119,36,24885,4941,2603,NA,NA,NA,NA,5908004,NA,NA
AL,other government administration,1992,486,1210836,10,6594,552,488,NA,NA,NA,NA,1217430,NA,NA
AL,judicial and legal,1992,2555,6829923,132,160080,13072,2629,NA,NA,NA,NA,6990003,NA,NA
AL,police protection - officers,1992,649,2315503,0,0,0,649,NA,NA,NA,NA,2315503,NA,NA
AL,police protection - other,1992,424,1009823,0,0,0,424,NA,NA,NA,NA,1009823,NA,NA
AL,corrections,1992,3908,8525838,7,4796,566,3911,NA,NA,NA,NA,8530634,NA,NA
AL,highways,1992,4233,8733688,58,61505,6421,4269,NA,NA,NA,NA,8795193,NA,NA
AL,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,water transport and terminals,1992,418,1096598,0,0,0,418,NA,NA,NA,NA,1096598,NA,NA
AL,public welfare,1992,4491,9206498,37,39345,3394,4510,NA,NA,NA,NA,9245843,NA,NA
AL,health,1992,5626,10865566,802,509806,89886,6135,NA,NA,NA,NA,11375372,NA,NA
AL,hospitals,1992,12207,21857012,1386,1679607,102172,12784,NA,NA,NA,NA,23536619,NA,NA
AL,social insurance administration,1992,1473,3187164,59,23712,4187,1497,NA,NA,NA,NA,3210876,NA,NA
AL,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,parks and recreation,1992,468,856245,573,371179,74935,892,NA,NA,NA,NA,1227424,NA,NA
AL,natural resources,1992,3060,6820148,438,162286,22302,3186,NA,NA,NA,NA,6982434,NA,NA
AL,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec health and recreation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec student employees,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,elem and sec unallocable,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,higher educ instructional,1992,8625,31003773,6094,4290318,322653,10491,NA,NA,NA,NA,35294091,NA,NA
AL,education - higher education other,1992,16137,31370602,10813,3942234,605265,19618,NA,NA,NA,NA,35312836,NA,NA
AL,education - other,1992,3748,8760151,684,398346,37580,3964,NA,NA,NA,NA,9158497,NA,NA
AL,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AL,liquor stores,1992,874,1686760,0,0,0,874,NA,NA,NA,NA,1686760,NA,NA
AL,other and unallocable,1992,1685,3953413,136,81259,12564,1759,NA,NA,NA,NA,4034672,NA,NA
AK,total,1992,22041,72184275,5050,3881427,309870,23818,NA,NA,NA,NA,76065702,NA,NA
AK,financial administration,1992,881,3163555,11,19569,1062,888,NA,NA,NA,NA,3183124,NA,NA
AK,other government administration,1992,471,1478917,37,30119,1557,481,NA,NA,NA,NA,1509036,NA,NA
AK,judicial and legal,1992,1076,4035581,52,72975,4006,1100,NA,NA,NA,NA,4108556,NA,NA
AK,police protection - officers,1992,289,1396426,0,0,0,289,NA,NA,NA,NA,1396426,NA,NA
AK,police protection - other,1992,142,344194,0,0,0,142,NA,NA,NA,NA,344194,NA,NA
AK,corrections,1992,1215,4520538,2,3017,120,1216,NA,NA,NA,NA,4523555,NA,NA
AK,highways,1992,2965,11449078,14,31649,2225,2978,NA,NA,NA,NA,11480727,NA,NA
AK,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,public welfare,1992,1580,4859156,160,195223,19558,1698,NA,NA,NA,NA,5054379,NA,NA
AK,health,1992,444,1533390,32,55257,2905,462,NA,NA,NA,NA,1588647,NA,NA
AK,hospitals,1992,361,1146383,32,39565,3520,382,NA,NA,NA,NA,1185948,NA,NA
AK,social insurance administration,1992,448,1528722,9,15353,793,452,NA,NA,NA,NA,1544075,NA,NA
AK,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,parks and recreation,1992,91,289678,2,2868,184,92,NA,NA,NA,NA,292546,NA,NA
AK,natural resources,1992,2598,8629548,121,133442,10307,2658,NA,NA,NA,NA,8762990,NA,NA
AK,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,transit,1992,590,2403306,0,0,0,590,NA,NA,NA,NA,2403306,NA,NA
AK,elem and sec school instructional,1992,1413,5683871,548,419794,32596,1602,NA,NA,NA,NA,6103665,NA,NA
AK,elem and sec sch,1992,775,2276603,526,367415,30768,951,NA,NA,NA,NA,2644018,NA,NA
AK,elem and sec admin - clerical,1992,350,1158921,139,68410,5257,380,NA,NA,NA,NA,1227331,NA,NA
AK,elem and sec oper and maintenance,1992,349,951397,185,174715,13929,431,NA,NA,NA,NA,1126112,NA,NA
AK,elem and sec cafeteria,1992,44,101912,77,72199,5914,77,NA,NA,NA,NA,174111,NA,NA
AK,elem and sec bus transportation,1992,3,7920,6,5414,497,5,NA,NA,NA,NA,13334,NA,NA
AK,elem and sec health and recreation,1992,21,30626,75,33485,3108,39,NA,NA,NA,NA,64111,NA,NA
AK,elem and sec student employees,1992,0,0,36,7130,1453,8,NA,NA,NA,NA,7130,NA,NA
AK,elem and sec unallocable,1992,8,25827,8,6062,610,11,NA,NA,NA,NA,31889,NA,NA
AK,higher educ instructional,1992,1208,4762865,1170,1028133,46146,1469,NA,NA,NA,NA,5790998,NA,NA
AK,education - higher education other,1992,3576,6430207,2195,1370933,146777,4405,NA,NA,NA,NA,7801140,NA,NA
AK,education - other,1992,466,1542984,30,26096,1895,477,NA,NA,NA,NA,1569080,NA,NA
AK,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,liquor stores,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AK,other and unallocable,1992,1452,4709273,109,70019,5451,1486,NA,NA,NA,NA,4779292,NA,NA
AZ,total,1992,46999,110977095,17805,10978215,1250275,54064,NA,NA,NA,NA,121955310,NA,NA
AZ,financial administration,1992,2725,5179175,38,38443,3601,2746,NA,NA,NA,NA,5217618,NA,NA
AZ,other government administration,1992,648,1466091,59,59938,5024,676,NA,NA,NA,NA,1526029,NA,NA
AZ,judicial and legal,1992,1007,3231889,57,62669,4318,1032,NA,NA,NA,NA,3294558,NA,NA
AZ,police protection - officers,1992,972,3066558,0,0,0,972,NA,NA,NA,NA,3066558,NA,NA
AZ,police protection - other,1992,695,1754795,7,4771,447,698,NA,NA,NA,NA,1759566,NA,NA
AZ,corrections,1992,6226,11837388,12,17712,1107,6232,NA,NA,NA,NA,11855100,NA,NA
AZ,highways,1992,3190,7219515,0,0,0,3190,NA,NA,NA,NA,7219515,NA,NA
AZ,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,public welfare,1992,4923,11035944,71,77260,6935,4963,NA,NA,NA,NA,11113204,NA,NA
AZ,health,1992,2394,5468781,126,104573,9675,2449,NA,NA,NA,NA,5573354,NA,NA
AZ,hospitals,1992,963,1700914,68,27443,4357,988,NA,NA,NA,NA,1728357,NA,NA
AZ,social insurance administration,1992,2663,5842703,32,56559,4683,2689,NA,NA,NA,NA,5899262,NA,NA
AZ,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,parks and recreation,1992,239,650002,1781,1179617,97088,788,NA,NA,NA,NA,1829619,NA,NA
AZ,natural resources,1992,1969,4508248,633,455724,55736,2285,NA,NA,NA,NA,4963972,NA,NA
AZ,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,electric power,1992,9,26066,5,360,96,10,NA,NA,NA,NA,26426,NA,NA
AZ,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec health and recreation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec student employees,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,elem and sec unallocable,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,higher educ instructional,1992,3531,15637611,4124,3712347,323222,5357,NA,NA,NA,NA,19349958,NA,NA
AZ,education - higher education other,1992,9410,20852232,10506,5010781,718442,13469,NA,NA,NA,NA,25863013,NA,NA
AZ,education - other,1992,2611,5766321,88,69685,6942,2649,NA,NA,NA,NA,5836006,NA,NA
AZ,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,liquor stores,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AZ,other and unallocable,1992,2824,5732862,198,100333,8602,2871,NA,NA,NA,NA,5833195,NA,NA
AR,total,1992,42183,92597466,11181,6787685,780965,46596,NA,NA,NA,NA,99385151,NA,NA
AR,financial administration,1992,1679,3225974,85,55019,13887,1757,NA,NA,NA,NA,3280993,NA,NA
AR,other government administration,1992,633,1263300,1,142,18,633,NA,NA,NA,NA,1263442,NA,NA
AR,judicial and legal,1992,324,1260907,4,3941,452,327,NA,NA,NA,NA,1264848,NA,NA
AR,police protection - officers,1992,508,1431021,0,0,0,508,NA,NA,NA,NA,1431021,NA,NA
AR,police protection - other,1992,362,673871,1,310,62,362,NA,NA,NA,NA,674181,NA,NA
AR,corrections,1992,2812,4883495,0,0,0,2812,NA,NA,NA,NA,4883495,NA,NA
AR,highways,1992,4010,8720023,39,16944,3230,4028,NA,NA,NA,NA,8736967,NA,NA
AR,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,public welfare,1992,3602,5959910,0,0,0,3602,NA,NA,NA,NA,5959910,NA,NA
AR,health,1992,3745,6983205,12,11944,943,3750,NA,NA,NA,NA,6995149,NA,NA
AR,hospitals,1992,4927,9541608,171,163227,14387,5008,NA,NA,NA,NA,9704835,NA,NA
AR,social insurance administration,1992,952,2286350,256,236291,25181,1094,NA,NA,NA,NA,2522641,NA,NA
AR,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,parks and recreation,1992,570,929251,327,168514,27445,725,NA,NA,NA,NA,1097765,NA,NA
AR,natural resources,1992,2219,4596158,639,553909,63705,2579,NA,NA,NA,NA,5150067,NA,NA
AR,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec health and recreation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec student employees,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,elem and sec unallocable,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,higher educ instructional,1992,4122,17601648,2918,3067763,193943,5216,NA,NA,NA,NA,20669411,NA,NA
AR,education - higher education other,1992,7371,13757213,6225,2211642,403745,9657,NA,NA,NA,NA,15968855,NA,NA
AR,education - other,1992,2497,5396463,421,232135,27199,2650,NA,NA,NA,NA,5628598,NA,NA
AR,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,liquor stores,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
AR,other and unallocable,1992,1850,4087069,82,65904,6768,1888,NA,NA,NA,NA,4152973,NA,NA
CA,total,1992,275841,943287237,109966,118917151,8142617,321860,NA,NA,NA,NA,1062204388,NA,NA
CA,financial administration,1992,12641,35534842,1740,1766875,171283,13608,NA,NA,NA,NA,37301717,NA,NA
CA,other government administration,1992,3053,9725540,250,386372,24853,3209,NA,NA,NA,NA,10111912,NA,NA
CA,judicial and legal,1992,2363,9924008,127,257224,11834,2429,NA,NA,NA,NA,10181232,NA,NA
CA,police protection - officers,1992,6455,20463829,1,250,16,6455,NA,NA,NA,NA,20464079,NA,NA
CA,police protection - other,1992,4582,11786412,99,119891,8514,4630,NA,NA,NA,NA,11906303,NA,NA
CA,corrections,1992,32768,116783487,2791,8584514,372121,34870,NA,NA,NA,NA,125368001,NA,NA
CA,highways,1992,18841,64502887,1319,981569,82024,19304,NA,NA,NA,NA,65484456,NA,NA
CA,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,water transport and terminals,1992,47,157280,15,4547,246,48,NA,NA,NA,NA,161827,NA,NA
CA,public welfare,1992,2937,8856976,316,372756,28549,3098,NA,NA,NA,NA,9229732,NA,NA
CA,health,1992,8486,28151859,891,1248645,77488,8924,NA,NA,NA,NA,29400504,NA,NA
CA,hospitals,1992,32104,97392418,7410,10389119,654514,35803,NA,NA,NA,NA,107781537,NA,NA
CA,social insurance administration,1992,17221,48707082,3749,6375256,496505,20026,NA,NA,NA,NA,55082338,NA,NA
CA,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,parks and recreation,1992,1797,5427886,1704,2503212,271419,3331,NA,NA,NA,NA,7931098,NA,NA
CA,natural resources,1992,12215,37392020,1744,3064171,183448,13252,NA,NA,NA,NA,40456191,NA,NA
CA,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec health and recreation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec student employees,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,elem and sec unallocable,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,higher educ instructional,1992,19696,102631247,21751,28069095,1478950,28052,NA,NA,NA,NA,130700342,NA,NA
CA,education - higher education other,1992,56203,185786573,61623,50669926,3958190,78565,NA,NA,NA,NA,236456499,NA,NA
CA,education - other,1992,4159,12406457,588,957604,59668,4494,NA,NA,NA,NA,13364061,NA,NA
CA,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,liquor stores,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CA,other and unallocable,1992,40273,147656434,3848,3166125,262995,41762,NA,NA,NA,NA,150822559,NA,NA
CO,total,1992,39436,118931905,32988,46089190,2401809,53004,NA,NA,NA,NA,165021095,NA,NA
CO,financial administration,1992,1931,5387169,113,203012,12926,2004,NA,NA,NA,NA,5590181,NA,NA
CO,other government administration,1992,425,1204075,126,134119,8063,470,NA,NA,NA,NA,1338194,NA,NA
CO,judicial and legal,1992,2440,7555317,552,676780,40561,2670,NA,NA,NA,NA,8232097,NA,NA
CO,police protection - officers,1992,547,1705706,0,0,0,547,NA,NA,NA,NA,1705706,NA,NA
CO,police protection - other,1992,470,1248773,0,0,0,470,NA,NA,NA,NA,1248773,NA,NA
CO,corrections,1992,3409,9338112,74,111121,7021,3448,NA,NA,NA,NA,9449233,NA,NA
CO,highways,1992,2935,8541921,184,335434,21311,3055,NA,NA,NA,NA,8877355,NA,NA
CO,air transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,public welfare,1992,1195,3481770,127,172020,10450,1254,NA,NA,NA,NA,3653790,NA,NA
CO,health,1992,1097,3475471,200,324552,23568,1229,NA,NA,NA,NA,3800023,NA,NA
CO,hospitals,1992,4061,10005881,1010,1748540,120057,4740,NA,NA,NA,NA,11754421,NA,NA
CO,social insurance administration,1992,733,2191310,294,715343,42262,971,NA,NA,NA,NA,2906653,NA,NA
CO,solid waste management,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,parks and recreation,1992,163,508044,364,218445,28006,321,NA,NA,NA,NA,726489,NA,NA
CO,natural resources,1992,1376,4319845,434,629045,50713,1662,NA,NA,NA,NA,4948890,NA,NA
CO,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec health and recreation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec student employees,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,elem and sec unallocable,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,higher educ instructional,1992,8534,35663232,11578,27552267,874594,13474,NA,NA,NA,NA,63215499,NA,NA
CO,education - higher education other,1992,7747,17481507,17258,12600397,1080893,13854,NA,NA,NA,NA,30081904,NA,NA
CO,education - other,1992,1017,2700202,551,533216,71528,1423,NA,NA,NA,NA,3233418,NA,NA
CO,libraries,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,liquor stores,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CO,other and unallocable,1992,1356,4123570,123,134899,9856,1412,NA,NA,NA,NA,4258469,NA,NA
CT,total,1992,49312,162018374,14559,12548364,800212,54184,NA,NA,NA,NA,174566738,NA,NA
CT,financial administration,1992,2466,7234361,258,383843,30532,2638,NA,NA,NA,NA,7618204,NA,NA
CT,other government administration,1992,832,2713641,248,380532,24635,973,NA,NA,NA,NA,3094173,NA,NA
CT,judicial and legal,1992,3079,9968028,72,125994,6209,3115,NA,NA,NA,NA,10094022,NA,NA
CT,police protection - officers,1992,973,3787129,1,1207,62,973,NA,NA,NA,NA,3788336,NA,NA
CT,police protection - other,1992,518,1495338,29,42034,3314,536,NA,NA,NA,NA,1537372,NA,NA
CT,corrections,1992,5393,18046163,42,76876,4230,5418,NA,NA,NA,NA,18123039,NA,NA
CT,highways,1992,3691,11146128,0,0,0,3691,NA,NA,NA,NA,11146128,NA,NA
CT,air transportation,1992,137,488366,0,0,0,137,NA,NA,NA,NA,488366,NA,NA
CT,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,public welfare,1992,4139,12675808,165,339617,17668,4239,NA,NA,NA,NA,13015425,NA,NA
CT,health,1992,2040,7003205,104,201414,10166,2100,NA,NA,NA,NA,7204619,NA,NA
CT,hospitals,1992,9572,31249101,1686,2706226,172982,10550,NA,NA,NA,NA,33955327,NA,NA
CT,social insurance administration,1992,1205,3997467,21,28716,2526,1219,NA,NA,NA,NA,4026183,NA,NA
CT,solid waste management,1992,65,237157,3,1700,201,66,NA,NA,NA,NA,238857,NA,NA
CT,sewerage,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,parks and recreation,1992,140,409836,86,68284,8488,195,NA,NA,NA,NA,478120,NA,NA
CT,natural resources,1992,560,1880054,90,103327,10194,626,NA,NA,NA,NA,1983381,NA,NA
CT,water transport and terminals,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,electric power,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,transit,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec school instructional,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec sch,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec admin - clerical,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec oper and maintenance,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec cafeteria,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
CT,elem and sec bus transportation,1992,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
